UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 1_N. 1,PERLIS,P. 1,PADANG BESAR,N. 1,TITI TINGGI,BN - MCA,,6721,2324,74.87,5032,76,194,4762,MCA,LOH YOON FOO,MALE,,3543,,,,,,,,,,,,,,S46,SAMSUDIN BIN HAMID,MALE,,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N. 2,PERLIS,P. 1,PADANG BESAR,N. 2,BESERI,BN - UMNO,,6873,2221,70.84,4869,139,173,4557,UMNO,NORDIN BIN HJ. ABDULLAH,MALE,,3389,,,,,,,,,,,,,,S46,SYED AHMAD BIN SYED ALI,MALE,,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N. 3,PERLIS,P. 1,PADANG BESAR,N. 3,CHUPING,BN - UMNO,,7209,2410,82.84,5972,1,133,5838,UMNO,YAZIZ @ YAZID BIN MAT,MALE,,4124,,PAS,YAHAYA BIN AHMAD,MALE,,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N. 4,PERLIS,P. 1,PADANG BESAR,N. 4,MATA AYER,BN - UMNO,,6000,1704,82.98,4979,588,323,4068,UMNO,ISHAK BIN ARSHAD,MALE,,2886,,PAS,SALEH BIN ITAM,MALE,,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N. 5,PERLIS,P. 1,PADANG BESAR,N. 5,SANTAN,BN - UMNO,,6492,1312,77.08,5004,6,96,4902,UMNO,BAHARI BIN HJ. TAIB,MALE,,3107,,PAS,ABDULLAH BIN JASIN,MALE,,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N. 6,PERLIS,P. 2,KANGAR,N. 6,BINTONG,BN - UMNO,,7453,1942,77.36,5766,0,158,5608,UMNO,SOFIAH BT AHMAD,FEMALE,,3775,,PAS,MOHAMAD FAISOL B ABD RAHMAN,MALE,,1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N. 7,PERLIS,P. 2,KANGAR,N. 7,SENA,BN - UMNO,,7209,1982,74.62,5380,0,102,5278,UMNO,SELAMAT BIN SAAD,MALE,,3630,,PAS,AZIZ BIN SHARIFF,MALE,,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N. 8,PERLIS,P. 2,KANGAR,N. 8,INDERA KAYANGAN,BN - MCA,,7824,3333,71.52,5596,1,118,5477,MCA,KHOR LIANG TEE @ KHOR LIAN TEE,MALE,,4405,,,,,,,,,,,,,,S46,TENGKU YAAKOB BIN TENGKU MOHAMAD,MALE,,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N. 9,PERLIS,P. 2,KANGAR,N. 9,KUALA PERLIS,BN - UMNO,,7231,2199,73.43,5310,0,129,5181,UMNO,ABD KARIM @ IBRAHIM BIN MAT SALLEH,MALE,,3690,,PAS,AHMAD TAJUDDIN BIN SALLEH,MALE,,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N. 10,PERLIS,P. 2,KANGAR,N. 10,KAYANG,BN - UMNO,,6518,1796,75.46,4919,0,93,4826,UMNO,MOHAMAD HADZI BIN NORDIN,MALE,,3311,,PAS,KAMARUDDIN BIN HJ MOHD AKIB,MALE,,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
