UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,,33295,10070,77.65,25854,815,1083,23956,UMNO,BASERI @ AZMI BIN KHALID,MALE,55,17013,,PAS,HISHARUDDIN BIN HASSAN,MALE,,6943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,,36235,11000,74.43,26970,0,770,26200,UMNO,MD. ISA BIN SABU,MALE,48,18600,,PAS,AZIZ BIN SHARIFF,MALE,,7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,,34668,6929,76.51,26524,30,891,25603,UMNO,KAMARUDIN BIN AHMAD,MALE,46,16266,,,,,,,,,,,,,,S46,SAAD @ MD. ZAIN BIN HAMZAH,MALE,,9337,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,,21719,8425,76.12,16532,44,959,15529,UMNO,ABU BAKAR BIN TAIB,MALE,52,11977,,,,,,,,,,,,,,S46,RADZI BIN AHMAD,MALE,,3552,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5,KEDAH,P. 5,JERLUN,BN - UMNO,,43877,3576,76.24,33451,28,975,32448,UMNO,HANAFI BIN RAMLI,MALE,52,18012,,PAS,HALIM BIN ARSHAT,MALE,53,14436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,,44843,17226,74.03,33196,186,1246,31764,UMNO,MAHATHIR BIN MOHAMMAD,MALE,70,24495,,PAS,AHMAD BIN MA'ALIM @ MOHD ALIM,MALE,,7269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 7,KEDAH,P. 7,PADANG TERAP,BN - UMNO,,27294,2673,78.03,21297,17,811,20469,UMNO,AFFIFUDDIN BIN HAJI OMAR,MALE,52,11571,,PAS,MUSTAPHA KAMAL BIN SHAHROM,MALE,,8898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8,KEDAH,P. 8,POKOK SENA,BN - UMNO,,63901,4618,77.45,49494,1795,1747,45952,UMNO,WAN MOHD. HANAFIAH BIN WAN MOHD. SAMAN,MALE,56,25285,,PAS,MAHFUZ BIN HAJI OMAR,MALE,38,20667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9,KEDAH,P. 9,ALOR SETAR,BN - MCA,,61685,17665,67.93,41904,290,1393,40221,MCA,CHOR CHEE HEUNG,MALE,40,28943,,,,,,,,,,,,,,S46,TUNKU SOFIAH BINTI TUNKU MD JEWA,FEMALE,,11278,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10,KEDAH,P. 10,KUALA KEDAH,BN - UMNO,,57405,2986,74.23,42612,151,1029,41432,UMNO,KARIA @ ZAKARIA BIN SAID @ MOHD SAID,MALE,,22209,,PAS,ALI @ FADZIL BIN MD NOOR,MALE,58,19223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 11,KEDAH,P. 11,PENDANG,BN - UMNO,,51451,1933,77.51,39881,41,1129,38711,UMNO,OTHMAN BIN ABDUL,MALE,44,20322,,PAS,MOHAMED TAULAN BIN MAT RASUL,MALE,,18389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12,KEDAH,P. 12,YAN,BN - UMNO,,40657,4343,74.07,30115,74,874,29167,UMNO,BADRUDDIN BIN AMIRULDIN,MALE,45,16755,,PAS,MOHD NAJIB FAHAMI BIN HJ YAHAYA,MALE,,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13,KEDAH,P. 13,SIK,BN - UMNO,,30802,2134,78.54,24191,24,789,23378,UMNO,ABDUL HAMID BIN OTHMAN,MALE,56,12756,,PAS,HAJI ALI BIN TAIB,MALE,,10622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14,KEDAH,P. 14,MERBOK,BN - UMNO,,59438,22201,70.56,41941,0,1892,40049,UMNO,CHE ABDUL DAIM BIN HAJI ZAINUDDIN,MALE,57,31125,,,,,,,,,,,,,,S46,MAHERAN BINTI MUKTAR,MALE,,8924,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15,KEDAH,P. 15,SUNGAI PETANI,BN - UMNO,,65046,26221,73.91,48078,678,1785,45615,UMNO,CHE IBRAHIM BIN MUSTAFA,MALE,42,35918,,,,,,,,,,,,,,S46,SYED MANSOR BIN SYED SALIM,MALE,,9697,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16,KEDAH,P. 16,BALING,BN - UMNO,,50596,5693,75.93,38416,60,1153,37203,UMNO,RAJA ARIFFIN BIN RAJA SULAIMAN,MALE,54,21448,,PAS,MOHAMAD @ MD. YUSOFF BIN ISMAIL,MALE,,15755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17,KEDAH,P. 17,PADANG SERAI,BN - MCA,,60098,16553,70.57,42412,10,2090,40312,MCA,LIM LAY HOON,FEMALE,52,27844,,,,,,,,,,,,,,S46,AHMAD BIN AWANG,MALE,,11291,,,,,,,,INDEPENDENT - UMBRELLA,TAN KEE CHYE,MALE,,1177,LOST DEPOSIT,,,,,,,,,,,,
P. 18,KEDAH,P. 18,KULIM - BANDAR BAHARU,BN - UMNO,,45946,14302,70.6,32438,339,1491,30608,UMNO,ABDUL KADIR HJ SHEIKH FADZIR,MALE,56,22455,,,,,,,,,,,,,,S46,ABDUL AZIZ BIN MOHAMED,MALE,,8153,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19,KELANTAN,P. 19,TUMPAT,APU - PAS,,46202,1918,74.79,34553,117,990,33446,UMNO,KAMARUDIN BIN JAAFAR,MALE,44,15764,,PAS,WAN MOHD JAMIN BIN WAN MAHMOOD,MALE,50,17682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,APU - PAS,,42263,11094,76.18,32198,765,1486,29947,UMNO,ISMAIL BIN MAT,MALE,,9316,,PAS,MOHD AMAR BIN ABDULLAH,MALE,36,20410,,,,,,,,,,,,,,AKIM,YUSOF BIN MAT,MALE,,221,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 21,KELANTAN,P. 21,KOTA BHARU,S46,,60366,6268,71.31,43050,224,902,41924,UMNO,AHMAD RASTOM BIN HAJI AHMAD MAHER,MALE,45,17828,,,,,,,,,,,,,,S46,ILANI BINTI ISAHAK,FEMALE,42,24096,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22,KELANTAN,P. 22,PASIR MAS,S46,,48389,3216,76.45,36991,265,1154,35572,UMNO,IBRAHIM BIN ALI,MALE,44,16178,,,,,,,,,,,,,,S46,ZAINUDDIN BIN MOHAMAD NOR,MALE,44,19394,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23,KELANTAN,P. 23,RANTAU PANJANG,APU - PAS,,42754,4505,68.37,29229,88,1078,28063,UMNO,ABDULLAH BIN MAT YASIM,MALE,39,11779,,PAS,SANUSI BIN DAING MARIOK,MALE,57,16284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 24,KELANTAN,P. 24,KUBANG KERIAN,APU - PAS,,44319,10125,75.94,33654,104,921,32629,UMNO,MAT ZIN BIN AWANG,MALE,,11252,,PAS,MOHAMAD BIN SABU,MALE,41,21377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25,KELANTAN,P. 25,BACHOK,APU - PAS,,49984,4990,78.21,39090,141,1267,37682,UMNO,ZAIYADI BIN HAJI AWANG NOH,MALE,,16346,,PAS,BUNIYAMIN BIN YAAKOB,MALE,49,21336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26,KELANTAN,P. 26,PERINGAT,BN - UMNO,,42248,1935,79.14,33436,300,1621,31515,UMNO,ANNUAR BIN HJ MUSA,MALE,39,16725,,,,,,,,,,,,,,S46,RAFEI BIN MAT SALLEH,MALE,,14790,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27,KELANTAN,P. 27,TANAH MERAH,S46,,40906,506,75.74,30984,71,1164,29749,UMNO,HASHIM BIN SAFIN @ SHAFAIN,MALE,46,14485,,,,,,,,,,,,,,S46,IBRAHIM BIN PATEH MOHAMED,MALE,54,14991,,,,,,,,INDEPENDENT - FISH,CHE SEME BIN ABDULLAH,MALE,,273,LOST DEPOSIT,,,,,,,,,,,,
