UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,BASERI @ AZMI BIN KHALID,MALE,55,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,MD. ISA BIN SABU,MALE,48,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,KAMARUDIN BIN AHMAD,MALE,46,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,ABU BAKAR BIN TAIB,MALE,52,
P. 5,KEDAH,P. 5,JERLUN,BN - UMNO,HANAFI BIN RAMLI,MALE,52,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,MAHATHIR BIN MOHAMMAD,MALE,70,
P. 7,KEDAH,P. 7,PADANG TERAP,BN - UMNO,AFFIFUDDIN BIN HAJI OMAR,MALE,52,
P. 8,KEDAH,P. 8,POKOK SENA,BN - UMNO,WAN MOHD. HANAFIAH BIN WAN MOHD. SAMAN,MALE,56,
P. 9,KEDAH,P. 9,ALOR SETAR,BN - MCA,CHOR CHEE HEUNG,MALE,40,
P. 10,KEDAH,P. 10,KUALA KEDAH,BN - UMNO,KARIA @ ZAKARIA BIN SAID @ MOHD SAID,MALE,,
P. 11,KEDAH,P. 11,PENDANG,BN - UMNO,OTHMAN BIN ABDUL,MALE,44,
P. 12,KEDAH,P. 12,YAN,BN - UMNO,BADRUDDIN BIN AMIRULDIN,MALE,45,
P. 13,KEDAH,P. 13,SIK,BN - UMNO,ABDUL HAMID BIN OTHMAN,MALE,56,
P. 14,KEDAH,P. 14,MERBOK,BN - UMNO,CHE ABDUL DAIM BIN HAJI ZAINUDDIN,MALE,57,
P. 15,KEDAH,P. 15,SUNGAI PETANI,BN - UMNO,CHE IBRAHIM BIN MUSTAFA,MALE,42,
P. 16,KEDAH,P. 16,BALING,BN - UMNO,RAJA ARIFFIN BIN RAJA SULAIMAN,MALE,54,
P. 17,KEDAH,P. 17,PADANG SERAI,BN - MCA,LIM LAY HOON,FEMALE,52,
