UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE NAME,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P. 166_N. 1,SARAWAK,P. 166,MAS GADING,N. 1,TANJONG DATU,BN - SUPP,,11120,3417,72.37,8047,268,92,7687,SUPP,RAMSAY NOEL JITAM,MALE,64,5268,,,,,,,,INDEPENDENT - TRACTOR,CHEN YIEW ZEAN,MALE,,1851,,INDEPENDENT - PALM OIL TREE,JEHIM AK MILOS,MALE,,568,,,,,,,,,,,,,,,,,,,
P. 166_N. 2,SARAWAK,P. 166,MAS GADING,N. 2,TASIK BIRU,BN - SNAP,,15147,1575,70.83,10728,68,137,10523,SNAP,PETER NANSIAN,MALE,47,6049,,,,,,,,INDEPENDENT - KEY,DR PATAU RUBIS,MALE,50,4474,,,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 3,SARAWAK,P. 167,SANTUBONG,N. 3,PANTAI DAMAI,BN - PBB,Y,11273,,,,,,,PBB,SHARIFAH MORDIAH BTE TUANKU PAUZI,FEMALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 167_N. 4,SARAWAK,P. 167,SANTUBONG,N. 4,DEMAK LAUT,BN - PBB,,9107,4829,66.51,6057,26,130,5901,PBB,DR. ABANG HAJI DRAUP ZAMAHARI @ ABANG HAJI ABDUL RAUF B. ABG. HJ. ZEN,MALE,49,5365,,,,,,,,INDEPENDENT - KEY,JUNAIDI BIN PUTIH,MALE,,536,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 5,SARAWAK,P. 168,PETRA JAYA,N. 5,TUPONG,BN - PBB,,11119,5603,64.18,7136,69,142,6925,PBB,HAJI DAUD ABDUL RAHMAN,MALE,45,6264,,,,,,,,INDEPENDENT - UMBRELLA,ABANG ARRFIN BIN ABANG SEBLI,MALE,,661,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 6,SARAWAK,P. 168,PETRA JAYA,N. 6,SATOK,BN - PBB,,12803,5830,60.91,7798,260,102,7436,PBB,ABANG HJ. JOHARI B. TUN ABG. HJ. OPENG,MALE,45,6628,,,,,,,,INDEPENDENT - OIL PALM,SHARKAWI FAISAL B. OTHMAN,MALE,,808,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 7,SARAWAK,P. 168,PETRA JAYA,N. 7,SAMARIANG,BN - PBB,,10037,2461,61.21,6144,131,134,5879,PBB,DONA BABEL,FEMALE,51,4170,,,,,,,,INDEPENDENT,MARIAM BINTI MUSA,FEMALE,,1709,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 8,SARAWAK,P. 169,BANDAR KUCHING,N. 8,PADUNGAN,BN - SUPP,,24310,2132,61.35,14915,43,84,14788,SUPP,SONG SWEE GUAN,MALE,55,8319,,DAP,NG KIM HO,MALE,35,6187,,INDEPENDENT - KEY,ERIC LEE,MALE,,282,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 9,SARAWAK,P. 169,BANDAR KUCHING,N. 9,PENDING,BN - SUPP,,27016,6636,61.23,16541,53,136,16352,SUPP,SIM KHENG HUI,MALE,,11494,,,,,,,,INDEPENDENT - TIGER,TING KEE KAI,MALE,,4858,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 10,SARAWAK,P. 170,STAMPIN,N. 10,BATU LINTANG,BN - SUPP,,24215,6980,56.1,13585,186,110,13289,SUPP,CHAN SENG KHAI,MALE,,9400,,,,,,,,INDEPENDENT - KEY,FRANCIS SIAH,MALE,,2420,,INDEPENDENT - TIGER,CHUA CHIO KUIA,MALE,,1469,,,,,,,,,,,,,,,,,,,
P. 170_N. 11,SARAWAK,P. 170,STAMPIN,N. 11,BATU KAWAH,BN - SUPP,,22016,8825,61.19,13471,290,240,12941,SUPP,YAP CHIN LOI,MALE,,10883,,,,,,,,INDEPENDENT - KEY,DRIPIN AK SAKOI,MALE,,2058,,,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 12,SARAWAK,P. 171,KOTA SAMARAHAN,N. 12,ASAJAYA,BN - PBB,Y,9453,,,,,,,PBB,DATUK PATINGGI HJ. ABDUL TAIB BIN MAHMUD,MALE,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 171_N. 13,SARAWAK,P. 171,KOTA SAMARAHAN,N. 13,MUARA TUANG,BN - PBB,Y,17231,,,,,,,PBB,DATUK HAJI ADENAN B. HAJI SATEM,MALE,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172_N. 14,SARAWAK,P. 172,MAMBONG,N. 14,BENGOH,BN - SUPP,,17540,1627,68.24,11969,51,212,11706,SUPP,WILLIAM TANYUH AK NUB,MALE,52,6312,,,,,,,,INDEPENDENT - UMBRELLA,DR. AKAW NONJEP,MALE,,181,,INDEPENDENT - SCISSORS,DR. JERIP AK SUSIL,MALE,39,4865,,INDEPENDENT - KEY,WILFRED AHMIN GUMUNG @ AMIN ANAK GUNUNG,MALE,,348,,,,,,,,,,,,,
P. 172_N. 15,SARAWAK,P. 172,MAMBONG,N. 15,TARAT,BN - PBB,Y,14885,,,,,,,PBB,ROLAND SAGAH WEE INN,MALE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
