UNIQUE CODE (1996),STATE (1996),PARLIAMENTARY CONSTITUENCY CODE (1996),PARLIAMENTARY CONSTITUENCY NAME (1996),STATE CONSTITUENCY CODE (1996),STATE CONSTITUENCY NAME (1996),AREA (SQ KM),NOTES
P. 166_N. 1,SARAWAK,P. 166,MAS GADING,N. 1,TANJONG DATU,1034,As per 1996 Redelineation Exercise of Sarawak
P. 166_N. 2,SARAWAK,P. 166,MAS GADING,N. 2,TASIK BIRU,1022,As per 1996 Redelineation Exercise of Sarawak
P. 167_N. 3,SARAWAK,P. 167,SANTUBONG,N. 3,PANTAI DAMAI,736,As per 1996 Redelineation Exercise of Sarawak
P. 167_N. 4,SARAWAK,P. 167,SANTUBONG,N. 4,DEMAK LAUT,223,As per 1996 Redelineation Exercise of Sarawak
P. 168_N. 5,SARAWAK,P. 168,PETRA JAYA,N. 5,TUPONG,95,As per 1996 Redelineation Exercise of Sarawak
P. 168_N. 6,SARAWAK,P. 168,PETRA JAYA,N. 6,SATOK,6,As per 1996 Redelineation Exercise of Sarawak
P. 168_N. 7,SARAWAK,P. 168,PETRA JAYA,N. 7,SAMARIANG,13,As per 1996 Redelineation Exercise of Sarawak
P. 169_N. 8,SARAWAK,P. 169,BANDAR KUCHING,N. 8,PADUNGAN,7,As per 1996 Redelineation Exercise of Sarawak
P. 169_N. 9,SARAWAK,P. 169,BANDAR KUCHING,N. 9,PENDING,14,As per 1996 Redelineation Exercise of Sarawak
P. 170_N. 10,SARAWAK,P. 170,STAMPIN,N. 10,BATU LINTANG,39,As per 1996 Redelineation Exercise of Sarawak
P. 170_N. 11,SARAWAK,P. 170,STAMPIN,N. 11,BATU KAWAH,198,As per 1996 Redelineation Exercise of Sarawak
P. 171_N. 12,SARAWAK,P. 171,KOTA SAMARAHAN,N. 12,ASAJAYA,268,As per 1996 Redelineation Exercise of Sarawak
P. 171_N. 13,SARAWAK,P. 171,KOTA SAMARAHAN,N. 13,MUARA TUANG,507,As per 1996 Redelineation Exercise of Sarawak
P. 172_N. 14,SARAWAK,P. 172,MAMBONG,N. 14,BENGOH,602,As per 1996 Redelineation Exercise of Sarawak
P. 172_N. 15,SARAWAK,P. 172,MAMBONG,N. 15,TARAT,782,As per 1996 Redelineation Exercise of Sarawak
P. 173_N. 16,SARAWAK,P. 173,SERIAN,N. 16,TEBEDU,606,As per 1996 Redelineation Exercise of Sarawak
P. 173_N. 17,SARAWAK,P. 173,SERIAN,N. 17,KEDUP,1408,As per 1996 Redelineation Exercise of Sarawak
P. 174_N. 18,SARAWAK,P. 174,BATANG SADONG,N. 18,SADONG JAYA,226,As per 1996 Redelineation Exercise of Sarawak
P. 174_N. 19,SARAWAK,P. 174,BATANG SADONG,N. 19,SIMUNJAN,938,As per 1996 Redelineation Exercise of Sarawak
P. 175_N. 20,SARAWAK,P. 175,BATANG LUPAR,N. 20,SEBUYAU,1332,As per 1996 Redelineation Exercise of Sarawak
P. 175_N. 21,SARAWAK,P. 175,BATANG LUPAR,N. 21,BETING MARO,692,As per 1996 Redelineation Exercise of Sarawak
P. 176_N. 22,SARAWAK,P. 176,SRI AMAN,N. 22,BUKIT BEGUNAN,1635,As per 1996 Redelineation Exercise of Sarawak
P. 176_N. 23,SARAWAK,P. 176,SRI AMAN,N. 23,SIMANGGANG,757,As per 1996 Redelineation Exercise of Sarawak
P. 177_N. 24,SARAWAK,P. 177,LUBOK ANTU,N. 24,ENGKILILI,1298,As per 1996 Redelineation Exercise of Sarawak
P. 177_N. 25,SARAWAK,P. 177,LUBOK ANTU,N. 25,BATANG AIR,1996,As per 1996 Redelineation Exercise of Sarawak
P. 178_N. 26,SARAWAK,P. 178,BETONG,N. 26,SARIBAS,417,As per 1996 Redelineation Exercise of Sarawak
P. 178_N. 27,SARAWAK,P. 178,BETONG,N. 27,LAYAR,782,As per 1996 Redelineation Exercise of Sarawak
P. 179_N. 28,SARAWAK,P. 179,SARATOK,N. 28,KALAKA,778,As per 1996 Redelineation Exercise of Sarawak
P. 179_N. 29,SARAWAK,P. 179,SARATOK,N. 29,KRIAN,882,As per 1996 Redelineation Exercise of Sarawak
