UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 1_N.1,PERLIS,P. 1,PADANG BESAR,N.1,TITI TINGGI,BN - MCA,,6771,1112,78.32,5303,515,116,4672,MCA,LOH YOON FOO,MALE,,2892,,PAS,CIKGU IBRAHIM BIN SAID,MALE,,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N.2,PERLIS,P. 1,PADANG BESAR,N.2,BESERI,BN - UMNO,,6871,819,73.77,5069,230,110,4729,UMNO,ZAHIDI BIN ZAINUL ABIDIN,MALE,,2774,,PAS,HAJI ABD. RAHMAN BIN HAJI REJAB,MALE,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N.3,PERLIS,P. 1,PADANG BESAR,N.3,CHUPING,BN - UMNO,,7501,1260,85.31,6399,1,146,6252,UMNO,YAZIZ @ YAZID BIN MAT,MALE,,3756,,PAS,WAN KHARIZAL BIN WAN KHAZIM,MALE,,2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N.4,PERLIS,P. 1,PADANG BESAR,N.4,MATA AYER,BN - UMNO,,4880,664,83.87,4093,250,71,3772,UMNO,ISHAK BIN ARSHAD,MALE,,2218,,PAS,SUWARDI BIN YAACOB,MALE,,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 1_N.5,PERLIS,P. 1,PADANG BESAR,N.5,SANTAN,BA - PAS,,6455,269,85.34,5509,87,87,5335,UMNO,DATO' BAHARI BIN HAJI TAIB,MALE,,2533,,PAS,USTAZ ZOLKHARNAIN BIN ABIDIN,MALE,,2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N.6,PERLIS,P. 2,KANGAR,N.6,BINTONG,BN - UMNO,,7751,306,82.56,6399,0,135,6264,UMNO,MD. ISA BIN SABU,MALE,,3285,,PAS,ABDUL BIN ZAKARIA,MALE,,2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N.7,PERLIS,P. 2,KANGAR,N.7,SENA,BN - UMNO,,7490,544,80.91,6060,75,107,5878,UMNO,AZIHANI BT. DATO' ALI,FEMALE,,3211,,PAS,MOHAMMAD FAISOL B. ABD. RAHMAN,MALE,,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N.8,PERLIS,P. 2,KANGAR,N.8,INDERA KAYANGAN,BN - MCA,,7977,1974,75.54,6026,196,154,5676,MCA,KHOR LIAN TEE @ KHOR LIANG TEE,MALE,,3825,,,,,,,,PKN,KO CHU LIANG,MALE,,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N.9,PERLIS,P. 2,KANGAR,N.9,KUALA PERLIS,BN - UMNO,,7426,1320,78.43,5824,22,148,5654,UMNO,BAKAR BIN SAAD,MALE,,3487,,PAS,NADZAHARUDDIN BIN MOHD. NOOR,MALE,,2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2_N.10,PERLIS,P. 2,KANGAR,N.10,KAYANG,BN - UMNO,,6580,331,83.04,5464,6,139,5319,UMNO,MOHAMAD HADZI B. HJ. NORDIN,MALE,,2825,,PAS,HJ. MARZUKHI B HJ. OTHMAN,MALE,,2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
