UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,,32478,4519,78.04,25347,653,441,24253,UMNO,DATO' HAJI AZMI BIN KHALID,MALE,59,14386,,,,,,,,PKN,MOHD ANUAR BIN MOHD TAHIR,MALE,42,9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,,37224,4049,79.42,29564,73,482,29009,UMNO,TAN SRI HAMID,MALE,55,16529,,PAS,CIK GU ZAINUL ABIDIN BIN YAHAYA,MALE,,12480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,,36031,1586,81.8,29473,51,414,29008,UMNO,HAJJAH MASTIKA JUNAIDAH BT HUSIN,FEMALE,,15297,,PAS,DR. ABD. AZIZ BIN HANAFI,MALE,51,13711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,,23081,6547,80.44,18566,64,351,18151,UMNO,DATO' ABU BAKAR BIN TAIB,MALE,57,12349,,PAS,IR. HJ. AMIRUDDIN B. HJ. HAMZAH,MALE,,5802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5,KEDAH,P. 5,JERLUN,BA - PAS,,44000,380,78.26,34436,13,595,33828,UMNO,ISMAIL BIN TAIB,MALE,,16724,,PAS,USTAZ DRS. HJ. ABU BAKAR HJ OTHMAN,MALE,,17104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,,45925,10138,78.62,36106,769,677,34660,UMNO,DR. MAHATHIR BIN MOHAMAD,MALE,74,22399,,PAS,SUBKY ABD. LATIF,MALE,59,12261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 7,KEDAH,P. 7,PADANG TERAP,BA - PAS,,28977,1053,83.37,24157,294,480,23383,UMNO,HJ OTHMAN BIN HJ ISMAIL,MALE,,11165,,PAS,ZAWAWI BIN HJ. AHMAD,MALE,57,12218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8,KEDAH,P. 8,POKOK SENA,BA - PAS,,68125,3637,77.47,52779,777,707,51295,UMNO,WAN HANAFIAH BIN WAN MAT SAMAN,MALE,60,23829,,PAS,HJ. MAHFUZ BIN HJ. OMAR,MALE,42,27466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9,KEDAH,P. 9,ALOR SETAR,BN - MCA,,63678,14589,68.37,43538,891,1542,41105,MCA,CHOR CHEE HEUNG,MALE,44,27847,,DAP,GEORGE JOHN A/L/ K.M. GEORGE,MALE,,13258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10,KEDAH,P. 10,KUALA KEDAH,BA - PAS,,61114,991,76.55,46781,27,649,46105,UMNO,DR FAUZI BIN HAJI ABDUL HAMID,MALE,,22557,,PAS,HAJI MOHAMAD SABU,MALE,45,23548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
