Created on,26/7/2024,
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Laporan Pilihanraya Umum Malaysia 1999, Government Gazettes P.U. (B) 460 - P. U. (B) 474 26th November 1999, International Parliamentary Union, Election Passport, New Straits Times 1st December 1999. For specific Parliamentarian Candidate background details, refer to 1999_Other_Sources_Parliament_File",
Disclaimers,"Parliamentary Constituency Names follow the EC Map of 1994 (for Peninsular Malaysia, Labuan, and Sabah) and 1996 (for Sarawak). Barisan Alternatif is made up by PAS, DAP, PKR and PRM and during the 1999 elections, certain parties within Barisan Alternatif clashed among themselves. Dr Kumar is a member of Parti Sosialis Malaysia (then as unregistered party) and contested under DAP ticket. EC has made mistakes in quantifying the number of candidates losing deposits (missed out on the PAS candidate of Kota Belud for losing deposit). Missing Information of Independent's symbol for PJ Selatan (Selangor) and Julau (Sarawak). EC report has made an error in writing the majority of 9215 for Kota Samarahan (Sarawak). EC report has contradictory or alternate values for turnout rates for Pasir Mas (Kelantan), Tanjong (Pulau Pinang), Jelutong (Pulau Pinang), Gerik (Perak), Parit Buntar (Perak), Bagan Serai (Perak), Chenderoh (Perak), Sungai Siput (Perak), Tambun (Perak), Ipoh Timor (Perak), Ipoh Barat (Perak), Batu Gajah (Perak), Kuala Kangsar (Perak), Beruas (Perak), Parit (Perak), Bagan Datok (Perak), Telok Intan (Perak), Tanjong Malim (Perak), Hulu Selangor (Selangor), Subang (Selangor), Shah Alam (Selangor), Kapar (Selangor), Ledang (Johor) and Papar (Sabah). EC report made an error of unreturned votes for Hulu Langat (Selangor) and claiming it is 440. EC report made mistake for total valid votes for BN candidate of Kuantan (claiming it is 28479) and Kanowit (claiming it is 7782). EC report has contradictory values for total electors (claiming it is 9564071), total ballots issued, total rejected votes and total valid votes for majority of coalitions and political parties (refer to table below). EC report has contradictory values of total electors of Terengganu (claiming there are 387339 voters) and Perak (claiming there are 1159858 voters). 1999_PARLIAMENTARY_CANDIDATE_NOTES file shows which candidates require sex category verification. Postal Vote Statistics are derived from Laporan Pilihan Raya Umum  Malaysia 1999, Suruhanjaya Pilihan Raya. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives",
,,
"Error in Coalition/Party Valid Votes, Total Valid Votes, Rejected Votes",,
,EC Report,Tindak Malaysia
BN,3748511,3761201
PAS,994279,996713
DAP,830870,847388
PKR,773679,767959
PBS,143342,143144
PRM,68990,69026
STAR,23354,23254
MDP,8001,8005
BERJASA,409,409
AKIM,274,274
INDEPENDENT,39385,39560
TOTAL VALID VOTE,6631094,6656933
REJECTED VOTES,196095,143018
,,
Attribute,,
,,
FIELD NAME,FIELD DESCRIPTION,
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code",
STATE,State Name,
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia and Sabah, 1994 - 2003, for Sarawak, 1996 - 2005)",
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia and Sabah, 1994 - 2003, for Sarawak, 1996 - 2005)",
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",
TOTAL ELECTORATE,Total Elector count using 1999 Elections which was built on 1998 Electoral Roll certified on 7th January 1999 and revised up to 13th October 1999,
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,
TOTAL BALLOTS ISSUED,Total Number of Ballot Papers issued at the poll (including postal ballot papers issued to voters and rejected ballot papers but excluding spoilt ballot papers),
TOTAL UNRETURNED VOTES,Number of ballots papers issued but no returned (including postal ballot papers),
TOTAL REJECTED VOTES,Total number of rejected ballot papers,
TOTAL VALID VOTES,Total number of votes by electors,
BN,Barisan Nasional (BN) Component Party,
BN CANDIDATE,Barisan Nasional Candidate Name,
BN CANDIDATE SEX,Male/Female Classification,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
BA (1),Barisan Alternatif (BA) Component Party,
BA (1) CANDIDATE,BA Candidate Name,
BA (1) CANDIDATE SEX,Male/Female Classification,
BA (1) CANDIDATE AGE,Age of BA Candidate,
BA (1) VOTE,BA Valid Vote for the Candidate,
BA (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
BA (2),Barisan Alternatif (BA) Component Party (reserved for PKR),
BA (2) CANDIDATE,BA Candidate Name,
BA (2) CANDIDATE SEX,Male/Female Classification,
BA (2) CANDIDATE AGE,Age of Party Candidate,
BA (2) VOTE,Party Valid Vote for the BA Candidate,
BA (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (1),Other Party,
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (2),Other Party,
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (2) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (1),Independent with Symbol,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (2),Independent with Symbol,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (3),Independent with Symbol,
