UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,BERSEKUTU,BERSEKUTU CANDIDATE,BERSEKUTU CANDIDATE SEX,BERSEKUTU CANDIDATE AGE,BERSEKUTU VOTE,BERSEKUTU CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 146_N. 1,SABAH,P. 146,MARUDU,N. 1,BANGGI,BN - UMNO,,7650,1014,71.99,5507,228,93,5186,UMNO,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,,2854,,,,,,,,PBS,SALBIN BIN MUKSIN,MALE,,1840,,BERSEKUTU,GHAZALI BIN HARRIS,MALE,,454,LOST DEPOSIT,,,,,,,INDEPENDENT - OIL PALM,TAM CHIU MOI @ OI YEN,MALE,,38,LOST DEPOSIT,,,,,,,,,,,,
P. 146_N. 2,SABAH,P. 146,MARUDU,N. 2,KUDAT,BN - LDP,,17977,1488,72.78,13083,3,112,12968,LDP,CHONG KAH KIAT,MALE,,6935,,,,,,,,PBS,KONG HONG MING @ KONG FO MIN,MALE,,5447,,BERSEKUTU,WONG SZE PHIN,MALE,,481,LOST DEPOSIT,SETIA,AHMAD @ TAWANG BIN JALIL,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 146_N. 3,SABAH,P. 146,MARUDU,N. 3,BENGKOKA,BN - UMNO,,10384,1921,68.75,7139,0,110,7029,UMNO,MASRANI BIN PARMAN,MALE,,4042,,,,,,,,PBS,RAHIM @ RICHARD BIN MAZAGI,MALE,,2121,,BERSEKUTU,DG. MAIMUNAH BINTI DATU MUSTAPHA,FEMALE,,211,LOST DEPOSIT,SETIA,TSEN KWET CHONG,MALE,,97,LOST DEPOSIT,INDEPENDENT - UMBRELLA,PAULUS ITOM @ PAUL TOM,MALE,,558,LOST DEPOSIT,,,,,,,,,,,,
P. 147_N. 4,SABAH,P. 147,BANDAU,N. 4,MATUNGGONG,PBS,,11627,1724,77.23,8979,5,95,8879,AKAR,MARKUS BIN MAJIHI,MALE,,3407,,,,,,,,PBS,ATONG BIN MANGABIS,MALE,,5131,,BERSEKUTU,BERMAN BIN ANGKAP,MALE,,282,LOST DEPOSIT,SETIA,JUNAN BIN OLOK @ ABD KARIM,MALE,,59,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 147_N. 5,SABAH,P. 147,BANDAU,N. 5,TANDEK,PBS,,13864,1259,77.09,10688,11,131,10546,PDS,SAIBUL BIN SUPU,MALE,,4412,,,,,,,,PBS,JOHNITY @ MAXIMUS BIN ONGKILI,MALE,,5671,,BERSEKUTU,JOE SANTI,MALE,,463,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 6,SABAH,P. 148,KOTA BELUD,N. 6,TEMPASUK,BN - UMNO,,12239,735,82.92,10149,222,134,9793,UMNO,MUSBAH B. JAMLI,MALE,,4911,,PAS,PAUMIN @ MOHD AMINUDDIN BIN ALING,MALE,,239,LOST DEPOSIT,PBS,ABD. SALAM BIN GIBAN @ ABDUL KADIR,MALE,,4176,,BERSEKUTU,IBRAHIM BIN LINGGAM,MALE,,368,LOST DEPOSIT,SETIA,MASUD BIN NANANG,MALE,,38,LOST DEPOSIT,INDEPENDENT - UMBRELLA,DAUSIN @ LAWRENCE BIN PANGALIN JOE,MALE,,61,LOST DEPOSIT,,,,,,,,,,,,
P. 148_N. 7,SABAH,P. 148,KOTA BELUD,N. 7,KADAMAIAN,PBS,,11536,3858,82.69,9539,7,73,9459,PDS,BAGGAI BIN BASIRUN,MALE,,2725,,,,,,,,PBS,TIMBON @ HERBERT BIN LAGADAN,MALE,,6583,,BERSEKUTU,LIDU @ SERIRAMA BIN JOHARI,MALE,,151,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 8,SABAH,P. 148,KOTA BELUD,N. 8,USUKAN,BN - UMNO,,14526,3624,80.26,11658,6,128,11524,UMNO,MD SALLEH MD SAID,MALE,,7127,,,,,,,,PBS,SAIDIL @ SAIDI BIN SIMOI,MALE,,3503,,BERSEKUTU,MUDRY BIN NASIR,MALE,,894,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 9,SABAH,P. 149,TUARAN,N. 9,TAMPARULI,PBS,,13487,2186,78.85,10635,32,64,10539,PDS,MOJILIP BIN BUMBURING @ WILFRED,MALE,,3939,,,,,,,,PBS,LINGGU @ EDWARD BIN BUKUT,MALE,,6125,,BERSEKUTU,MANGGOH AROW @ MONGGOH OROW,MALE,,475,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 10,SABAH,P. 149,TUARAN,N. 10,SULAMAN,BN - UMNO,,13968,3444,77.39,10810,11,115,10684,UMNO,HAJIJI BIN HAJI NOOR,MALE,,6571,,,,,,,,PBS,UTUH @ RAKAM BIN SIJIM,MALE,,3127,,BERSEKUTU,MOHAMED DAUD BIN ABDILLAH,MALE,,886,LOST DEPOSIT,SETIA,HAMDIN @ DIN BIN ABD KADIR,MALE,,100,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
