UNIQUE CODE (1994),PARLIAMENTARY CONSTITUENCY CODE (1994),PARLIAMENTARY CONSTITUENCY NAME (1994),STATE CONSTITUENCY CODE (1994),STATE CONSTITUENCY NAME (1994),UNIQUE CODE (1999),STATE (1999),PARLIAMENTARY CONSTITUENCY CODE (1999),PARLIAMENTARY CONSTITUENCY NAME (1999),STATE CONSTITUENCY CODE (1999),STATE CONSTITUENCY NAME (1999),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P. 134_N. 1,P. 134,MARUDU,N. 1,BANGGI,P. 146_N. 1,SABAH,P. 146,MARUDU,N. 1,BANGGI,,,
P. 134_N. 2,P. 134,MARUDU,N. 2,KUDAT,P. 146_N. 2,SABAH,P. 146,MARUDU,N. 2,KUDAT,,,
P. 134_N. 3,P. 134,MARUDU,N. 3,BENGKOKA,P. 146_N. 3,SABAH,P. 146,MARUDU,N. 3,BENGKOKA,,,
P. 135_N. 4,P. 135,BANDAU,N. 4,MATUNGGONG,P. 147_N. 4,SABAH,P. 147,BANDAU,N. 4,MATUNGGONG,,,Boundaries were changed
P. 135_N. 5,P. 135,BANDAU,N. 5,TANDEK,P. 147_N. 5,SABAH,P. 147,BANDAU,N. 5,TANDEK,,,Boundaries were changed
P. 135_N. 6,P. 135,BANDAU,N. 6,LANGKON,,,,,,,,,Constituency was abolished and parts of it moved to Matunggong and Tandek constituencies
P. 136_N. 7,P. 136,KOTA BELUD,N. 7,TEMPASUK,P. 148_N. 6,SABAH,P. 148,KOTA BELUD,N. 6,TEMPASUK,,,Boundaries were changed
P. 136_N. 8,P. 136,KOTA BELUD,N. 8,USUKAN,P. 148_N. 8,SABAH,P. 148,KOTA BELUD,N. 8,USUKAN,,,Boundaries were changed
P. 136_N. 9,P. 136,KOTA BELUD,N. 9,KADAMAIAN,P. 148_N. 7,SABAH,P. 148,KOTA BELUD,N. 7,KADAMAIAN,,,Boundaries were changed
P. 137_N. 10,P. 137,TUARAN,N. 10,TAMPARULI,P. 149_N. 9,SABAH,P. 149,TUARAN,N. 9,TAMPARULI,,,Boundaries were changed
P. 137_N. 11,P. 137,TUARAN,N. 11,SULAMAN,P. 149_N. 10,SABAH,P. 149,TUARAN,N. 10,SULAMAN,,,Boundaries were changed
P. 137_N. 12,P. 137,TUARAN,N. 12,KIULU,P. 149_N. 11,SABAH,P. 149,TUARAN,N. 11,KIULU,,,Boundaries were changed
P. 138_N. 13,P. 138,KINABALU,N. 13,KUNDASANG,P. 156_N. 25,SABAH,P. 156,KINABALU,N. 25,KUNDASANG,,,Boundaries were changed
P. 138_N. 14,P. 138,KINABALU,N. 14,RANAU,P. 156_N. 26,SABAH,P. 156,KINABALU,N. 26,RANAU,,,Boundaries were changed
P. 139_N. 15,P. 139,JAMBONGAN,N. 15,SUGUT,P. 159_N. 32,SABAH,P. 159,BELURAN,N. 32,SUGUT,,,Parliamentary constituency of Jambongan renamed as Beluran
P. 139_N. 16,P. 139,JAMBONGAN,N. 16,LABUK,P. 159_N. 33,SABAH,P. 159,BELURAN,N. 33,LABUK,,,Parliamentary constituency of Jambongan renamed as Beluran
P. 139_N. 17,P. 139,JAMBONGAN,N. 17,SUNGAI SIBUGA,P. 160_N. 34,SABAH,P. 160,LIBARAN,N. 34,SUNGAI SIBUGA,,,Moved from the former parliamentary constituency of Jambongan (now Beluran) to the new parliamentary constituency of Libaran
P. 140_N. 18,P. 140,SANDAKAN,N. 18,ELOPURA,P. 161_N. 36,SABAH,P. 161,SANDAKAN,N. 36,ELOPURA,,,
P. 140_N. 19,P. 140,SANDAKAN,N. 19,TANJONG PAPAT,P. 161_N. 37,SABAH,P. 161,SANDAKAN,N. 37,TANJONG PAPAT,,,
P. 140_N. 20,P. 140,SANDAKAN,N. 20,KARAMUNTING,P. 161_N. 38,SABAH,P. 161,SANDAKAN,N. 38,KARAMUNTING,,,
P. 141_N. 21,P. 141,KINABATANGAN,N. 21,SEKONG,P. 160_N. 35,SABAH,P. 160,LIBARAN,N. 35,SEKONG,,,Boundaries were changed. Moved from the parliamentary constituency of Kinabatangan to the new parliamentary constituency of Libaran
P. 141_N. 22,P. 141,KINABATANGAN,N. 22,SUKAU,P. 162_N. 39,SABAH,P. 162,KINABATANGAN,N. 39,SUKAU,,,Boundaries were changed
P. 141_N. 23,P. 141,KINABATANGAN,N. 23,KUAMUT,P. 162_N. 40,SABAH,P. 162,KINABATANGAN,N. 40,KUAMUT,,,Boundaries were changed
