UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,AREA (SQ KM),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 146_N. 1,SABAH,P. 146,MARUDU,N. 1,BANGGI,1260,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 146_N. 2,SABAH,P. 146,MARUDU,N. 2,KUDAT,229,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 146_N. 3,SABAH,P. 146,MARUDU,N. 3,BENGKOKA,815,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 4,SABAH,P. 147,BANDAU,N. 4,MATUNGGONG,797,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 5,SABAH,P. 147,BANDAU,N. 5,TANDEK,1474,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 6,SABAH,P. 148,KOTA BELUD,N. 6,TEMPASUK,437,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 7,SABAH,P. 148,KOTA BELUD,N. 7,KADAMAIAN,842,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 8,SABAH,P. 148,KOTA BELUD,N. 8,USUKAN,102,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 9,SABAH,P. 149,TUARAN,N. 9,TAMPARULI,208,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 10,SABAH,P. 149,TUARAN,N. 10,SULAMAN,152,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 11,SABAH,P. 149,TUARAN,N. 11,KIULU,885,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 150_N. 12,SABAH,P. 150,GAYA,N. 12,INANAM,204,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 150_N. 13,SABAH,P. 150,GAYA,N. 13,LIKAS,102,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 151_N. 14,SABAH,P. 151,TANJONG ARU,N. 14,API - API,18,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 151_N. 15,SABAH,P. 151,TANJONG ARU,N. 15,SEMBULAN,26,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 152_N. 16,SABAH,P. 152,PENAMPANG,N. 16,MOYOG,440,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 152_N. 17,SABAH,P. 152,PENAMPANG,N. 17,PETAGAS,43,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 153_N. 18,SABAH,P. 153,PAPAR,N. 18,KAWANG,315,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 153_N. 19,SABAH,P. 153,PAPAR,N. 19,PANTAI MANIS,422,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 154_N. 20,SABAH,P. 154,BEAUFORT,N. 20,BONGAWAN,604,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 154_N. 21,SABAH,P. 154,BEAUFORT,N. 21,KUALA PENYU,484,"While redelineated in 1994, the boundaries were used from 1999 elections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
