Created on,12/12/2025,
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Tindak Malaysia (2025), Laporan Pilihan Raya Umum Dewan Undangan Negeri Sarawak yang Kelapan, 2001 .  For more information, please refer to SARAWAK_2001_Other_Sources_DUN_File",
Disclaimers,"There are gaps in the age data for the candidates. There are missing Independent symbols.  There are discrepancies for DUN Belaga data if one follows the Election Commission report (The report claims Total Ballots Issued is 4193, turnout is 64.75% and winning majority is 1324. DAP withdrew from Barisan Alternatif in September 2001 and Barisan Alternatif is made up of PAS, PKN and PRM. Despite PAS and PKR are in the same coalition, they did clash in one seat. PKN and DAP had negotiation for one-to-one fight against BN in certain constituencies but clashes emerged. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives.",
,,
DUN Candidates where sex category require more verification,,
PKR,TAY CHEO HONG,MALE
DAP,TEO CHUNG CHAI,MALE
STAR,TUSA LO TAI CHAI,MALE
STAR,BAYANG ANAK SUNGKEY,MALE
DAP,YEK SIE PING,MALE
DAP,TING CHECK MING,MALE
INDEPENDENT,CHIN YOO NGIM,MALE
INDEPENDENT,ASEM ANAK MANSOR,MALE
INDEPENDENT,FLORENCE WALTER SAMUEL,FEMALE
INDEPENDENT,MEGONG ANAK GREK,MALE
INDEPENDENT,LING KOK HONG,MALE
INDEPENDENT,MAI LAGIW @ MAY ANAK LEGEW,MALE
INDEPENDENT,MERENG IMANG,MALE
INDEPENDENT,KEBING WAN,MALE
INDEPENDENT,CHIN MA TAK @ RAPHAEL MADA,MALE
INDEPENDENT,CHUA BEE HUN,MALE
INDEPENDENT,LEE HUN TAK,MALE
,,
Attribute,,
,,
FIELD NAME,FIELD DESCRIPTION,
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier),
STATE,State Name,
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1996 - 2005),
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1996 - 2005),
STATE CONSTITUENCY CODE,State Constituency Code (1996 - 2005),
STATE CONSTITUENCY NAME,State Constituency Name (1996 - 2005),
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",
TOTAL ELECTORATE,Total Elector count using Electoral roll of 2000 revised up 29th August 2001,
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll,
TOTAL UNRETURNED VOTES,Number of ballots papers issued but no returned (including postal ballot papers),
