UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 166_N. 1,SARAWAK,P. 166,MAS GADING,N. 1,TANJONG DATU,BN - SUPP,RANUM ANAK MINA,MALE,50,
P. 166_N. 2,SARAWAK,P. 166,MAS GADING,N. 2,TASIK BIRU,BN - SNAP,PETER NANSIAN ANAK NGUSIE,MALE,52,
P. 167_N. 3,SARAWAK,P. 167,SANTUBONG,N. 3,PANTAI DAMAI,BN - PBB,ABDUL RAHMAN B. JUNAIDI,MALE,40,
P. 167_N. 4,SARAWAK,P. 167,SANTUBONG,N. 4,DEMAK LAUT,BN - PBB,ABG DRAUP ZAMAHARI B. ABG. HAJI ZEN,MALE,54,
P. 168_N. 5,SARAWAK,P. 168,PETRA JAYA,N. 5,TUPONG,BN - PBB,DAUD BIN DRAHMAN @ ABDUL RAHMAN,MALE,50,
P. 168_N. 6,SARAWAK,P. 168,PETRA JAYA,N. 6,SATOK,BN - PBB,ABG. ABD. RAHMAN ZOHARI BIN ABG. OPENG,MALE,51,
P. 168_N. 7,SARAWAK,P. 168,PETRA JAYA,N. 7,SAMARIANG,BN - PBB,SHARIFAH MORDIAH BT TUANKU FAUZI,FEMALE,53,
P. 169_N. 8,SARAWAK,P. 169,BANDAR KUCHING,N. 8,PADUNGAN,BN - SUPP,LILY YONG LEE LEE,FEMALE,52,
P. 169_N. 9,SARAWAK,P. 169,BANDAR KUCHING,N. 9,PENDING,BN - SUPP,SIM KHENG HUI,MALE,,
P. 170_N. 10,SARAWAK,P. 170,STAMPIN,N. 10,BATU LINTANG,BN - SUPP,CHAN SENG KHAI,MALE,,
P. 170_N. 11,SARAWAK,P. 170,STAMPIN,N. 11,BATU KAWAH,BN - SUPP,ALFRED YAP CHIN LOI,MALE,49,Y
P. 171_N. 12,SARAWAK,P. 171,KOTA SAMARAHAN,N. 12,ASAJAYA,BN - PBB,ABD KARIM RAHMAN HAMZAH,MALE,41,
P. 171_N. 13,SARAWAK,P. 171,KOTA SAMARAHAN,N. 13,MUARA TUANG,BN - PBB,DATO' HAJI ADENAN BIN HAJI SATEM,MALE,57,
P. 172_N. 14,SARAWAK,P. 172,MAMBONG,N. 14,BENGOH,BN - SUPP,BELEK @ JERIP ANAK SUSIL,MALE,44,
P. 172_N. 15,SARAWAK,P. 172,MAMBONG,N. 15,TARAT,BN - PBB,ROLAND SAGAH WEE INN,MALE,,
P. 173_N. 16,SARAWAK,P. 173,SERIAN,N. 16,TEBEDU,BN - PBB,MICHAEL MANYIN ANAK JAWONG,MALE,56,
P. 173_N. 17,SARAWAK,P. 173,SERIAN,N. 17,KEDUP,BN - PBB,FREDERICK BAYOI ANAK MANGGIE,MALE,58,
P. 174_N. 18,SARAWAK,P. 174,BATANG SADONG,N. 18,SADONG JAYA,BN - PBB,WAN WAHAP @ WAN ABD. WAHAB BIN WAN SANUSI,MALE,51,
P. 174_N. 19,SARAWAK,P. 174,BATANG SADONG,N. 19,SIMUNJAN,BN - PBB,MOHD NARODEN BIN MAJAIS,MALE,48,
P. 175_N. 20,SARAWAK,P. 175,BATANG LUPAR,N. 20,SEBUYAU,BN - PBB,JULAIHI BIN NARAWI,MALE,46,
P. 175_N. 21,SARAWAK,P. 175,BATANG LUPAR,N. 21,BETING MARO,BN - PBB,BOLHASSAN BIN DI,MALE,48,
P. 176_N. 22,SARAWAK,P. 176,SRI AMAN,N. 22,BUKIT BEGUNAN,BN - PBDS,MONG ANAK DAGANG,MALE,46,
P. 176_N. 23,SARAWAK,P. 176,SRI AMAN,N. 23,SIMANGGANG,BN - SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,45,
