Sabah Candidates requiring more verification for sex category,,,
State Constituency,Party,Candidate Name,Sex Category
INANAM,BERSEKUTU,LEE YUN FEN,MALE
KAPAYAN,PKR,LIAW CHIN SIN,MALE
KAPAYAN,DAP,KOK THAU LIN,MALE
KAWANG,PASOK,MAIJI JAIGUL,MALE
SINDUMIN,BERSEKUTU,SUMAYUNG USING,MALE
GUM-GUM,PKR,ZAHARAH TAN,FEMALE
SUNGAI SIBUGA,INDEPENDENT - FISH,LUE SUE SENG,MALE
KARAMUNTING,PKR,CHIN VUI KEONG,MALE
ELOPURA,PASOK,LIAW TECK MING,MALE
SRI TANJONG,DAP,CHEAH NGET MIN,MALE
MEROTAI,INDEPENDENT - FISH,FOO CHEE KING,MALE
