UNIQUE CODE (2003),STATE (2003),PARLIAMENTARY CONSTITUENCY CODE (2003),PARLIAMENTARY CONSTITUENCY NAME (2003),STATE CONSTITUENCY CODE (2003),STATE CONSTITUENCY NAME (2003),AREA (SQ KM),NOTES
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,120.15,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,137.93,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,144.35,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,19.37,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,25.14,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,66.28,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,26.47,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,6.99,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,21.11,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,30.64,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,51.25,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.003_N.12,PERLIS,P.003,ARAU,N.12,TAMBUN TULANG,42.6,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.003_N.13,PERLIS,P.003,ARAU,N.13,GUAR SANJI,44.54,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.003_N.14,PERLIS,P.003,ARAU,N.14,SIMPANG EMPAT,36.87,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.003_N.15,PERLIS,P.003,ARAU,N.15,SANGLANG,39.81,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,217.4,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,118.19,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,151.84,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,167.26,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,458.93,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,168.68,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,665.38,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,692.41,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,229.99,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,79.43,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,10.86,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,BAKAR BATA,25.14,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,4.76,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,79.13,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,88.84,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,51.52,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,91.45,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,157.8,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,471.95,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,144.05,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,97.56,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,214.64,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,1316.44,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,335.61,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,283.45,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,156.9,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,122.87,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,33,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,91.5,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,802.74,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,470.2,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,269.83,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,270.46,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,81.76,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,413.95,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,272.02,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,45.28,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,50.93,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,38.38,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,39.36,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,20.84,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,30.7,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,24.99,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.021_N.08,KELANTAN,P.021,KOTA BHARU,N.08,TANJONG MAS,11.99,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.021_N.09,KELANTAN,P.021,KOTA BHARU,N.09,KOTA LAMA,6.47,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.021_N.10,KELANTAN,P.021,KOTA BHARU,N.10,BUNUT PAYONG,12.99,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.022_N.11,KELANTAN,P.022,PASIR MAS,N.11,TENDONG,52.37,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.022_N.12,KELANTAN,P.022,PASIR MAS,N.12,PENGKALAN PASIR,29.75,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.022_N.13,KELANTAN,P.022,PASIR MAS,N.13,CHETOK,120.42,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P.023_N.14,KELANTAN,P.023,RANTAU PANJANG,N.14,MERANTI,83.71,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
