UNIQUE CODE (1999),STATE (1999),PARLIAMENTARY CONSTITUENCY CODE (1999),PARLIAMENTARY CONSTITUENCY NAME (1999),STATE CONSTITUENCY CODE (1999),STATE CONSTITUENCY NAME (1999),UNIQUE CODE (2003),STATE (2003),PARLIAMENTARY CONSTITUENCY CODE (2003),PARLIAMENTARY CONSTITUENCY NAME (2003),STATE CONSTITUENCY CODE (2003),STATE CONSTITUENCY NAME (2003),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P. 146_N. 1,SABAH,P. 146,MARUDU,N. 1,BANGGI,P. 167_N. 1,SABAH,P. 167,KUDAT,N. 1,BANGGI,,,Boundary has changed. Parent parliamentary constituency of Marudu renamed as Kudat
P. 146_N. 2,SABAH,P. 146,MARUDU,N. 2,KUDAT,P. 167_N. 2,SABAH,P. 167,KUDAT,N. 2,TANJONG KAPOR,Y,,Boundary has changed. Parent parliamentary constituency of Marudu renamed as Kudat
P. 146_N. 3,SABAH,P. 146,MARUDU,N. 3,BENGKOKA,P. 167_N. 3,SABAH,P. 167,KUDAT,N. 3,PITAS,Y,,Boundary has changed. Parent parliamentary constituency of Marudu renamed as Kudat
P. 147_N. 4,SABAH,P. 147,BANDAU,N. 4,MATUNGGONG,P. 168_N. 4,SABAH,P. 168,KOTA MARUDU,N. 4,MATUNGGONG,,,Boundary has changed. Parent parliamentary constituency of Bandau renamed as Kota Marudu
P. 147_N. 5,SABAH,P. 147,BANDAU,N. 5,TANDEK,P. 168_N. 5,SABAH,P. 168,KOTA MARUDU,N. 5,TANDEK,,,Boundary has changed. Parent parliamentary constituency of Bandau renamed as Kota Marudu
P. 148_N. 6,SABAH,P. 148,KOTA BELUD,N. 6,TEMPASUK,P. 169_N. 6,SABAH,P. 168,KOTA BELUD,N. 6,TEMPASUK,,,
P. 148_N. 7,SABAH,P. 148,KOTA BELUD,N. 7,KADAMAIAN,P. 169_N. 7,SABAH,P. 169,KOTA BELUD,N. 7,KADAMAIAN,,,
P. 148_N. 8,SABAH,P. 148,KOTA BELUD,N. 8,USUKAN,P. 169_N. 8,SABAH,P. 169,KOTA BELUD,N. 8,USUKAN,,,
P. 149_N. 9,SABAH,P. 149,TUARAN,N. 9,TAMPARULI,P. 170_N. 9,SABAH,P. 170,TUARAN,N. 9,TAMPARULI,,,
P. 149_N. 10,SABAH,P. 149,TUARAN,N. 10,SULAMAN,P. 170_N. 10,SABAH,P. 170,TUARAN,N. 10,SULAMAN,,,
