UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 167_N. 1,SABAH,P. 167,KUDAT,N. 1,BANGGI,BN - UMNO,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,,
P. 167_N. 2,SABAH,P. 167,KUDAT,N. 2,TANJONG KAPOR,BN - LDP,DATUK CHONG KAH KIAT,MALE,,
P. 167_N. 3,SABAH,P. 167,KUDAT,N. 3,PITAS,BN - UMNO,DATUK MASRANI PARMAN,MALE,,
P. 168_N. 4,SABAH,P. 168,KOTA MARUDU,N. 4,MATUNGGONG,BN - PBS,JORNAH BINTI MOZIHIM,FEMALE,,
P. 168_N. 5,SABAH,P. 168,KOTA MARUDU,N. 5,TANDEK,BN - PBS,DATUK DR MAXIMUS JOHNITY ONGKILI,MALE,,
P. 168_N. 6,SABAH,P. 168,KOTA MARUDU,N. 6,TEMPASUK,BN - UMNO,TAN SRI PANDIKAR AMIN,MALE,,
P. 169_N. 7,SABAH,P. 169,KOTA BELUD,N. 7,KADAMAIAN,BN - PBS,TIMBON @ HERBERT BIN LAGADAN,MALE,,
P. 169_N. 8,SABAH,P. 169,KOTA BELUD,N. 8,USUKAN,BN - UMNO,JAPLIN BIN AKIM,MALE,,
P. 170_N. 9,SABAH,P. 170,TUARAN,N. 9,TAMPARULI,BN - PBS,JAHID JAHIM,MALE,,
P. 170_N. 10,SABAH,P. 170,TUARAN,N. 10,SULAMAN,BN - UMNO,HAJIJI BIN HAJI NOOR,MALE,,
P. 170_N. 11,SABAH,P. 170,TUARAN,N. 11,KIULU,BN - PBS,DATUK LOVIS RAMPAS,MALE,,
P. 171_N. 12,SABAH,P. 171,SEPANGGAR,N. 12,KARAMBUNAI,BN - UMNO,DATIN SAIDATUL BADRU BINTI TUN MOHD SAID,FEMALE,,
P. 171_N. 13,SABAH,P. 171,SEPANGGAR,N. 13,INANAM,BN - PBS,JOHNNY GOH CHIN LOK,MALE,,
P. 172_N. 14,SABAH,P. 172,KOTA KINABALU,N. 14,LIKAS,BN - SAPP,LIEW TECK CHAN,MALE,,
P. 172_N. 15,SABAH,P. 172,KOTA KINABALU,N. 15,API-API,BN - PBS,DR. YEE MOH CHAI,MALE,,
P. 172_N. 16,SABAH,P. 172,KOTA KINABALU,N. 16,LUYANG,BN - SAPP,MELANIE CHIA CHUI KET,FEMALE,,
P. 173_N. 17,SABAH,P. 173,PUTATAN,N. 17,TANJONG ARU,BN - PBS,IR. EDWARD YONG OUI FAH,MALE,,
P. 173_N. 18,SABAH,P. 173,PUTATAN,N. 18,PETAGAS,BN - UMNO,YAHYA HUSSAIN,MALE,,
P. 174_N. 19,SABAH,P. 174,PENAMPANG,N. 19,KAPAYAN,BN - MCA,KHOO KEOK HAI,MALE,,
P. 174_N. 20,SABAH,P. 174,PENAMPANG,N. 20,MOYOG,BN - UPKO,PHILIP B. LASIMBANG,MALE,,
P. 175_N. 21,SABAH,P. 175,PAPAR,N. 21,KAWANG,BN - UMNO,GULAM HAIDAR BIN KHAN BAHADAR,MALE,,
P. 175_N. 22,SABAH,P. 175,PAPAR,N. 22,PANTAI MANIS,BN - UMNO,ABDUL RAHIM BIN ISMAIL,MALE,,Y
P. 176_N. 23,SABAH,P. 176,KIMANIS,N. 23,BONGAWAN,BN - UMNO,KARIM BIN BUJANG,MALE,,
P. 176_N. 24,SABAH,P. 176,KIMANIS,N. 24,MEMBAKUT,BN - UMNO,MOHD. ARIFIN BIN MOHD. ARIF,MALE,,
P. 177_N. 25,SABAH,P. 177,BEAUFORT,N. 25,KLIAS,BN - UMNO,LAJIM BIN UKIM,MALE,,Y
P. 177_N. 26,SABAH,P. 177,BEAUFORT,N. 26,KUALA PENYU,INDEPENDENT - UMBRELLA,JOHAN @ CHRISTOPHER BIN O T GHANI,MALE,,
P. 178_N. 27,SABAH,P. 178,SIPITANG,N. 27,LUMADAN,BN - UMNO,SURINAM HAJI SADIKUN,MALE,,
P. 178_N. 28,SABAH,P. 178,SIPITANG,N. 28,SINDUMIN,BN - UMNO,SAPAWI HJ. AHMAD,MALE,,
P. 179_N. 29,SABAH,P. 179,RANAU,N. 29,KUNDASANG,BN - PBS,DR JOACHIM GUNSALAM,MALE,,
P. 179_N. 30,SABAH,P. 179,RANAU,N. 30,KARANAAN,BN - UMNO,DATUK MASIDI MANJUN,MALE,,
P. 179_N. 31,SABAH,P. 179,RANAU,N. 31,PAGINATAN,BN - UPKO,DATUK EWON EBIN,MALE,,
P. 180_N. 32,SABAH,P. 180,KENINGAU,N. 32,TAMBUNAN,BN - PBS,JOSEPH PAIRIN KITINGAN,MALE,,
P. 180_N. 33,SABAH,P. 180,KENINGAU,N. 33,BINGKOR,BN - UPKO,JUSTIN GUKA,MALE,,
P. 180_N. 34,SABAH,P. 180,KENINGAU,N. 34,LIAWAN,BN - UMNO,DATUK HJ SAIRIN HJ KARNO,MALE,,
P. 181_N. 35,SABAH,P. 181,TENOM,N. 35,MELALAP,BN - PBS,RADIN MALEH,MALE,,Y
P. 181_N. 36,SABAH,P. 181,TENOM,N. 36,KEMABONG,BN - UMNO,DATUK RUBIN BALANG,MALE,,
