UNIQUE CODE (2004),STATE (2004),PARLIAMENTARY CONSTITUENCY CODE (2004),PARLIAMENTARY CONSTITUENCY NAME (2004),STATE CONSTITUENCY CODE (2004),STATE CONSTITUENCY NAME (2004),UNIQUE CODE (2005),STATE (2005),PARLIAMENTARY CODE (2005),PARLIAMENTARY NAME (2005),STATE CONSTITUENCY CODE (2005),STATE CONSTITUENCY NAME (2005),DUN CONSTITUENCY NAME CHANGE,NEW DUN SEAT,NOTES
,,,,,,P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,,YES,Constituency formed from DUN Tanjong Datu and Tasik Biru
P.192_N. 1,SARAWAK,P.192,MAS GADING,N. 1,TANJONG DATU,P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,,,Boundaries were changed. Moved from Parent Parliamentary Constituency of Mas Gading to Santubong
P.192_N. 2,SARAWAK,P.192,MAS GADING,N. 2,TASIK BIRU,P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,,,
P.193_N. 3,SARAWAK,P.193,SANTUBONG,N. 3,PANTAI DAMAI,P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,,,
P.193_N. 4,SARAWAK,P.193,SANTUBONG,N. 4,DEMAK LAUT,P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,,,
P.194_N. 5,SARAWAK,P.194,PETRA JAYA,N. 5,TUPONG,P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,,,
P.194_N. 6,SARAWAK,P.194,PETRA JAYA,N. 6,SATOK,P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,,,
P.194_N. 7,SARAWAK,P.194,PETRA JAYA,N. 7,SAMARIANG,P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,,,
P.195_N. 8,SARAWAK,P.195,BANDAR KUCHING,N. 8,PADUNGAN,P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,,,
P.195_N. 9,SARAWAK,P.195,BANDAR KUCHING,N. 9,PENDING,P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,,,
P.196_N. 10,SARAWAK,P.196,STAMPIN,N. 10,BATU LINTANG,P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,,,Boundaries were changed
,,,,,,P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,,YES,Constituency formed from DUN Batu Lintang and Batu Kawah
P.196_N. 11,SARAWAK,P.196,STAMPIN,N. 11,BATU KAWAH,P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,,,Boundaries were changed
P.197_N. 12,SARAWAK,P.197,KOTA SAMARAHAN,N. 12,ASAJAYA,P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,,,Boundaries were changed
P.197_N. 13,SARAWAK,P.197,KOTA SAMARAHAN,N. 13,MUARA TUANG,P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,,,
P.198_N. 14,SARAWAK,P.198,MAMBONG,N. 14,BENGOH,P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,,,
P.198_N. 15,SARAWAK,P.198,MAMBONG,N. 15,TARAT,P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,,,
P.199_N. 16,SARAWAK,P.199,SERIAN,N. 16,TEBEDU,P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,,,
P.199_N. 17,SARAWAK,P.199,SERIAN,N. 17,KEDUP,P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,,,Boundaries were changed
