UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),URBAN-RURAL CLASSIFICATION (2006)
P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,7379,3.16%,6.82%,11.40%,78.60%,,0.03%,RURAL
P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,14983,5.52%,27.80%,0.01%,66.62%,0.01%,0.03%,RURAL
P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,7973,51.21%,20.97%,13.26%,14.56%,,,RURAL
P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,12073,95.69%,3.06%,1.17%,0.07%,,0.01%,SEMI URBAN
P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,10080,90.91%,7.44%,1.58%,0.01%,,0.06%,SEMI URBAN
P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,14787,75.08%,16.96%,4.71%,2.52%,,0.73%,SEMI URBAN
P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,13498,90.21%,1.22%,8.48%,0.02%,,0.07%,URBAN
P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,10835,76.53%,19.23%,3.56%,,,0.67%,URBAN
P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,24512,5.26%,91.79%,1.22%,0.89%,0.14%,0.71%,URBAN
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,29503,5.21%,90.45%,2.24%,1.66%,0.16%,0.29%,URBAN
P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,24783,5.81%,84.47%,6.33%,2.14%,0.45%,0.79%,URBAN
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,18934,10.46%,77.15%,5.93%,5.68%,0.27%,0.50%,URBAN
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,16237,21.38%,60.08%,1.60%,16.46%,0.15%,0.33%,SEMI URBAN
P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,12016,81.24%,9.80%,8.96%,,,,RURAL
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,14303,48.50%,18.72%,19.37%,12.98%,,0.43%,RURAL
P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,20077,6.29%,27.83%,0.06%,65.72%,,0.10%,RURAL
P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,15171,4.28%,30.22%,,65.45%,,0.05%,RURAL
P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,11793,6.83%,1.81%,,90.90%,0.02%,0.45%,RURAL
P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,15994,6.59%,18.09%,,73.91%,0.06%,1.35%,RURAL
P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,6917,82.91%,7.91%,9.08%,,,0.10%,RURAL
P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,9846,60.03%,5.29%,34.54%,,,0.13%,RURAL
