UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPDENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPDENDENT (5) CANDIDATE,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P. 167_N. 1,SABAH,P. 167,KUDAT,N. 1,BANGGI,BN - UMNO,,8187,2024,62.4,5109,8,232,4869,UMNO,ABD MIJUL BIN UNAINI,MALE,,3351,,PKR,MURSALIM BIN TANJUL,MALE,,1327,,,,,,,,BERSEKUTU,MARTIN BIN LANTOP,MALE,,87,LOST DEPOSIT,INDEPENDENT - UMBRELLA,KUSUGAN BIN ALI,MALE,,70,LOST DEPOSIT,INDEPENDENT - OIL PALM,USMAR BIN UYUH,MALE,,34,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 167_N. 2,SABAH,P. 167,KUDAT,N. 2,TANJONG KAPOR,BN - LDP,,19500,3619,67.87,13234,77,567,12590,LDP,TEO CHEE KANG,MALE,,6629,,PKR,NG KIM KIAT,MALE,,1831,,,,,,,,BERSEKUTU,BERMAN BIN ANGKAP,MALE,,32,LOST DEPOSIT,INDEPENDENT - KEY,ASBIAH BINTI ANGGAR,FEMALE,,73,LOST DEPOSIT,INDEPENDENT - OIL PALM,TSEN HENG CHONG @ PETER TSEN,MALE,,3010,,INDEPENDENT - FISH,AWANG KARIM BIN ABDUL KADIR,MALE,,871,,INDEPENDENT - WAU,EDWIN BIN PIUS @ ENTAK,MALE,,109,LOST DEPOSIT,INDEPENDENT - UMBRELLA,MASIUN BIN MUPANG,MALE,,35,LOST DEPOSIT
P. 167_N. 3,SABAH,P. 167,KUDAT,N. 3,PITAS,BN - UMNO,,11956,3848,68.69,8213,15,277,7921,UMNO,BOLKIAH BIN ISMAIL,MALE,,5761,,PKR,PAULUS ITOM @ PAUL TOM,MALE,,1913,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,JOLLY B.MAJALAP @ LUCUNDUS HARRY,MALE,,120,LOST DEPOSIT,INDEPENDENT - UMBRELLA,YUSOFF BIN MATARANG,MALE,,127,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 168_N. 4,SABAH,P. 168,KOTA MARUDU,N. 4,MATUNGGONG,BN - PBS,,15400,2982,70.64,10879,14,254,10611,PBS,SARAPIN BIN MAGANA,MALE,,6701,,PKR,MUADA BIN OJIHI,MALE,,3719,,,,,,,,BERSEKUTU,SANTAIN BIN MANURUN,MALE,,191,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168_N. 5,SABAH,P. 168,KOTA MARUDU,N. 5,TANDEK,BN - PBS,,16538,2237,70.59,11675,360,364,10951,PBS,LASIAH BARANTING @ ANITA,FEMALE,,5598,,PKR,JURIN BIN K K GUNSALAM @ SAIDINA ALI,MALE,,3361,,,,,,,,BERSEKUTU,MASINGKAN @ SHINGKAN BIN MASAMPUN,MALE,,202,LOST DEPOSIT,INDEPENDENT - KEY,ISANG BIN RAWAI,MALE,,112,LOST DEPOSIT,INDEPENDENT - UMBRELLA,ANDY VILISON,MALE,,1678,,,,,,,,,,,,,,,,,,,
P. 168_N. 6,SABAH,P. 168,KOTA BELUD,N. 6,TEMPASUK,BN - UMNO,,14291,2432,78.14,11167,2,324,10841,UMNO,MUSBAH BIN JAMLI,MALE,,6541,,PKR,LAIMAN BIN IKIN @ AG. LAIMAN B KAKIMIN,MALE,,4109,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,IBRAHIM BIN LINGGAM,MALE,,191,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 7,SABAH,P. 169,KOTA BELUD,N. 7,KADAMAIAN,BN - PBS,,12964,2473,79.36,10288,0,268,10020,PBS,TIMBON @ HERBERT BIN LAGADAN,MALE,,5382,,PKR,LUKIA BINTI INDAN,FEMALE,,2909,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,PETER MARAJIN @ PETER MARAZING,MALE,,1729,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169_N. 8,SABAH,P. 169,KOTA BELUD,N. 8,USUKAN,BN - UMNO,,15816,4023,77.54,12263,22,336,11905,UMNO,JAPLIN BIN AKIM @ ABD HAMID,MALE,,7964,,PKR,MOHD SHUKOR BIN ABDUL MUMIN,MALE,,3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 9,SABAH,P. 170,TUARAN,N. 9,TAMPARULI,BN - PBS,,14912,2743,72.32,10785,0,204,10581,PBS,JAHID @ NOORDIN BIN JAHIM,MALE,,6568,,PKR,HENRY MISUN,MALE,,3825,,,,,,,,,,,,,,INDEPENDENT - KEY,SILIM B YAMIN,MALE,,188,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 170_N. 10,SABAH,P. 170,TUARAN,N. 10,SULAMAN,BN - UMNO,,16076,5456,79.44,12770,0,304,12466,UMNO,HAJIJI BIN HAJI NOOR,MALE,,8961,,PKR,UMSERY @ ANSARI BIN ABDULLAH,MALE,,3505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
