UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,,36613,5348,80.05,29310,2,674,28634,UMNO,AZMI BIN KHALID,MALE,67,16991,,PAS,ZOLKHARNAIN BIN ABIDIN,MALE,,11643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,,43591,13671,80.17,34946,167,808,33971,UMNO,MOHD RADZI BIN SHEIKH AHMAD,MALE,66,23821,,PKR,TUNKU ABDUL RAHMAN BIN TUNKU ISMAIL,MALE,,10150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,,39877,300,83.45,33276,88,586,32602,UMNO,ISMAIL BIN KASIM,MALE,49,16451,,PAS,HARON BIN DIN,MALE,68,16151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,,29567,4970,78.71,23273,49,670,22554,UMNO,ABU BAKAR BIN TAIB,MALE,65,13762,,PKR,WAN SALLEH BIN WAN ISA,MALE,,8792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5,KEDAH,P. 5,JERLUN,BN - UMNO,,45513,2205,81.95,37297,55,599,36643,UMNO,MUKHRIZ MAHATHIR,MALE,44,19424,,PAS,IDRIS BIN AHMAD,MALE,50,17219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,,53323,7060,79.43,42353,127,928,41298,UMNO,MOHD JOHARI BIN BAHARUM,MALE,54,24179,,PAS,ABD ISA BIN ISMAIL,MALE,,17119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 7,KEDAH,P. 7,PADANG TERAP,PAS,,35403,369,86,30445,38,770,29637,UMNO,GHAZALI BIN IBRAHIM,MALE,55,14634,,PAS,MOHD NASIR BIN ZAKARIA,MALE,,15003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8,KEDAH,P. 8,POKOK SENA,PAS,,69631,5731,79.44,55318,636,1039,53643,UMNO,ABDUL RAHMAN BIN IBRAHIM,MALE,59,23956,,PAS,MAHFUZ BIN OMAR,MALE,51,29687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9,KEDAH,P. 9,ALOR STAR,BN - MCA,,58957,184,73.28,43206,151,1757,41298,MCA,CHOR CHEE HEUNG,MALE,53,20741,,PKR,GOOI HSIAO - LEUNG,MALE,,20557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10,KEDAH,P. 10,KUALA KEDAH,PKR,,83132,7018,79.09,65750,5,1385,64360,UMNO,HASHIM BIN JAHAYA,MALE,46,28671,,PKR,AHMAD BIN KASIM,MALE,,35689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
