UNIQUE CODE (2008),STATE (2008),PARLIAMENTARY CONSTITUENCY CODE (2008),PARLIAMENTARY CONSTITUENCY NAME (2008),AREA (SQ KM),NOTES
P. 1,PERLIS,P. 1,PADANG BESAR,446.94,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 2,PERLIS,P. 2,KANGAR,151.49,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 3,PERLIS,P. 3,ARAU,215.07,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 4,KEDAH,P. 4,LANGKAWI,335.59,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 5,KEDAH,P. 5,JERLUN,319.1,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 6,KEDAH,P. 6,KUBANG PASU,627.61,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 7,KEDAH,P. 7,PADANG TERAP,1357.79,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 8,KEDAH,P. 8,POKOK SENA,320.28,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 9,KEDAH,P. 9,ALOR STAR,109.03,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 10,KEDAH,P. 10,KUALA KEDAH,231.81,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 11,KEDAH,P. 11,PENDANG,629.75,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 12,KEDAH,P. 12,JERAI,456.25,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 13,KEDAH,P. 13,SIK,1652.05,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 14,KEDAH,P. 14,MERBOK,440.35,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 15,KEDAH,P. 15,SUNGAI PETANI,247.37,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 16,KEDAH,P. 16,BALING,1542.77,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 17,KEDAH,P. 17,PADANG SERAI,352.22,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 18,KEDAH,P. 18,KULIM-BANDAR BAHARU,685.97,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 19,KELANTAN,P. 19,TUMPAT,173.95,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,76.53,"According to EC's 2003 redelineation report for Peninsular Malaysia and Labuan, EC claims the area size is 289.94 sq km. This does not tally with individual DUN areas"
P. 21,KELANTAN,P. 21,KOTA BHARU,31.45,"According to EC's 2003 redelineation report for Peninsular Malaysia and Labuan, EC claims the area size is 346.28 sq km. This does not tally with individual DUN areas"
P. 22,KELANTAN,P. 22,PASIR MAS,202.54,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 23,KELANTAN,P. 23,RANTAU PANJANG,354.56,"According to EC's 2003 redelineation report for Peninsular Malaysia and Labuan, EC claims the area size is 354.46 sq km. This does not tally with individual DUN areas"
P. 24,KELANTAN,P. 24,KUBANG KERIAN,116.68,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 25,KELANTAN,P. 25,BACHOK,272.34,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 26,KELANTAN,P. 26,KETEREH,163.39,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 27,KELANTAN,P. 27,TANAH MERAH,657.23,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 28,KELANTAN,P. 28,PASIR PUTEH,414.79,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 29,KELANTAN,P. 29,MACHANG,523.6,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 30,KELANTAN,P. 30,JELI,1545.53,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 31,KELANTAN,P. 31,KUALA KRAI,2241.01,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 32,KELANTAN,P. 32,GUA MUSANG,7603.52,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 33,TERENGGANU,P. 33,BESUT,1037.04,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 34,TERENGGANU,P. 34,SETIU,1655.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 35,TERENGGANU,P. 35,KUALA NERUS,337.73,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,54.16,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 37,TERENGGANU,P. 37,MARANG,713.95,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,3898.39,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 39,TERENGGANU,P. 39,DUNGUN,2728.51,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 40,TERENGGANU,P. 40,KEMAMAN,2529.11,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,134.48,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,108.71,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 43,PULAU PINANG,P. 43,BAGAN,18.54,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,97.03,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,76.95,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 46,PULAU PINANG,P. 46,BATU KAWAN,124.29,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 47,PULAU PINANG,P. 47,NIBONG TEBAL,176.52,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 48,PULAU PINANG,P. 48,BUKIT BENDERA,63.06,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 49,PULAU PINANG,P. 49,TANJONG,5.88,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 50,PULAU PINANG,P. 50,JELUTONG,8.26,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 51,PULAU PINANG,P. 51,BUKIT GELUGOR,27.11,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 52,PULAU PINANG,P. 52,BAYAN BARU,46.75,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 53,PULAU PINANG,P. 53,BALIK PULAU,149.56,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 54,PERAK,P. 54,GERIK,4477.13,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 55,PERAK,P. 55,LENGGONG,2110.98,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 56,PERAK,P. 56,LARUT,1088.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 57,PERAK,P. 57,PARIT BUNTAR,144.17,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 58,PERAK,P. 58,BAGAN SERAI,753.47,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 59,PERAK,P. 59,BUKIT GANTANG,802.08,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 60,PERAK,P. 60,TAIPING,147.84,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 61,PERAK,P. 61,PADANG RENGAS,394.22,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 62,PERAK,P. 62,SUNGAI SIPUT,1576.22,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 63,PERAK,P. 63,TAMBUN,528.31,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 64,PERAK,P. 64,IPOH TIMOR,37.73,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 65,PERAK,P. 65,IPOH BARAT,32.82,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 66,PERAK,P. 66,BATU GAJAH,206.87,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
