STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
N. 1,BANGGI,BN - UMNO,ABD MIJUL BIN UNAINI,MALE,,
N. 2,TANJONG KAPOR,BN - LDP,TEO CHEE KANG,MALE,,
N. 3,PITAS,BN - UMNO,BOLKIAH BIN ISMAIL,MALE,,
N. 4,MATUNGGONG,BN - PBS,SARAPIN BIN MAGANA,MALE,,
N. 5,TANDEK,BN - PBS,LASIAH BARANTING @ ANITA,FEMALE,,
N. 6,TEMPASUK,BN - UMNO,MUSBAH BIN JAMLI,MALE,,
N. 7,KADAMAIAN,BN - PBS,TIMBON @ HERBERT BIN LAGADAN,MALE,,
N. 8,USUKAN,BN - UMNO,JAPLIN BIN AKIM @ ABD HAMID,MALE,,
N. 9,TAMPARULI,BN - PBS,JAHID @ NOORDIN BIN JAHIM,MALE,,
N. 10,SULAMAN,BN - UMNO,HAJIJI BIN HAJI NOOR,MALE,,
N. 11,KIULU,BN - PBS,LOVIS RAMPAS,MALE,,
N. 12,KARAMBUNAI,BN - UMNO,JAINAB BINTI AHMAD,FEMALE,,
N. 13,INANAM,BN - PBS,GOH CHIN LOK @ JOHNNY GOH,MALE,,
N. 14,LIKAS,BN - SAPP,LIEW TECK CHAN,MALE,,
N. 15,API-API,BN - PBS,YEE MOH CHAI,MALE,,
N. 16,LUYANG,BN - SAPP,CHIA CHUI KET,FEMALE,,
N. 17,TANJONG ARU,BN - PBS,YONG OUI FAH,MALE,,
N. 18,PETAGAS,BN - UMNO,YAHYAH @ YAHYA BIN HUSSIN B AG. HUSIN,MALE,,
N. 19,KAPAYAN,BN - MCA,KHOO KEOK HAI,MALE,,
N. 20,MOYOG,BN - UPKO,DONALD PETER MOJUNTIN,MALE,,
N. 21,KAWANG,BN - UMNO,GULAMHAIDAR @ YUSOF BIN KHAN BAHADAR,MALE,,
N. 22,PANTAI MANIS,BN - UMNO,ABDUL RAHIM BIN ISMAIL,MALE,,
N. 23,BONGAWAN,BN - UMNO,KARIM BIN BUJANG,MALE,,
N. 24,MEMBAKUT,BN - UMNO,MOHD ARIFIN BIN MOHD ARIF,MALE,,
N. 25,KLIAS,BN - UMNO,AZIZAH BINTI MOHD DUN,FEMALE,,
N. 26,KUALA PENYU,BN - UPKO,TEO KWAN CHIN @ TEO MAU SING,MALE,,
N. 27,LUMADAN,BN - UMNO,KAMARLIN BIN OMBI,MALE,,
N. 28,SINDUMIN,BN - UMNO,AHMAD BIN BUJANG,MALE,,
N. 29,KUNDASANG,BN - PBS,JOACHIM GUNSALAM,MALE,,
N. 30,KARANAAN,BN - UMNO,MASIDI BIN MANJUN @ MASDI,MALE,,
N. 31,PAGINATAN,BN - UPKO,EWON BIN EBIN,MALE,,
N. 32,TAMBUNAN,BN - PBS,JOSEPH PAIRIN KITINGAN,MALE,,
N. 33,BINGKOR,BN - UPKO,JUSTIN BIN GUKA,MALE,,
N. 34,LIAWAN,BN - UMNO,SAPIN @ SAIRIN KARANO @ KARNO,MALE,,
N. 35,MELALAP,BN - PBS,RADIN MALLEH,MALE,,
N. 36,KEMABONG,BN - UMNO,RUBIN BIN BALANG,MALE,,
N. 37,SOOK,BN - PBRS,ELLRON BIN ANGIN,MALE,,
N. 38,NABAWAN,BN - UPKO,BOBBEY AH FANG BIN SUAN,MALE,,
N. 39,SUGUT,BN - UMNO,SURADY BIN KAYON,MALE,,
N. 40,LABUK,BN - PBS,METAH @ MICHEAL BIN ASANG,MALE,,
N. 41,GUM-GUM,BN - UMNO,ZAKARIA BIN MOHD.EDRIS @ TUBAU,MALE,,Y
N. 42,SUNGAI SIBUGA,BN - UMNO,MUSA BIN AMAN,MALE,,
N. 43,SEKONG,BN - UMNO,SAMSUDIN BIN YAHYA,MALE,,
N. 44,KARAMUNTING,BN - LDP,PETER PANG EN YIN,MALE,,
N. 45,ELOPURA,BN - SAPP,AU KAM WAH,MALE,,
N. 46,TANJONG PAPAT,BN - SAPP,TAN SHU KIAH,MALE,,
N. 47,KUAMUT,BN - UPKO,MASIUNG BIN BANAH,MALE,,
N. 48,SUKAU,BN - UMNO,SADDI BIN ABDU RAHMAN,MALE,,
N. 49,TUNGKU,BN - UMNO,MOHD SUHAILI BIN SAID,MALE,,
N. 50,LAHAD DATU,BN - UMNO,DATU NASRUN BIN DATU MANSUR,MALE,,
N. 51,KUNAK,BN - UMNO,NILWAN BIN KABANG,MALE,,
N. 52,SULABAYAN,BN - UMNO,HARMAN BIN MOHAMAD,MALE,,
N. 53,SENALLANG,BN - UMNO,NASIR BIN SAKARAN,MALE,,
N. 54,BUGAYA,BN - UMNO,RAMLEE BIN MARAHABAN,MALE,,Y
N. 55,BALUNG,BN - UMNO,S.ABAS BIN S.ALI,MALE,,
N. 56,APAS,BN - UMNO,TAWFIQ BIN ABU BAKAR TITINGAN,MALE,,
N. 57,SRI TANJONG,DAP,WONG SZE PHIN @ JIMMY,MALE,,
N. 58,MEROTAI,BN - SAPP,PANG YUK MING,MALE,,
N. 59,TANJONG BATU,BN - UMNO,HAMISA BINTI SAMAT,FEMALE,,
N. 60,SEBATIK,BN - UMNO,ABD MUIS BIN PICHO,MALE,,
