UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),URBAN-RURAL CLASSIFICATION (2011)
P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,8099,5.58,4.89,6.15,82.92,0.15,0.31,99.90,0.00,0.00,0.10,RURAL
P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,15100,14.00,7.00,3.00,77.50,,,99.43,0.00,0.00,0.57,RURAL
P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,7936,53.06,19.63,17.34,9.97,,,98.90,0.00,0.15,0.95,RURAL
P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,14104,93.97,3.46,2.37,0.20,,0.01,99.90,0.00,0.00,0.10,SEMI URBAN
P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,10437,91.19,7.25,1.45,0.08,,0.03,99.98,0.00,0.00,0.02,SEMI URBAN
P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,17796,72.27,17.96,6.63,2.30,,0.84,99.80,0.01,0.00,0.19,URBAN
P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,15942,90.31,1.95,7.65,0.02,,0.07,99.18,0.01,0.00,0.81,URBAN
P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,10431,76.30,18.19,4.10,,,0.80,95.79,0.03,0.20,3.98,URBAN
P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,23576,6.07,90.77,1.71,0.65,0.11,0.69,96.39,0.01,3.18,0.43,URBAN
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,29488,5.63,89.30,2.95,1.59,0.17,0.37,96.93,0.00,1.23,1.84,URBAN
P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,27833,5.28,83.40,7.81,2.40,0.43,0.67,99.79,0.01,0.00,0.20,URBAN
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,27301,10.44,69.34,13.33,6.30,0.17,0.42,88.99,0.01,10.71,0.30,URBAN
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,20664,18.58,54.56,8.97,17.51,0.14,0.24,96.60,0.03,0.00,3.37,SEMI URBAN
P.197_N.14,SARAWAK,P.197,KOTA SAMARAHAN,N.14,ASAJAYA,13799,83.68,8.44,7.88,,,,99.85,0.00,0.00,0.15,RURAL
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,MUARA TUANG,18820,53.65,15.63,18.85,11.45,,0.42,80.16,0.01,19.43,0.40,RURAL
P.198_N.16,SARAWAK,P.198,MAMBONG,N.16,BENGOH,21955,6.61,26.35,0.10,66.24,,0.69,97.93,0.00,0.00,2.07,RURAL
P.198_N.17,SARAWAK,P.198,MAMBONG,N.17,TARAT,16352,4.72,29.10,0.05,65.74,0.02,0.37,99.96,0.00,0.00,0.04,RURAL
P.199_N.18,SARAWAK,P.199,SERIAN,N.18,TEBEDU,12497,6.79,1.67,,91.10,0.01,0.42,99.85,0.00,0.00,0.15,RURAL
P.199_N.19,SARAWAK,P.199,SERIAN,N.19,KEDUP,17466,6.19,17.22,,75.32,0.05,1.22,99.42,0.00,0.00,0.58,RURAL
P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,7656,82.84,7.64,9.42,,0.01,0.09,99.99,0.00,0.00,0.01,RURAL
P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,10104,61.04,4.78,34.07,,,0.12,99.17,0.00,0.00,0.83,RURAL
P.201_N.22,SARAWAK,P.201,BATANG LUPAR,N.22,SEBUYAU,8042,64.26,3.85,31.77,0.11,,,99.96,0.00,0.00,0.04,RURAL
P.201_N.23,SARAWAK,P.201,BATANG LUPAR,N.23,LINGGA,7745,61.58,5.63,32.80,,,,99.97,0.00,0.00,0.03,RURAL
P.201_N.24,SARAWAK,P.201,BATANG LUPAR,N.24,BETING MARO,7868,90.42,1.47,8.11,,,,100.00,0.00,0.00,0.00,RURAL
P.202_N.25,SARAWAK,P.202,SRI AMAN,N.25,BALAI RINGIN,8798,3.30,7.44,89.08,0.01,0.01,0.16,99.91,0.01,0.00,0.08,RURAL
P.202_N.26,SARAWAK,P.202,SRI AMAN,N.26,BUKIT BEGUNAN,7778,7.84,4.98,87.16,,,0.03,98.52,0.00,0.00,1.48,RURAL
P.202_N.27,SARAWAK,P.202,SRI AMAN,N.27,SIMANGGANG,10488,12.46,33.50,53.96,0.00,0.00,0.09,90.65,0.00,7.71,1.64,SEMI URBAN
P.203_N.28,SARAWAK,P.203,LUBOK ANTU,N.28,ENGKILILI,9444,1.57,12.62,85.69,,0.02,0.11,99.98,0.01,0.00,0.01,RURAL
P.203_N.29,SARAWAK,P.203,LUBOK ANTU,N.29,BATANG AIR,8728,2.15,3.83,93.79,,0.01,0.22,99.59,0.00,0.00,0.41,RURAL
P.204_N.30,SARAWAK,P.204,BETONG,N.30,SARIBAS,8054,82.82,3.13,14.03,,0.01,0.22,99.95,0.00,0.00,0.05,RURAL
P.204_N.31,SARAWAK,P.204,BETONG,N.31,LAYAR,8109,14.71,11.05,73.44,0.79,,0.01,98.88,0.00,0.00,1.12,RURAL
P.204_N.32,SARAWAK,P.204,BETONG,N.32,BUKIT SABAN,7657,26.20,3.79,69.82,0.12,0.05,0.03,99.99,0.00,0.00,0.01,RURAL
P.205_N.33,SARAWAK,P.205,SARATOK,N.33,KALAKA,14167,63.83,10.15,29.95,,0.01,0.06,99.29,0.00,0.00,0.71,RURAL
P.205_N.34,SARAWAK,P.205,SARATOK,N.34,KRIAN,11016,0.28,3.46,96.20,,,0.06,100.00,0.00,0.00,0.00,RURAL
P.206_N.35,SARAWAK,P.206,TANJONG MANIS,N.35,BELAWAI,8623,67.37,4.88,27.75,,,,99.99,0.00,0.00,0.01,RURAL
P.206_N.36,SARAWAK,P.206,TANJONG MANIS,N.36,SEMOP,8891,74.16,5.66,20.18,,,,100.00,0.00,0.00,0.00,RURAL
P.207_N.37,SARAWAK,P.207,IGAN,N.37,DARO,7305,65.43,2.79,31.77,,,,99.51,0.00,0.00,0.49,RURAL
P.207_N.38,SARAWAK,P.207,IGAN,N.38,JEMORENG,8635,92.58,3.57,3.86,,,,99.99,0.00,0.00,0.01,RURAL
P.208_N.39,SARAWAK,P.208,SARIKEI,N.39,REPOK,18481,10.29,55.59,33.90,0.05,0.13,0.04,98.93,0.00,0.00,1.07,SEMI URBAN
P.208_N.40,SARAWAK,P.208,SARIKEI,N.40,MERADONG,15337,3.08,56.18,35.60,,,5.16,99.63,0.00,0.00,0.37,RURAL
P.209_N.41,SARAWAK,P.209,JULAU,N.41,PAKAN,9274,1.30,8.24,90.46,,,,99.99,0.00,0.00,0.01,RURAL
