UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2011),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR VOTE,PR CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP CANDIDATE VOTE,SNAP CANDIDATE LOST DEPOSIT,PCM,PCM CANDIDATE,PCM CANDIDATE GENDER,PCM CANDIDATE AGE,PCM VOTE,PCM CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.192_N.1,SARAWAK,P.192,MAS GADING,N.1,OPAR,BN - SUPP,,8099,2006,73.47,5950,19,68,5863,SUPP,RANUM ANAK MINA ,MALE,60,3360,,PKR,BONIFACE WILLY ANAK TUMEK,MALE,,1354,,SNAP,STEPHEN ANAK SAGIR ,MALE,,674,LOST DEPOSIT,,,,,,,INDEPENDENT - TREE,JOSEPH JINDY ANAK PETER ROSEN,MALE,,475,LOST DEPOSIT,,,,,,,,,,,,
P.192_N.2,SARAWAK,P.192,MAS GADING,N.2,TASIK BIRU,BN - SPDP,,15100,2072,69.91,10557,26,120,10411,SPDP,PETER NANSIAN ANAK NGUSIE  ,MALE,62,5829,,PKR,JOHN TENEWI NUEK @ JOHN TENEWI,MALE,,3757,,SNAP,FRANKIE JUREM ANAK NYOMBUI ,MALE,,825,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.193_N.3,SARAWAK,P.193,SANTUBONG,N.3,TANJONG DATU,BN - PBB,,7936,3216,69.52,5517,20,62,5435,PBB,TAN SRI DATUK AMAR  HAJI ADENAN BIN HAJI SATEM,MALE,67,4218,,PAS,NANI BT SAHARI ,FEMALE,42,1002,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,GILBERT ASSON ANAK KULONG ,MALE,,215,LOST DEPOSIT,,,,,,,,,,,,
P.193_N.4,SARAWAK,P.193,SANTUBONG,N.4,PANTAI DAMAI,BN - PBB,,14104,5071,71.17,10038,43,105,9890,PBB,DR ABDUL RAHMAN BIN JUNAIDI ,MALE,50,7425,,PKR,WAN ZAINAL ABIDIN BIN WAN SENUSI ,MALE,60,2354,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,SUHAINI BIN SELAMAT ,MALE,,111,LOST DEPOSIT,,,,,,,,,,,,
P.193_N.5,SARAWAK,P.193,SANTUBONG,N.5,DEMAK LAUT,BN - PBB,,10437,3752,70.93,7403,13,98,7292,PBB,DR. HAZLAND BIN ABG HIPNI ,MALE,46,5522,,PKR,ALI HOSSEN BIN ABANG ,MALE,,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.6,SARAWAK,P.194,PETRA JAYA,N.6,TUPONG,BN - PBB,,17796,4551,68.51,12192,0,135,12057,PBB,DATUK HJ DAUD ABDUL RAHMAN ,MALE,60,8304,,PKR,BAHARUDDIN MOKHSEN ,MALE,,3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.7,SARAWAK,P.194,PETRA JAYA,N.7,SAMARIANG,BN - PBB,,15942,5431,67.55,10769,40,144,10585,PBB,SHARIFAH HASIDAH SAYEED AMAN GHAZALI,FEMALE,42,8008,,PKR,ZULRUSDI BIN MOHAMAD HOL,MALE,,2577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.8,SARAWAK,P.194,PETRA JAYA,N.8,SATOK,BN - PBB,,10431,2800,64.39,6717,56,79,6582,PBB,DATUK AMAR ABG JOHARI TUN OPENG,MALE,61,4691,,PKR,AHMAD NAZIB BIN JOHARI ,MALE,35,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.195_N.9,SARAWAK,P.195,BANDAR KUCHING,N.9,PADUNGAN,PR - DAP,,23576,7884,70.23,16558,20,69,16469,SUPP,SIM KIANG CHIOK,MALE,48,4073,,DAP,WONG KING WEI,MALE,31,11957,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,DOMINIQUE NG KIM HO,MALE,50,439,LOST DEPOSIT,,,,,,,,,,,,
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,PR - DAP,,29488,7595,72.27,21310,36,119,21155,SUPP,SIM KUI HIAN,MALE,46,6780,,DAP,VIOLET YONG WUI WUI,FEMALE,34,14375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.196_N.11,SARAWAK,P.196,STAMPIN,N.11,BATU LINTANG,PR - PKR,,27833,8381,66.38,18475,35,61,18379,SUPP,SIH HUA TONG,MALE,47,4854,,PKR,SEE CHEE HOW,MALE,47,13235,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,SOO LINA,FEMALE,52,290,LOST DEPOSIT,,,,,,,,,,,,
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,PR - DAP,,27301,4824,75.41,20589,30,195,20364,SUPP,DATUK ALFRED YAP CHIN LOI,MALE,,7770,,DAP,CHONG CHIENG JEN,MALE,40,12594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KAWAH,PR - DAP,,20664,543,70.68,14606,87,184,14335,SUPP,TAN JOO PHOI,MALE,59,6896,,DAP,CHRISTINA CHIEW WANG SEE,FEMALE,26,7439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
