UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),"OTHER PARTY (1) CANDIDATE
","OTHER PARTY (1) CANDIDATE GENDER
","OTHER PARTY (1) CANDIDATE AGE
",OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"OTHER PARTY (2)
","OTHER PARTY (2) CANDIDATE
","OTHER PARTY (2) CANDIDATE GENDER
","OTHER PARTY (2) CANDIDATE AGE
",OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,BN-UMNO,,"24,097","1,736",79.08,"19,055",34,344,"18,677",UMNO,DATO HAJI DI,MALE,56,"10,174",,PKR,PROF. MADYA SAHARUN,MALE,,"8,438",,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,IZAT BUKHARY,MALE,46,65,LOST DEPOSIT,,,,,,
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,PR-PAS,,"22,180","2,103",83.10,"18,431",38,300,"18,093",UMNO,WAN NAPI,MALE,51,"7,995",,PAS,ZAKI HJ IBRAHIM,MALE,46,"10,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,PR-PAS,,"26,854","5,644",86.05,"23,107",54,289,"22,764",UMNO,KAK CHIK,FEMALE,43,"8,560",,PAS,USTAZ MAD,MALE,53,"14,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,PR-PAS,,"25,501",978,87.72,"22,369",60,257,"22,052",UMNO,DATUK ROSDI,MALE,50,"10,537",,PAS,DATO’ HJ CHE LAH MAT NAWI,MALE,53,"11,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,PR-PAS,,"19,329","5,143",84.77,"16,385",60,204,"16,121",UMNO,HJ. ZALUZI,MALE,48,"5,489",,PAS,KAK UBAI,FEMALE,55,"10,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,PR-PAS,,"21,364","6,500",86.19,"18,413",56,237,"18,120",UMNO,TOK GAWO MAN,MALE,49,"5,810",,PAS,TUAN GURU DATO’ HAJI NIK ABDUL AZIZ,MALE,82,"12,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,PR-PAS,,"23,716","5,036",85.12,"20,187",80,209,"19,898",UMNO,CHE ROSLI,MALE,50,"7,431",,PAS,DATO’ NIK AMAR,MALE,54,"12,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021_N.08,KELANTAN,P.021,KOTA BAHRU,N.08,TANJONG MAS,PR-PAS,,"27,514","8,521",81.82,"22,512",61,198,"22,253",UMNO,KANIDY OMAR,MALE,52,"6,866",,PAS,KAK ANI,FEMALE,49,"15,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021_N.09,KELANTAN,P.021,KOTA BAHRU,N.09,KOTA LAMA,PR-PAS,,"28,248","6,618",79.29,"22,399",52,275,"22,072",MCA,TAN KEN TEN,MALE,58,"7,651",,PAS,DATO HJ. ANUAR TAN,MALE,53,"14,269",,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD ZAKIMAN BIN ABU BAKAR,MALE,,152,LOST DEPOSIT,,,,,,
P.021_N.10,KELANTAN,P.021,KOTA BAHRU,N.10,BUNUT PAYONG,PR-PAS,,"25,506","5,792",83.77,"21,366",75,189,"21,102",UMNO,USTAZ MOHD. FAKHRURAZI,MALE,,"7,655",,PAS,DR RAMLI,MALE,49,"13,447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
