UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDANT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDANT (2) CANDIDATE LOST DEPOSIT
P.134_N.01,MELAKA,P.134,MASJID TANAH,N.01,KUALA LINGGI,BN-UMNO,,"10,033","2,431",87.15%,"8,744",2,131,"8,611",UMNO,DATUK AR HJ ISMAIL OTHMAN,MALE,63,"5,521",,PAS,JULASAPIYAH BIN KASSIM,MALE,44,"3,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134_N.02,MELAKA,P.134,MASJID TANAH,N.02,TANJONG BIDARA,BN-UMNO,,"9,008","4,240",87.84%,"7,913",24,101,"7,788",UMNO,MD RAWI BIN MAHMUD,MALE,60,"6,014",,PAS,USTAZ IMRAN ABD RAHMAN,MALE,47,"1,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134_N.03,MELAKA,P.134,MASJID TANAH,N.03,AYER LIMAU,BN-UMNO,,"10,058","4,569",86.73%,"8,723",21,167,"8,535",UMNO,HAJI AMIRUDIN HAJI YUSOF,MALE,49,"6,552",,PKR,HALIM BIN BACHIK,MALE,44,"1,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134_N.04,MELAKA,P.134,MASJID TANAH,N.04,LENDU,BN-UMNO,,"8,848","2,503",86.26%,"7,632",19,98,"7,515",UMNO,SULAIMAN BIN MD ALI,MALE,48,"5,009",,PAS,ASRI BIN SHAIK ABDUL AZIZ,MALE,47,"2,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134_N.05,MELAKA,P.134,MASJID TANAH,N.05,TABOH NANING,BN-UMNO,,"8,005","2,355",85.13%,"6,815",14,116,"6,685",UMNO,LATIPAH BINTI OMAR,FEMALE,53,"4,520",,PAS,CIKGU HALIM,MALE,61,"2,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135_N.06,MELAKA,P.135,ALOR GAJAH,N.06,REMBIA,BN-UMNO,,"13,412","2,358",86.82%,"11,644",27,217,"11,400",UMNO,NORPIPAH BINTI ABDOL,FEMALE,59,"6,879",,PKR,RUSNAH BINTI ALUAI,FEMALE,51,"4,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135_N.07,MELAKA,P.135,ALOR GAJAH,N.07,GADEK,BN-MIC,,"12,246","2,630",83.92%,"10,277",21,244,"10,012",MIC,M.S. MAHADEVAN SANACY,MALE,59,"5,975",,PKR,RAJANDRAN A/L GOVINDASAMY,MALE,,"3,345",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ABDULLAH SANI BIN REJAB,MALE,,692,LOST DEPOSIT,,,,,,
P.135_N.08,MELAKA,P.135,ALOR GAJAH,N.08,MACHAP,BN-MCA,,"11,682",152,86.81%,"10,141",18,208,"9,915",MCA,LAI MENG CHONG,MALE,62,"5,003",,PKR,GINIE LIM,FEMALE,32,"4,851",,,,,,,,KITA,RAVINTHER A/L SEKARAN,MALE,,61,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.135_N.09,MELAKA,P.135,ALOR GAJAH,N.09,DURIAN TUNGGAL,BN-UMNO,,"11,306","1,316",89.78%,"10,151",18,159,"9,974",UMNO,DATUK HJ. AB. WAHAB BIN AB. LATIP,MALE,57,"5,645",,PAS,ADLY ZAHARI,MALE,42,"4,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135_N.10,MELAKA,P.135,ALOR GAJAH,N.10,ASAHAN,BN-UMNO,,"14,945","3,857",86.44%,"12,918",14,247,"12,657",UMNO,ABDUL GHAFAR BIN ATAN,MALE,57,"8,257",,PAS,RICHARD WONG,MALE,51,"4,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
