UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDANT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDANT (2) CANDIDATE LOST DEPOSIT
P.126_N.01,NEGERI SEMBILAN,P.126,JELEBU,N.01,CHENNAH,PR-DAP,,"11,160","1,098",83.98%,"9,372",25,189,"9,158",MCA,SIOW FOO WEN,MALE,48,"4,030",Retained Deposit,DAP,LOKE SIEW FOOK,MALE,37,"5,128",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126_N.02,NEGERI SEMBILAN,P.126,JELEBU,N.02,PERTANG,BN-UMNO,,"9,760","2,163",83.65%,"8,164",24,123,"8,017",UMNO,JALALUDDIN BIN ALIAS,MALE,50,"5,090",Retained Deposit,PKR,MUHAMAD SYAMWILL BIN MERTADZA,MALE,30,"2,927",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126_N.03,NEGERI SEMBILAN,P.126,JELEBU,N.03,SUNGAI LUI,BN-UMNO,,"14,523","5,990",85.44%,"12,408",56,284,"12,068",UMNO,MOHD. RAZI BIN MOHD. ALI,MALE,40,"9,029",Retained Deposit,PAS,NOR ANIF BIN SELAMAT,MALE,,"3,039",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126_N.04,NEGERI SEMBILAN,P.126,JELEBU,N.04,KLAWANG,BN-UMNO,,"9,494",282,85.06%,"8,076",28,122,"7,926",UMNO,DATO’ YUNUS BIN RAHMAT,MALE,58,"4,104",Retained Deposit,PAS,ROSLI BIN YAAKOP,MALE,61,"3,822",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127_N.05,NEGERI SEMBILAN,P.127,JEMPOL,N.05,SERTING,BN-UMNO,,"19,389","5,442",85.05%,"16,491",67,252,"16,172",UMNO,DATO’ SHAMSHULKAHAR BIN MOHD DELI,MALE,52,"10,807",Retained Deposit,PAS,ABD RAHMAN BIN RAMLI,MALE,,"5,365",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127_N.06,NEGERI SEMBILAN,P.127,JEMPOL,N.06,PALONG,BN-UMNO,,"16,044","8,456",87.19%,"13,988",55,209,"13,724",UMNO,DATO’ LILAH BIN YASIN,MALE,56,"11,090",Retained Deposit,PKR,REBIN BIRHAM,MALE,,"2,634",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127_N.07,NEGERI SEMBILAN,P.127,JEMPOL,N.07,JERAM PADANG,BN-MIC,,"11,336","2,691",81.21%,"9,206",21,250,"8,935",MIC,MANICKAM A/L LETCHUMAN,MALE,54,"5,690",Retained Deposit,PKR,T. KUMAR,MALE,,"2,999",Retained Deposit,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,MAZAVAN,,,45,Lost Deposit,INDEPENDENT - HIBISCUS,ZAILANI BIN ZAKARIA,MALE,,201,Lost Deposit
P.127_N.08,NEGERI SEMBILAN,P.127,JEMPOL,N.08,BAHAU,PR-DAP,,"18,444","5,136",82.27%,"15,173",25,288,"14,860",MCA,DR. YEE MEE FAA,MALE,53,"4,862",Retained Deposit,DAP,CHEW SEH YONG,MALE,51,"9,998",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128_N.09,NEGERI SEMBILAN,P.128,SEREMBAN,N.09,LENGGENG,BN-UMNO,,"15,340","2,058",86.82%,"13,318",38,186,"13,094",UMNO,DATO ISHAK BIN ISMAIL,MALE,62,"7,170",Retained Deposit,PAS,ZULKEFLY MOHAMAD BIN OMAR,MALE,49,"5,112",Retained Deposit,,,,,,,,,,,,,,,,,,,INDEPENDENT - SPECTACLES,ZULKIFLI BIN ABDULLAH,MALE,53,812,Lost Deposit,,,,,,
P.128_N.10,NEGERI SEMBILAN,P.128,SEREMBAN,N.10,NILAI,PR-DAP,,"20,629","4,047",85.31%,"17,599",26,327,"17,246",MCA,GAN CHEE BIOW,MALE,47,"6,331",Retained Deposit,DAP,J. ARUL KUMAR,MALE,28,"10,378",Retained Deposit,,,,,,,,,,,,,,,,,,,INDEPENDENT -KEY,RAJAHSHEKHER,,,47,Lost Deposit,INDEPENDENT - HIBISCUS,KAPT. (B) AHMAD KAMARULZAMAN BIN ABU,MALE,,490,Lost Deposit
P.128_N.11,NEGERI SEMBILAN,P.128,SEREMBAN,N.11,LOBAK,PR-DAP,,"18,634","8,270",84.39%,"15,726",29,207,"15,490",MCA,TITAN HO,MALE,40,"3,610",Retained Deposit,DAP,SIOW KIM LEONG,MALE,,"11,880",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128_N.12,NEGERI SEMBILAN,P.128,SEREMBAN,N.12,TEMIANG,PR-DAP,,"11,127","1,677",85.32%,"9,494",19,196,"9,279",MCA,JASON LEE KEE CHONG,MALE,35,"3,801",Retained Deposit,DAP,NG CHIN TSAI,MALE,35,"5,478",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128_N.13,NEGERI SEMBILAN,P.128,SEREMBAN,N.13,SIKAMAT,PR-PKR,,"19,640",510,86.32%,"16,954",85,211,"16,658",UMNO,WAN SALWATI BINTI ABDULLAH,FEMALE,39,"8,074",Retained Deposit,PKR,HJ AMINUDDIN BIN HARUN,MALE,46,"8,584",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128_N.14,NEGERI SEMBILAN,P.128,SEREMBAN,N.14,AMPANGAN,BN-UMNO,,"16,935",89,85.77%,"14,525",47,187,"14,291",UMNO,HJ ABU UBAIDAH BIN HAJI REDZA,MALE,61,"7,190",Retained Deposit,PKR,KAMARUL BAHARIN ABBAS,MALE,66,"7,101",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129_N.15,NEGERI SEMBILAN,P.129,KUALA PILAH,N.15,JUASSEH,BN-UMNO,,9528,"1,688",84.55%,8056,21,145,"7,890",UMNO,HAJI MOHAMMAD RAZI BIN KAIL,MALE,49,"4,789",Retained Deposit,PKR,HJ ROSLI BIN HJ OMAR,MALE,,"3,101",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129_N.16,NEGERI SEMBILAN,P.129,KUALA PILAH,N.16,SERI MENANTI,BN-UMNO,,"8,250","2,396",84.44%,"6,966",29,154,"6,783",UMNO,DATO’ ABD SAMAD BIN IBRAHIM,MALE,49,"4,538",Retained Deposit,PKR,TENGKU ZAMRAH BINTI TENGKU SULAIMAN,FEMALE,54,"2,142",Retained Deposit,,,,,,,,,,,,,,,,,,,INDEPENDENT - HORSE,MD ALI BIN MUSTAFA,MALE,,103,Lost Deposit,,,,,,
P.129_N.17,NEGERI SEMBILAN,P.129,KUALA PILAH,N.17,SENALING,BN-UMNO,,"8,028","2,151",86.01%,"6,905",27,129,"6,749",UMNO,DATO’ HAJI ISMAIL BIN LASIM,MALE,54,"4,450",Retained Deposit,PAS,ZAHARUDDIN OTHMAN,MALE,51,"2,299",Retained Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
