UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,"OTHER PARTY (2) CANDIDATE LOST DEPOSIT
",INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.078_N.01,PAHANG,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,PR - DAP,,"16,796","3,144",79.56%,"13,363",3,340,"13,020",GERAKAN,HO YIP KAP,MALE,,"4,734",,DAP,LEONG NGAH NGAH,MALE,58,"7,878",,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,DR CHEAM MAY CHOO,FEMALE,53,408,LOST DEPOSIT,,,,,,
P.078_N.02,PAHANG,P.078,CAMERON HIGHLANDS,N.02,JELAI,BN - UMNO,,"11,184","3,182",83.97%,"9,391",1,396,"8,994",UMNO,DATO’ WAN ROSDY BIN WAN ISMAIL,MALE,55,"5,919",,PAS,ABDUL KARIM BIN NOR,MALE,,"2,737",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,338,LOST DEPOSIT,,,,,,
P.079_N.03,PAHANG,P.079,LIPIS,N.03,PADANG TENGKU,BN - UMNO,,"12,096","1,914",86.79%,"10,498",1,163,"10,334",UMNO,MUSTAPA BIN LONG,MALE,52,"6,124",,PAS,ROSLAN BIN ZAINAL,MALE,,"4,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.04,PAHANG,P.079,LIPIS,N.04,CHEKA,BN - MCA,,"11,920","1,185",81.63%,"9,730",56,211,"9,463",MCA,FONG KOONG FUEE,MALE,,"5,324",,PKR,ABAS BIN AWANG,MALE,62,"4,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.079_N.05,PAHANG,P.079,LIPIS,N.05,BENTA,BN - UMNO,,"8,308",901,83.03%,"6,898",40,93,"6,765",UMNO,DATO HJ MOHD SOFFI BIN TAN SRI ABDUL RAZAK,MALE,,"3,833",,PKR,RIZAL BIN JAMIN,MALE,40,"2,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.06,PAHANG,P.080,RAUB,N.06,BATU TALAM,BN - UMNO,,"14,016","4,137",84.77%,"11,882",31,284,"11,567",UMNO,DATO’ ABD AZIZ BIN MAT KIRAM,MALE,53,"7,852",,PKR,KHAIRUL HAKIMIN BIN MOHD ALI,MALE,,"3,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.07,PAHANG,P.080,RAUB,N.07,TRAS,PR - DAP,,"23,485","6,762",81.49%,"19,137",55,290,"18,792",MCA,WING LAY HIANG,FEMALE,,"6,015",,DAP,CHOONG SIEW ONN,MALE,45,"12,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080_N.08,PAHANG,P.080,RAUB,N.08,DONG,BN - UMNO,,"16,713",481,84.01%,"14,040",29,306,"13,705",UMNO,DATO’ SHAHIRUDDIN BIN AB MOIN,MALE,57,"7,093",,PAS,TENGKU SHAH AMIR BIN TENGKU PERANG,MALE,,"6,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.09,PAHANG,P.081,JERANTUT,N.09,TAHAN,BN - UMNO,,"13,584","1,090",85.36%,"11,595",30,255,"11,310",UMNO,WAN AMIZAN BIN WAN ABDUL RAZAK,MALE,41,"6,200",,PAS,USTAZ ZAKUAN,MALE,,"5,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081_N.10,PAHANG,P.081,JERANTUT,N.10,DAMAK,BN - MCA,,"22,877",64,83.28%,"19,052",50,647,"18,355",MCA,DATO’ LAU LEE,MALE,56,"7,905",,PKR,JAMALUDDIN BIN ABD RAHIM,MALE,,"2,435",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,CIKGU KOH.,MALE,,"7,841",,INDEPENDENT - HOE,MOHD NOR JAAFAR.,MALE,,174,LOST DEPOSIT
P.081_N.11,PAHANG,P.081,JERANTUT,N.11,PULAU TAWAR,BN - UMNO,,"21,903","3,496",86.53%,"18,953",58,295,"18,600",UMNO,DATO’ DR AHMAD SHUKRI BIN ISMAIL,MALE,50,"11,048",,PAS,YOHANIS,MALE,,"7,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082_N.12,PAHANG,P.082,INDERA MAHKOTA,N.12,BESERAH,PR - PAS,,"31,685","3,987",85.57%,"27,113",103,305,"26,705",UMNO,DATO’ MOHD HAZMI BIN YUSOF,MALE,50,"11,359",,PAS,ANDANSURA RABU,MALE,,"15,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082_N.13,PAHANG,P.082,INDERA MAHKOTA,N.13,SEMAMBU,PR - PKR,,"32,534","3,200",84.91%,"27,624",106,327,"27,191",MCA,PANG TSU MING,MALE,,"11,553",,PKR,LEE CHEAN CHUNG,MALE,32,"14,753",,,,,,,,,,,,,,,,,,,,INDEPENDENT - PEN,MOHD SHUKRI (CMK),MALE,42,885,LOST DEPOSIT,,,,,,
P.083_N.14,PAHANG,P.083,KUANTAN,N.14,TERUNTUM,PR - PKR,,"25,098","4,437",82.44%,"20,690",40,317,"20,333",MCA,CHANG HONG SEONG,MALE,50,"7,948",,PKR,SIM CHON SIANG,MALE,47,"12,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.15,PAHANG,P.083,KUANTAN,N.15,TANJUNG LUMPUR,PR - PAS,,"20,493",796,86.22%,"17,669",50,235,"17,384",UMNO,T. ZULKIFLY BIN T. AHMAD,MALE,,"8,294",,PAS,USTAZ ROSLI ABDUL JABAR,MALE,,"9,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083_N.16,PAHANG,P.083,KUANTAN,N.16,INDERAPURA,BN - UMNO,,"10,689","1,944",88.87%,"9,499",42,113,"9,344",UMNO,SHAFIK FAUZAN BIN SHARIF,MALE,48,"5,644",,PAS,DRS. USTAZ SYED ANIS SYED HUSAIN,MALE,,"3,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.17,PAHANG,P.084,PAYA BESAR,N.17,SUNGAI LEMBING,BN - UMNO,,"13,751","2,591",85.03%,"11,693",31,169,"11,493",UMNO,DATO’ HJ MD SOHAIMI BIN HJ MOHAMED SHAH,MALE,56,"7,042",,PAS,CIKGU SULAIMAN MD DERUS,MALE,,"4,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084_N.18,PAHANG,P.084,PAYA BESAR,N.18,LEPAR,BN - UMNO,,"15,044","3,716",83.99%,"12,635",23,219,"12,393",UMNO,MOHD SHOHAIMI BIN JUSOH,MALE,51,"8,022",,PKR,JEFRI JAAFAR BIN TUKEMIN,MALE,,"4,306",,,,,,,,,,,,,,,,,,,,INDEPENDENT - BIRD,KAMARZAMAN BIN MOHAMED YUNUS,MALE,,65,LOST DEPOSIT,,,,,,
P.084_N.19,PAHANG,P.084,PAYA BESAR,N.19,PANCHING,BN - UMNO,,"19,272","1,036",85.65%,"16,506",67,161,"16,278",UMNO,DATO’ MOHD ZAILI BIN HJ BESAR,MALE,47,"8,657",,PAS,USTAZ YUSOF EMBONG,MALE,,"7,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.20,PAHANG,P.085,PEKAN,N.20,PULAU MANIS,BN - UMNO,,"18,848","5,596",85.73%,"16,158",77,211,"15,870",UMNO,KHAIRUDDIN BIN MAHMUD,MALE,61,"10,733",,PAS,USTAZ OTHMAN BAKAR,MALE,,"5,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.21,PAHANG,P.085,PEKAN,N.21,PERAMU JAYA,BN - UMNO,,"28,720","7,627",85.81%,"24,645",90,411,"24,144",UMNO,SH. MOHMED PUZI BIN SH. ALI,MALE,,"15,769",,PAS,USTAZ ABU KASSIM,MALE,,"8,142",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,SYED MOHAMMAD FAIZ BIN SYED AZEMMANT,MALE,26,233,LOST DEPOSIT,,,,,,
P.085_N.22,PAHANG,P.085,PEKAN,N.22,BEBAR,BN - UMNO,,"13,445","6,715",84.18%,"11,318",28,313,"10,977",UMNO,MOHAMMAD FAKHRUDDIN BIN MOHD ARIFF,MALE,47,"8,846",,PKR,MOHD JAFRI HJ AB RASHID,MALE,,"2,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085_N.23,PAHANG,P.085,PEKAN,N.23,CHINI,BN - UMNO,,"19,247","7,675",84.91%,"16,343",57,303,"15,983",UMNO,ABU BAKAR BIN HARUN,MALE,53,"11,829",,PKR,SITARUNISAH BINTI AB KADIR,FEMALE,,"4,154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.24,PAHANG,P.086,MARAN,N.24,LUIT,BN - UMNO,,"11,206",401,83.61%,"9,369",34,212,"9,123",UMNO,NURHIDAYAH BINTI MOHAMAD SHAHAIMI,FEMALE,30,"4,631",,PAS,USTAZ SHAHRUL NIZAM ABDUL HALIFF,MALE,34,"4,230",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,KHAIRUL NIZAM BIN ABDUL MAJID,MALE,,262,LOST DEPOSIT,,,,,,
P.086_N.25,PAHANG,P.086,MARAN,N.25,KUALA SENTUL,BN - UMNO,,"12,817","3,293",84.09%,"10,778",40,229,"10,509",UMNO,SHAHANIZA BT SHAMSUDDIN,FEMALE,43,"6,901",,PKR,MOHAMAD RAZALI BIN ITHNAIN,MALE,,"3,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.086_N.26,PAHANG,P.086,MARAN,N.26,CHENOR,BN - UMNO,,"14,413","2,309",87.44%,"12,603",78,250,"12,275",UMNO,MOHAMED ARIFIN BIN AWANG ISMAIL,MALE,,"7,292",,PAS,CIKGU HASENAN HARON,MALE,,"4,983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.27,PAHANG,P.087,KUALA KRAU,N.27,JENDERAK,BN - UMNO,,"9,728","2,182",84.88%,"8,257",29,222,"8,006",UMNO,DATO’ HAJI MOHAMED BIN HAJI JAAFAR,MALE,61,"5,047",,PKR,HAJI SUHAIMI SAID,MALE,69,"2,865",,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,PARIRUDDIN,MALE,,94,LOST DEPOSIT,,,,,,
P.087_N.28,PAHANG,P.087,KUALA KRAU,N.28,KERDAU,BN - UMNO,,"10,801","2,513",88.10%,"9,516",37,168,"9,311",UMNO,USTAZ SYED IBRAHIM BIN SYED AHMAD,MALE,46,"5,912",,PAS,USTAZ KAMAL BIN ASHAARI,MALE,43,"3,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087_N.29,PAHANG,P.087,KUALA KRAU,N.29,JENGKA,BN - UMNO,,"22,474","1,303",88.50%,"19,890",50,237,"19,603",UMNO,WAN SALMAN BIN HJ WAN ISMAIL,MALE,48,"10,453",,PAS,USTAZ DATO’ TUAN IBRAHIM TUAN MAN,MALE,53,"9,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
