UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,BN-UMNO,,20130,5311,0.8668,17449,136,292,17021,UMNO,MOHD RAWI BIN ABD HAMID,MALE,46,11166,,PAS,ZUBIR BIN AHMAD,MALE,50,5855,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,BN-UMNO,,17406,6371,0.8415,14647,84,291,14272,UMNO,NOR SAIDI BIN NANYAN,MALE,42,10263,,PKR,DATO’ HJ. AHMAD BIN KASIM,MALE,50,3892,,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ZAFLEE BIN PAKWANTEH,MALE,,117,LOST DEPOSIT,,,,,,,,,,,,
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,BN-UMNO,,22816,2238,0.8634,19699,17,366,19316,UMNO,DATO’ ABU HASAN BIN SARIF,MALE,58,10777,,PAS,ISMAIL BIN W. TEH @ JAZIZ,MALE,51,8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,BN-UMNO,,29567,2446,0.8861,26200,98,382,25720,UMNO,DATO’ PADUKA HJ MUKHRIZ TUN MAHATHIR,MALE,49,14083,,PAS,USTAZ ABD. GHANI BIN AHMAD,MALE,43,11637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,BN-UMNO,,29228,7873,0.8755,25588,66,487,25035,UMNO,AHMAD ZAINI BIN JAPAR,MALE,57,16454,,PKR,HAJI NASRUL OMAR,MALE,,8581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,BN-UMNO,,36322,3056,0.873,31708,182,394,31132,UMNO,AMINUDDIN BIN OMAR,MALE,45,17094,,PAS,DR. ROHANI BINTI ABD MUTTALIB,FEMALE,60,14038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,BN-UMNO,,21651,1997,0.8957,19393,49,380,18964,UMNO,BADROL HISHAM BIN HASHIM,MALE,45,10363,,PAS,SYED IBRAHIM BIN SYED OMAR,MALE,49,8366,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,AHMAD BIN MAD. DAUD,MALE,,235,LOST DEPOSIT,,,,,,,,,,,,
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,BN-UMNO,,20309,2960,0.9115,18511,51,376,18084,UMNO,KAMA NORIAH BINTI IBRAHIM,FEMALE,43,10522,,PKR,Ir. ZAMRI YUSUF,MALE,47,7562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,BN-UMNO,,27593,1324,0.8887,24521,58,459,24004,UMNO,DATO AHMAD LEBAI SUDIN,MALE,55,12664,,PAS,USTAZ IZZAT SHAUKI,MALE,33,11340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,PR-PAS,,26426,1672,0.8689,22961,71,258,22632,UMNO,MOHD MUKHTAR BIN NOOR (CIKGU TAT),MALE,,10480,,PAS,WAN ROMANI,MALE,57,12152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,PR-DAP,,26695,1156,0.8257,22042,89,332,21621,GERAKAN,DR. CHEAH SOON HAI,MALE,,9202,,DAP,TAN KOK YEW,MALE,46,10358,,,,,,,,BERJASA,USTAZ HAJI ABDUL FISOL BIN MOHD ISA,MALE,54,2061,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,BAKAR BATA,BN-UMNO,,28186,895,0.8431,23763,105,363,23295,UMNO,DATO’ PADUKA AHMAD BASHAH MD HANIPAH,MALE,63,11999,,PKR,EEKMAL AHMAD,MALE,33,11104,,,,,,,,BERSAMA,JAWAHAR RAJA BIN HJ ABDUL WAHID,MALE,,192,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,PR-DAP,,15466,2626,0.8047,12446,30,202,12214,MCA,LOH GIM HOOI,MALE,55,4761,,DAP,KB TEOH,MALE,,7387,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,LIEW KARD SEONG,MALE,,39,LOST DEPOSIT,INDEPENDENT - ELEPHANT,A.J. GOPALA,MALE,,27,LOST DEPOSIT,,,,,,
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,PR-PAS,,25357,1865,0.8561,21707,68,273,21366,UMNO,SHARIFAH MAZNAH BT. SYED KASSIM BARAKBAH,FEMALE,61,9588,,PAS,AHMAD BIN YAHAYA,MALE,38,11453,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,UST. FADZIL BIN HANAFI. JP,MALE,53,325,LOST DEPOSIT,,,,,,,,,,,,
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,PR-PAS,,28981,2806,0.8725,25286,72,291,24923,UMNO,HASHIM BIN JAHAYA,MALE,51,11016,,PAS,DATO’ IR. HAJI AMIRUDDIN BIN HAMZAH,MALE,51,13822,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ABD SAMAT BIN CHE NOH,MALE,,85,LOST DEPOSIT,,,,,,,,,,,,
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,PR-PAS,,34559,1044,0.8507,29399,82,335,28982,UMNO,DATO’ LATT SHARIMAN BIN ABDULLAH,MALE,45,13969,,PAS,MOHD NASIR BIN MUSTAFA,MALE,45,15013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
