UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORATE,GE13 Voters,Malay,Chinese,Indian,Bumi Sabah,Bumi Sarawak,Orang Asli,Lain-lain (After excluding Orang Asli),MALAY (%),CHINESE (%),INDIAN (%),ORANG ASLI (%),BUMI SABAH (%),BUMI SARAWAK (%),OTHERS (%),URBAN - RURAL CLASSIFICATION (2013)
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,9159,9159,6975,1907,216,10,8,1,42,76.15,20.82,2.36,0.11,0.09,0.01,0.46,RURAL
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,8197,8197,6381,1609,61,18,60,1,67,77.85,19.63,0.74,0.22,0.73,0.01,0.82,RURAL
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,9848,9848,8453,217,63,1,3,0,1111,85.83,2.20,0.64,0.01,0.03,0.00,11.28,RURAL
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,6365,6365,5776,195,51,98,183,3,59,90.75,3.06,0.80,1.54,2.88,0.05,0.93,SEMI URBAN
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,8405,8405,8344,46,5,2,2,0,6,99.27,0.55,0.06,0.02,0.02,0.00,0.07,SEMI URBAN
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,10911,10911,10454,282,144,5,5,0,21,95.81,2.58,1.32,0.05,0.05,0.00,0.19,SEMI URBAN
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,11194,11194,9563,958,320,3,10,1,339,85.43,8.56,2.86,0.03,0.09,0.01,3.03,SEMI URBAN
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,9776,9776,4670,4571,422,7,4,0,102,47.77,46.76,4.32,0.07,0.04,0.00,1.04,SEMI URBAN
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,10150,10150,7920,2166,12,2,8,0,42,78.03,21.34,0.12,0.02,0.08,0.00,0.41,SEMI URBAN
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,9176,9176,8757,198,33,5,7,0,176,95.43,2.16,0.36,0.05,0.08,0.00,1.92,SEMI URBAN
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,9594,9594,7336,1533,559,8,16,0,142,76.46,15.98,5.83,0.08,0.17,0.00,1.48,SEMI URBAN
