UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,BN - MCA,,9159,1486,82.91,7594,38,224,7332,MCA,KHAW HOCK KONG,MALE,49,3925,,DAP,TEH SENG CHUAN,MALE,41,2439,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,YAACOB BIN MAN ,MALE,54,968,,,,,,,,,,,,,,,,,,,
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,BN - UMNO,,8197,540,83.53,6847,20,95,6732,UMNO,DATUK MAT RAWI BIN KASSIM,MALE,58,3636,,,,,,,,PAS,WAN KHARIZAL,MALE,51,3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,BN - UMNO,,9848,2876,88.16,8682,17,165,8500,UMNO,ASMAIZA BINTI AHMAD,FEMALE,38,5688,,PKR,WAN MD FISHAAL,MALE,,2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,BN - UMNO,,6365,1989,87.86,5592,17,86,5489,UMNO,CIKGU KHAIRI BIN HASAN,MALE,56,3739,,PKR,AMMAR GAZALI,MALE,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,BN - UMNO,,8405,1084,88.63,7449,22,93,7334,UMNO,SABRY BIN AHMAD,MALE,60,4209,,,,,,,,PAS,ANUAR TAHIR,MALE,61,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,BN - UMNO,,10911,1237,87.10,9503,42,188,9273,UMNO,RELA BINTI AHMAD,FEMALE,63,5255,,,,,,,,PAS,ABD JAMIL KAMIS,MALE,53,4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,BN - UMNO,,11194,1924,84.24,9430,20,177,9233,UMNO,JAMIL BIN SAAD,MALE,52,5418,,PKR,TUAN MARJA BINTI TUAN MAT,FEMALE,49,3494,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,DATO’ AHMAD RIZAL EFFANDE B. ZAINOL ,MALE,34,321,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,PR - PKR,,9776,1092,81.90,8007,25,144,7838,MCA,POR CHOO CHOR,MALE,64,3171,,PKR,CHAN MING KAI,MALE,33,4263,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,LAWYER AMEIR ,MALE,65,404,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,BN - UMNO,,10150,1384,83.55,8480,8,149,8323,UMNO,CIKGU MAT HASSAN,MALE,53,4758,,PKR,NOOR AMIN BIN AHMAD,MALE,31,3374,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,SHAARI  BIN LUDIN ,MALE,,191,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,BN - UMNO,,9176,664,87.19,8001,17,130,7854,UMNO,AHMAD BAKRI BIN DATO’ ALI,MALE,57,4259,,,,,,,,PAS,USTAZ YA’AKUB BIN ABU SEMAN,MALE,43,3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,BN - UMNO,,9594,1382,86.86,8333,19,158,8156,UMNO,AZLAN BIN MAN,MALE,55,4769,,,,,,,,PAS,USTAZ IDRIS YAACOB,MALE,60,3387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.12,PERLIS,P.003,ARAU,N.12,TAMBUN TULANG,BN - UMNO,,9424,2481,87.65,8260,16,153,8091,UMNO,ISMAIL BIN KASIM,MALE,54,5286,,PKR,AZHAR BIN AMEIR,MALE,38,2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.13,PERLIS,P.003,ARAU,N.13,GUAR SANJI,BN - UMNO,,8723,927,87.57,7639,14,82,7543,UMNO,CIKGU JAFPERI BIN OTHMAN,MALE,49,4235,,,,,,,,PAS,ZULMI SABRI,MALE,,3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.14,PERLIS,P.003,ARAU,N.14,SIMPANG EMPAT,BN - UMNO,,7774,85,86.56,6729,20,70,6639,UMNO,NURULHISHAM BIN YAAKOB,MALE,54,3362,,,,,,,,PAS,RUSSELE EIZAN,MALE,56,3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.15,PERLIS,P.003,ARAU,N.15,SANGLANG,PR - PAS,,8361,121,89.21,7459,14,80,7365,UMNO,USTAZ FATHUL BARI,MALE,33,3511,,,,,,,,PAS,CIKGU SHUKRI,MALE,52,3632,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ZAINUDIN BIN YOM ,MALE,50,222,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,BN - UMNO,,20130,5311,86.68,17449,136,292,17021,UMNO,MOHD RAWI BIN ABD HAMID,MALE,46,11166,,,,,,,,PAS,ZUBIR BIN AHMAD,MALE,50,5855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,BN - UMNO,,17406,6371,84.15,14647,84,291,14272,UMNO,NOR SAIDI BIN NANYAN,MALE,42,10263,,PKR,DATO' HJ. AHMAD BIN KASIM,MALE,50,3892,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ZAFLEE BIN PAKWANTEH,MALE,,117,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,BN - UMNO,,22816,2238,86.34,19699,17,366,19316,UMNO,DATO' ABU HASAN BIN SARIF,MALE,58,10777,,,,,,,,PAS,ISMAIL BIN W. TEH @ JAZIZ,MALE,51,8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,BN - UMNO,,29567,2446,88.61,26200,98,382,25720,UMNO,DATO' PADUKA HJ MUKHRIZ TUN MAHATHIR,MALE,49,14083,,,,,,,,PAS,USTAZ ABD. GHANI BIN AHMAD,MALE,43,11637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,BN - UMNO,,29228,7873,87.55,25588,66,487,25035,UMNO,AHMAD ZAINI BIN JAPAR,MALE,57,16454,,PKR,HAJI NASRUL OMAR,MALE,,8581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,BN - UMNO,,36322,3056,87.30,31708,182,394,31132,UMNO,AMINUDDIN BIN OMAR,MALE,45,17094,,,,,,,,PAS,DR. ROHANI BINTI ABD MUTTALIB,FEMALE,60,14038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,BN - UMNO,,21651,1997,89.57,19393,49,380,18964,UMNO,BADROL HISHAM BIN HASHIM,MALE,45,10363,,,,,,,,PAS,SYED IBRAHIM BIN SYED OMAR,MALE,49,8366,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,AHMAD BIN MAD. DAUD,MALE,,235,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,BN - UMNO,,20309,2960,91.15,18511,51,376,18084,UMNO,KAMA NORIAH BINTI IBRAHIM,FEMALE,43,10522,,PKR,Ir. ZAMRI YUSUF,MALE,47,7562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,BN - UMNO,,27593,1324,88.87,24521,58,459,24004,UMNO,DATO AHMAD LEBAI SUDIN,MALE,55,12664,,,,,,,,PAS,USTAZ IZZAT SHAUKI,MALE,33,11340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,PR - PAS,,26426,1672,86.89,22961,71,258,22632,UMNO,MOHD MUKHTAR BIN NOOR (CIKGU TAT),MALE,,10480,,,,,,,,PAS,WAN ROMANI,MALE,57,12152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,PR - DAP,,26695,1156,82.57,22042,89,332,21621,GERAKAN,DR. CHEAH SOON HAI,MALE,,9202,,DAP,TAN KOK YEW,MALE,46,10358,,,,,,,,BERJASA,USTAZ HAJI ABDUL FISOL BIN MOHD ISA,MALE,54,2061,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,BAKAR BATA,BN - UMNO,,28186,895,84.31,23763,105,363,23295,UMNO,DATO' PADUKA AHMAD BASHAH MD HANIPAH,MALE,63,11999,,PKR,EEKMAL AHMAD,MALE,33,11104,,,,,,,,,,,,,,,,,,,,BERSAMA,JAWAHAR RAJA BIN HJ ABDUL WAHID,MALE,,192,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,PR - DAP,,15466,2626,80.47,12446,30,202,12214,MCA,LOH GIM HOOI,MALE,55,4761,,DAP,KB TEOH,MALE,,7387,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,LIEW KARD SEONG,MALE,,39,LOST DEPOSIT,INDEPENDENT - ELEPHANT,A.J. GOPALA,MALE,,27,LOST DEPOSIT,,,,,,,,,,,,
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,PR - PAS,,25357,1865,85.61,21707,68,273,21366,UMNO,SHARIFAH MAZNAH BT. SYED KASSIM BARAKBAH,FEMALE,61,9588,,,,,,,,PAS,AHMAD BIN YAHAYA,MALE,38,11453,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,UST. FADZIL BIN HANAFI. JP,MALE,53,325,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
