UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE GENDER,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE GENDER,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE GENDER,OTHER PARTY 3 CANDIDATE AGE,OTHER PARTY 3 CANDIDATE VOTE,STATUS FOR OTHER PARTY 3,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 3,INDEPDENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 4,INDEPDENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE
P.001,PERLIS,P.001,PADANG BESAR,BN - UMNO,,41974,7426,86.1,36142,91,531,35520,BN - UMNO,ZAHIDI BIN ZAINUL ABIDIN,,,21473,PR-PAS,AZAMHARI BIN MOHAMOOD,,,14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002,PERLIS,P.002,KANGAR,BN - UMNO,,51207,4037,84.8,43431,115,667,42649,BN - UMNO,SHAHARUDDIN BIN ISMAIL,,,23343,PR-PAS,BAHARUDDIN BIN AHMAD,,,19306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003,PERLIS,P.003,ARAU,BN - UMNO,,43876,1371,87.6,38439,127,525,37787,BN - UMNO,SHAHIDAN BIN KASSIM,,,19376,PR-PAS,HARON BIN DIN,,,18005,,,,,,,,,,,,,,,,,INDEPENDENT,ZAINUDIN BIN YOM,,,406,,,,,,,,,,,,,,,
P.004,KEDAH,P.004,LANGKAWI,BN - UMNO,,37536,11861,85.5,32096,219,744,31133,BN - UMNO,NAWAWI BIN AHMAD,,,21407,PR-PKR,AHMAD BIN ABDULLAH,,,9546,,,,,,,,,,,,,,,,,INDEPENDENT,MARINA BINTI HUSSEIN,,,180,,,,,,,,,,,,,,,
P.005,KEDAH,P.005,JERLUN,BN - UMNO,,52383,3270,87.6,45899,117,730,45052,BN - UMNO,OTHMAN BIN AZIZ,,,24161,PR-PAS,ISMAIL BIN SALLEH,,,20891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006,KEDAH,P.006,KUBANG PASU,BN - UMNO,,65550,10444,87.4,57296,238,834,56224,BN - UMNO,MOHD JOHARI BIN BAHARUM,,,33334,PR-PAS,MOHD JAMAL BIN NASIR,,,22890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007,KEDAH,P.007,PADANG TERAP,BN - UMNO,,41960,4442,90.3,37904,104,691,37109,BN - UMNO,MAHDZIR BIN KHALID,,,20654,PR-PAS,MOHD NASIR BIN ZAKARIA,,,16212,,,,,,,,,,,,,,,,,INDEPENDENT,MUHAMAD BAZLI BIN ABDULLAH,,,243,,,,,,,,,,,,,,,
P.008,KEDAH,P.008,POKOK SENA,PR-PAS,,80714,3935,86.1,69524,215,848,68461,BN - UMNO,SHAHLAN BIN ISMAIL,,,32263,PR-PAS,DATO' MAHFUZ BIN OMAR,,,36198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.009,KEDAH,P.009,ALOR STAR,PR-PKR,,69009,1873,83.9,57912,200,1070,56642,BN - MCA,CHOR CHEE HEUNG,,,25491,PR-PKR,GOOI HSIAO - LEUNG,,,27364,BERJASA,ABDUL FISOL BIN MOHD ISA,,,3530,BERSAMA,JAWAHAR RAJA BIN ABDUL WAHID,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,
P.010,KEDAH,P.010,KUALA KEDAH,PR-PKR,,95328,4947,86.3,82253,248,1212,80793,BN - UMNO,ZAKI ZAMANI BIN ABD RASHID,,,37923,PR-PKR,AZMAN BIN ISMAIL,,,42870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
