UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.001,PERLIS,P.001,PADANG BESAR,BN - UMNO,,41974,7426,86.11,36142,91,531,35520,UMNO,ZAHIDI BIN ZAINUL ABIDIN,MALE,,21473,,,,,,,,PAS,AZAMHARI BIN MOHAMOOD,MALE,,14047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002,PERLIS,P.002,KANGAR,BN - UMNO,,51207,4037,84.81,43431,115,667,42649,UMNO,IR. SHAHARUDDIN BIN ISMAIL,MALE,,23343,,,,,,,,PAS,HAJI BAHARUDDIN AHMAD,MALE,,19306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003,PERLIS,P.003,ARAU,BN - UMNO,,43876,1371,87.61,38439,127,525,37787,UMNO,SHAHIDAN BIN KASSIM,MALE,,19376,,,,,,,,PAS,DATO’ DR HARON DIN,MALE,,18005,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ZAINUDIN BIN YOM,MALE,,406,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.004,KEDAH,P.004,LANGKAWI,BN - UMNO,,37536,11861,85.51,32096,219,744,31133,UMNO,DATO’ IR. NAWAWI BIN AHMAD,MALE,,21407,,PKR,DATO’ HJ AHMAD BIN ABDULLAH,MALE,,9546,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CAR,MARINA BINTI HUSSEIN,FEMALE,,180,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.005,KEDAH,P.005,JERLUN,BN - UMNO,,52383,3270,87.62,45899,117,730,45052,UMNO,DATO’ OTHMAN BIN HJ AZIZ,MALE,,24161,,,,,,,,PAS,DATO’ DR. ISMAIL BIN SALLEH,MALE,,20891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006,KEDAH,P.006,KUBANG PASU,BN - UMNO,,65550,10444,87.41,57296,238,834,56224,UMNO,MOHD JOHARI BIN BAHARUM,MALE,,33334,,,,,,,,PAS,IR. JAMAL NASIR,MALE,,22890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007,KEDAH,P.007,PADANG TERAP,BN - UMNO,,41960,4442,90.33,37904,104,691,37109,UMNO,DATO’ SERI MAHDZIR BIN KHALID,MALE,,20654,,,,,,,,PAS,USTAZ NASIR BIN HAJI ZAKARIA,MALE,,16212,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,HAJI MUHAMAD BAZLI,MALE,,243,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.008,KEDAH,P.008,POKOK SENA,PR - PAS,,80714,3935,86.14,69524,215,848,68461,UMNO,SHAHLAN BIN ISMAIL,MALE,,32263,,,,,,,,PAS,DATO' MAHFUZ OMAR,MALE,,36198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.009,KEDAH,P.009,ALOR STAR,PR - PKR,,69009,1873,83.92,57912,200,1070,56642,MCA,CHOR CHEE HEUNG,MALE,,25491,,PKR,GOOI HSIAO-LEUNG,MALE,,27364,,,,,,,,BERJASA,USTAZ HAJI ABDUL FISOL BIN MOHD ISA,MALE,,3530,LOST DEPOSIT,BERSAMA,JAWAHAR RAJA BIN ABDUL WAHID,MALE,,257,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.010,KEDAH,P.010,KUALA KEDAH,PR - PKR,,95328,4947,86.28,82253,248,1212,80793,UMNO,DR.ZAKI ZAMANI BIN ABD RASHID,MALE,,37923,,PKR,DR. AZMAN BIN ISMAIL,MALE,,42870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
