Created on,"4/9/2023, updated on 24/3/2024, 30/10/2024"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2023), Attorney General Chambers, Data.gov.my (archived files), Undi.info. Refer to individual State Candidate Age Source File"
Disclaimers,"There may be discrepancies for the age of candidates as there is no official data released for the attribute. There were clashes between PKR, PSM and PAS at the DUN Level elections There are different interpretations of total valid votes for different parties based on different sources. According to EC Statistics published by MStar website (21/4/2013), there are 112 women candidates. This value excludes one UMNO and one DAP women candidate contesting in Sabah. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives"
,
Attribute,
Field name,Field Description
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (2003 - 2018). For Sabah, it will be relevant from 2003 to 2019"
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (2003 - 2018). For Sabah, it will be relevant from 2003 to 2019"
STATE CONSTITUENCY CODE,"State Constituency (DUN)  Code (2003 - 2018). For Sabah, it will be relevant from 2003 to 2019"
STATE CONSTITUENCY NAME,"State Constituency (DUN) Name (2003 - 2018). For Sabah, it will be relevant from 2003 to 2019"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using the Principal Electoral Roll of 2011 that was updated with four quarterly rolls of 2012
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (as in A in all Form 14 + A in Form 15)
TOTAL UNRETURNED BALLOTS,Total number of ballot papers issued but not put in the ballot box (as in D in all Form 14) and not returned (as in D in Form 15) (B-C-D)
TOTAL REJECTED VOTES,Total number of rejected ballot papers (as in C in all Form 14 + C in Form 15)
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette (Form 8)
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PR (1),Pakatan Rakyat (PR) (1) Component Party - Primary
PR (1) CANDIDATE,Pakatan Rakyat (1) Candidate Name as per the Government Gazette (Form 8)
PR (1) CANDIDATE SEX,Male/Female Classification
PR (1) CANDIDATE AGE,Age of Pakatan Rakyat (1) Candidate
PR (1) VOTE,Pakatan Rakyat (1) Valid Vote for the Candidate
PR (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PR (2),Pakatan Rakyat (PR) (2) Component Party - Secondary (only applicable for internal clashes for PR parties)
PR (2) CANDIDATE,Pakatan Rakyat (2) Candidate Name as per the Government Gazette (Form 8)
PR (2) CANDIDATE SEX,Male/Female Classification
PR (2) CANDIDATE AGE,Age of Pakatan Rakyat (2) Candidate
PR (2) VOTE,Pakatan Rakyat (2) Valid Vote for the Candidate
PR (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (1) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (2) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (3),Other Party
OTHER PARTY (3) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (3) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (3) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (3) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
