Created on,"27/3/2023, updated on 26/10/2024"
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Data.gov.my (archived), Tindak Malaysia (2023), Attorney General Chambers, Undi.info, Bernama. For specific Parliamentarian Candidate background details, refer to 2013_Other_Sources_Parliament_File for further information"
Disclaimers,"Candidate Age data will be added at a later stage. Even though Pakatan Rakyat is composed of PAS, PKR, and DAP, there was one seat where Pakatan Rakyat parties clashed. Michael Jeyakumar Devaraj is a PSM member who contested under PKR ticket for Sungai Siput. All Candidate Names were updated to reflect Gazette names. Even though there was no redelineation exercise between 2003 - 18 for Peninsular Malaysia, Labuan, and Sabah and from 2015 for Sarawak, EC has adopted a different Parliamentary Constituency Code numbering for the 2013 Elections. Corrections were made for the party association of N.Gobalkrishnan (Batu Kawan) and Zulkifli Noordin (Shah Alam). Spelling for Kulim - Bandar Baharu was fixed. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives."
,
Attribute,
Field name,Field Description
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code"
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (2003 - 2018). For Sabah, it will be relevant from 2003 to 2019"
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (2003 - 2018). For Sabah, it will be relevant from 2003 to 2019"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using the Principal Electoral Roll of 2011 that was updated with four quarterly rolls of 2012
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll (as in A in all Form 14 + A in Form 15)
TOTAL UNRETURNED VOTES,Total number of ballot papers issued but not put in the ballot box (as in D in all Form 14) and not returned (as in D in Form 15) (B-C-D)
TOTAL REJECTED VOTES,Total number of rejected ballot papers (as in C in all Form 14 + C in Form 15)
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette (Form 8)
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PR (1),"Pakatan Rakyat (PR) (1) Component Party (PKR, DAP)"
PR (1) CANDIDATE,Pakatan Rakyat (1) Candidate Name as per the Government Gazette (Form 8)
PR (1) CANDIDATE SEX,Male/Female Classification
PR (1) CANDIDATE AGE,Age of Pakatan Rakyat (1) Candidate
PR (1) VOTE,Pakatan Rakyat (1) Valid Vote for the Candidate
PR (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PR (2),Pakatan Rakyat (PR) (2) Component Party (PAS)
PR (2) CANDIDATE,Pakatan Rakyat (2) Candidate Name as per the Government Gazette (Form 8)
PR (2) CANDIDATE SEX,Male/Female Classification
PR (2) CANDIDATE AGE,Age of Pakatan Rakyat (2) Candidate
PR (2) VOTE,Pakatan Rakyat (2) Valid Vote for the Candidate
PR (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (1),Other Party
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (1) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (2) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (3),Other Party
OTHER PARTY (3) CANDIDATE,Other Party Candidate Name as per the Government Gazette (Form 8)
OTHER PARTY (3) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (3) CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY (3) VOTE,Valid Vote for the Other Party Candidate
OTHER PARTY (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (3),Independent with Symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name as per the Government Gazette (Form 8)
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
