UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,"OTHER PARTY (2) CANDIDATE LOST DEPOSIT
",INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.054_N.01,PERAK,P.054,GERIK,N.01,PENGKALAN HULU,BN - UMNO,,"13,924","3,361",83.39%,"11,611",281,279,"11,051",UMNO,HJ AZNEL BIN HJ IBRAHIM,MALE,50,"7,206",,PKR,MEJ (B) ABDULLAH MASNAN,MALE,,"3,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.02,PERAK,P.054,GERIK,N.02,TEMENGOR,BN - UMNO,,"18,801","3,215",84.05%,"15,803",32,324,"15,447",UMNO,SALBIAH BINTI MOHAMED,FEMALE,35,"9,331",,PKR,MHD SUPIAN BIN NORDIN,MALE,,"6,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.03,PERAK,P.055,LENGGONG,N.03,KENERING,BN - UMNO,,"15,830","3,335",85.89%,"13,597",216,284,"13,097",UMNO,MOHD TARMIZI IDRIS,MALE,51,"8,216",,PKR,MOHAMD TARMIZI BIN ABDUL HAMID,MALE,,"4,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.04,PERAK,P.055,LENGGONG,N.04,KOTA TAMPAN,BN - UMNO,,"12,120","1,844",83.66%,"10,139",38,159,"9,942",UMNO,SAARANI MOHAMAD,MALE,52,"5,893",,PKR,ZAHRUL NIZAM BIN ABDUL MAJID,MALE,,"4,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.05,PERAK,P.056,LARUT,N.05,SELAMA,BN - UMNO,,"15,403",619,86.82%,"13,373",101,183,"13,089",UMNO,DATO MOHAMAD DAUD BIN MOHD YUSOFF,MALE,53,"6,854",,PAS,USTAZ AKMAL BIN HJ. KAMARUDIN,MALE,35,"6,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.06,PERAK,P.056,LARUT,N.06,KUBU GAJAH,BN - UMNO,,"12,611","1,085",85.04%,"10,724",25,170,"10,529",UMNO,AHMAD HASBULLAH BIN ALIAS,MALE,,"5,807",,PAS,UST MOHD NAZRI B. HJ DIN,MALE,,"4,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.07,PERAK,P.056,LARUT,N.07,BATU KURAU,BN - UMNO,,"18,563","3,834",86.21%,"16,003",37,222,"15,744",UMNO,DR. HJ. MUHAMMAD AMIN BIN ZAKARIA,MALE,,"9,789",,PKR,MOHAMMAD FADZIL BIN ALIAS,MALE,,"5,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.08,PERAK,P.057,PARIT BUNTAR,N.08,TITI SERONG,PR - PAS,,"28,107","1,794",86.53%,"24,321",96,341,"23,884",UMNO,ABU BAKAR BIN MAT ALI,MALE,54,"11,045",,PAS,USTAZ ABU BAKAR HUSSAIN,MALE,60,"12,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.09,PERAK,P.057,PARIT BUNTAR,N.09,KUALA KURAU,PR - PKR,,"23,315","5,014",85.72%,"19,985",45,282,"19,658",UMNO,MOHD SALLEH BIN MAT DISA,MALE,56,"7,322",,PKR,YUNUS JAMHARI,MALE,42,"12,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.10,PERAK,P.058,BAGAN SERAI,N.10,ALOR PONGSU,BN - UMNO,,"17,666","2,196",84.01%,"14,841",21,339,"14,481",UMNO,DATO’ SHAM MAT SAHAT,MALE,52,"8,286",,PKR,ROSLI BIN IBRAHIM,MALE,,"6,090",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,SHAMSUL AMIR BIN RAMLY,MALE,,105,LOST DEPOSIT,,,,,,
