UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,BN - MCA,,"9,159","  1,486 ",82.91%,"7,594",38,224,"7,332",MCA,KHAW HOCK KONG,MALE,49,"3,925",,DAP,TEH SENG CHUAN,MALE,41,2439,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,YAACOB BIN MAN ,MALE,54,968,,,,,,,
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,BN - UMNO,,"8,197",  540 ,83.53%,"6,847",20,95,"6,732",UMNO,DATUK MAT RAWI BIN KASSIM,MALE,58,"3,636",,PAS,WAN KHARIZAL,MALE,51,3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,BN - UMNO,,"9,848","  2,876 ",88.16%,"8,682",17,165,"8,500",UMNO,ASMAIZA BINTI AHMAD,FEMALE,38,"5,688",,PKR,WAN MD FISHAAL,MALE,,2812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,BN - UMNO,,"6,365","  1,989 ",87.86%,"5,592",17,86,"5,489",UMNO,CIKGU KHAIRI BIN HASAN,MALE,56,"3,739",,PKR,AMMAR GAZALI,MALE,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,BN - UMNO,,"8,405","  1,084 ",88.63%,"7,449",22,93,"7,334",UMNO,SABRY BIN AHMAD,MALE,60,"4,209",,PAS,ANUAR TAHIR,MALE,61,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,BN - UMNO,,"10,911","  1,237 ",87.10%,"9,503",42,188,"9,273",UMNO,RELA BINTI AHMAD,FEMALE,63,"5,255",,PAS,ABD JAMIL KAMIS,MALE,53,4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,BN - UMNO,,"11,194","  1,924 ",84.24%,"9,430",20,177,"9,233",UMNO,JAMIL BIN SAAD,MALE,52,"5,418",,PKR,TUAN MARJA BINTI TUAN MAT,MALE,49,3494,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,DATO’ AHMAD RIZAL EFFANDE B. ZAINOL ,MALE,34,321,LOST DEPOSIT,,,,,,
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,PR - PKR,,"9,776","  1,092 ",81.90%,"8,007",25,144,"7,838",MCA,POR CHOO CHOR,MALE,64,"3,171",,PKR,CHAN MING KAI,MALE,33,4263,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,LAWYER AMEIR ,MALE,65,404,LOST DEPOSIT,,,,,,
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,BN - UMNO,,"10,150","  1,384 ",83.55%,"8,480",8,149,"8,323",UMNO,CIKGU MAT HASSAN,MALE,53,"4,758",,PKR,NOOR AMIN BIN AHMAD,MALE,31,3374,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FISH,SHAARI  BIN LUDIN ,MALE,,191,LOST DEPOSIT,,,,,,
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,BN - UMNO,,"9,176",  664 ,87.19%,"8,001",17,130,"7,854",UMNO,AHMAD BAKRI BIN DATO’ ALI,MALE,57,"4,259",,PAS,USTAZ YA’AKUB BIN ABU SEMAN,MALE,43,3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,BN - UMNO,,"9,594","  1,382 ",86.86%,"8,333",19,158,"8,156",UMNO,AZLAN BIN MAN,MALE,55,"4,769",,PAS,USTAZ IDRIS YAACOB,MALE,60,3387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.12,PERLIS,P.003,ARAU,N.12,TAMBUN TULANG,BN - UMNO,,"9,424","  2,481 ",87.65%,"8,260",16,153,"8,091",UMNO,ISMAIL BIN KASIM,MALE,54,"5,286",,PKR,AZHAR BIN AMEIR,MALE,38,2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.13,PERLIS,P.003,ARAU,N.13,GUAR SANJI,BN - UMNO,,"8,723",  927 ,87.57%,"7,639",14,82,"7,543",UMNO,CIKGU JAFPERI BIN OTHMAN,MALE,49,"4,235",,PAS,ZULMI SABRI,MALE,,3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.14,PERLIS,P.003,ARAU,N.14,SIMPANG EMPAT,BN - UMNO,,"7,774",  85 ,86.56%,"6,729",20,70,"6,639",UMNO,NURULHISHAM BIN YAAKOB,MALE,54,"3,362",,PAS,RUSSELE EIZAN,MALE,56,3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.15,PERLIS,P.003,ARAU,N.15,SANGLANG,PR - PAS,,"8,361",  121 ,89.21%,"7,459",14,80,"7,365",UMNO,USTAZ FATHUL BARI,MALE,33,"3,511",,PAS,CIKGU SHUKRI,MALE,52,3632,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ZAINUDIN BIN YOM ,MALE,50,222,LOST DEPOSIT,,,,,,
