UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.041_N.01,PULAU PINANG,P.041,KEPALA BATAS,N.01,PENAGA,BN-UMNO,,"16,681","1,662",91.31%,"15,231",25,168,"15,038",UMNO,MOHD ZAIN BIN AHMAD,MALE,61,"8,350",,PAS,HAJI ROSIDI HUSSAIN,MALE,,"6,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041_N.02,PULAU PINANG,P.041,KEPALA BATAS,N.02,BERTAM,BN-UMNO,,"16,221","1,642",89.35%,"14,494",23,235,"14,236",UMNO,SHARIFUL AZHAR OTHMAN,MALE,45,"7,939",,PKR,SYED MIKAEL RIZAL AIDID,MALE,33,"6,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041_N.03,PULAU PINANG,P.041,KEPALA BATAS,N.03,PINANG TUNGGAL,BN-UMNO,,"18,733","1,587",90.83%,"17,015",31,261,"16,723",UMNO,DATO’ HAJI ROSLAN BIN SAIDIN,MALE,,"9,155",,PKR,IR. AHMAD ZAKIYUDDIN BIN ABD RAHMAN,MALE,55,"7,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042_N.04,PULAU PINANG,P.042,TASEK GELUGOR,N.04,PERMATANG BERANGAN,BN-UMNO,,"18,336","1,621",89.89%,"16,482",30,247,"16,205",UMNO,HAJI OMAR BIN HAJI ABD HAMID,MALE,,"8,913",,PAS,ARSHAD BIN MD. SALLEH,MALE,63,"7,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042_N.05,PULAU PINANG,P.042,TASEK GELUGOR,N.05,SUNGAI DUA,BN-UMNO,,"17,871",357,90.26%,"16,131",42,200,"15,889",UMNO,MUHAMAD YUSOFF BIN MOHD NOOR,MALE,50,"7,951",,PAS,CIKGU ZAHADI BIN HJ. MOHD,MALE,58,"7,594",,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO SERI MOHD SHARIFF BIN OMAR,MALE,66,344,LOST DEPOSIT,,,,,,,,,,,,
P.042_N.06,PULAU PINANG,P.042,TASEK GELUGOR,N.06,TELOK AYER TAWAR,BN-UMNO,,"17,835",840,86.95%,"15,508",37,231,"15,240",UMNO,DATO JAHARA HAMID,FEMALE,62,"8,040",,PKR,NORHAYATI JAAFAR,FEMALE,50,"7,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043_N.07,PULAU PINANG,P.043,BAGAN,N.07,SUNGAI PUYU,PR-DAP,,"25,282","16,207",89.96%,"22,743",14,174,"22,555",MCA,SUM YOO KEONG,MALE,63,"3,174",,DAP,PHEE BOON POH,MALE,62,"19,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043_N.08,PULAU PINANG,P.043,BAGAN,N.08,BAGAN JERMAL,PR-DAP,,"24,608","11,855",86.72%,"21,340",26,222,"21,092",MCA,TAN CHUAN HONG,MALE,46,"4,561",,DAP,LIM HOCK SENG,MALE,65,"16,416",,,,,,,,PCM,LIM KIM CHU,MALE,,115,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.043_N.09,PULAU PINANG,P.043,BAGAN,N.09,BAGAN DALAM,PR-DAP,,"18,613","5,161",84.40%,"15,709",22,241,"15,446",MIC,M. KARUPPANAN,MALE,48,"5,092",,DAP,TANASEKHARAN,MALE,57,"10,253",,,,,,,,PCM,LIM SEANG TEIK,MALE,,76,LOST DEPOSIT,,,,,,,INDEPENDENT - ELEPHANT,ASOGHAN A/L GOVINDARAJU,MALE,,25,LOST DEPOSIT,,,,,,,,,,,,
P.044_N.10,PULAU PINANG,P.044,PERMATANG PAUH,N.10,SEBERANG JAYA,PR-PKR,,"29,964","2,459",88.20%,"26,429",67,274,"26,088",UMNO,MOHAMMAD NASIR BIN ABDULLAH,MALE,51,"11,689",,PKR,DR. AFIF BIN BAHARDIN,MALE,28,"14,148",,,,,,,,,,,,,,,,,,,,INDEPENDENT - RABBIT,SHAMSUT TABREJ,MALE,62,251,LOST DEPOSIT,,,,,,,,,,,,
