UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2013),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR CANDIDATE,PR (1) CANDIDATE GENDER,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE GENDER,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,"OTHER PARTY (2) CANDIDATE LOST DEPOSIT
",INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.033_N.01,TERENGGANU,P.033,BESUT,N.01,KUALA BESUT,BN-UMNO,,"17,679","2,434",87.00%,"15,381",53,144,"15,184",UMNO,DR A. RAHMAN BIN MOKHTAR,MALE,55,"8,809",,PAS,NAPISAH BINTI ISMAIL,FEMALE,53,"6,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.02,TERENGGANU,P.033,BESUT,N.02,KOTA PUTERA,BN-UMNO,,"19,727","1,412",86.75%,"17,114",92,206,"16,816",UMNO,MOHD MAHDI HJ MUSA (ABE ADI),MALE,44,"9,084",,PAS,USTAZ ADAM MAT SAID,MALE,,"7,672",,PKR,MOHAMED ABDUL GHANI,MALE,,60,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.03,TERENGGANU,P.033,BESUT,N.03,JERTIH,BN-UMNO,,"18,770",930,85.76%,"16,097",63,172,"15,862",UMNO,HAJI PEHIMI YUSOF,MALE,51,"8,396",,PAS,USTAZ WAN AZHAR,MALE,47,"7,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.04,TERENGGANU,P.033,BESUT,N.04,HULU BESUT,BN-UMNO,,"16,390","1,570",88.01%,"14,425",57,170,"14,198",UMNO,HJ NAWI HJ MOHAMAD,MALE,50,"7,884",,PAS,CIKGU SOLAH,MALE,50,"6,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.05,TERENGGANU,P.034,SETIU,N.05,JABI,BN-UMNO,,"16,787",782,88.55%,"14,865",35,142,"14,688",UMNO,MOHD ISKANDAR BIN JAAFAR,MALE,38,"7,735",,PAS,DR AZMAN IBRAHIM,MALE,38,"6,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.06,TERENGGANU,P.034,SETIU,N.06,PERMAISURI,BN-UMNO,,"20,322","2,928",87.62%,"17,807",41,398,"17,368",UMNO,DATO’ HAJI MOHD JIDIN BIN SHAFEE,MALE,58,"9,188",,PKR,WAN MOKHTAR WAN IBRAHIM,MALE,46,"6,260",,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,YUSOP MAJID,MALE,,"1,920",LOST DEPOSIT,,,,,,
P.034_N.07,TERENGGANU,P.034,SETIU,N.07,LANGKAP,BN-UMNO,,"16,124","3,022",87.13%,"14,049",31,190,"13,828",UMNO,DATO SABRI,MALE,50,"8,425",,PAS,HASSAN BIN KARIM,MALE,61,"5,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.08,TERENGGANU,P.034,SETIU,N.08,BATU RAKIT,BN-UMNO,,"14,047","1,635",89.28%,"12,541",26,134,"12,381",UMNO,BAZLAN BIN ABD RAHMAN,MALE,49,"7,008",,PAS,HAJI GHANI AMBAK,MALE,57,"5,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.09,TERENGGANU,P.035,KUALA NERUS,N.09,TEPUH,PR-PAS,,"25,162",229,88.63%,"22,301",54,220,"22,027",UMNO,USTAZ RAMLI NUH,MALE,47,"10,899",,PAS,USTAZ HISHAMUDDIN,MALE,35,"11,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.10,TERENGGANU,P.035,KUALA NERUS,N.10,TELUK PASU,PR-PAS,,"20,121",109,91.05%,"18,321",38,196,"18,087",UMNO,DATO’ HAJI ABDUL RAHIN BIN DATO’ HAJI MOHD SAID,MALE,54,"8,989",,PAS,USTAZ RIDZUAN HASHIM,MALE,41,"9,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
