UNIQUE CODE (2018),STATE (2018),PARLIAMENT CONSTITUENCY CODE (2018),PARLIAMENT CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),AREA (SQ KM),Notes
P.192_N.01,SARAWAK,P.192,MAS GADING,N.01,OPAR,1010,AS per 2015 Gazeted Redelineation Report
P.192_N.02,SARAWAK,P.192,MAS GADING,N.02,TASIK BIRU,471,AS per 2015 Gazeted Redelineation Report
P.193_N.03,SARAWAK,P.193,SANTUBONG,N.03,TANJONG DATU,905,AS per 2015 Gazeted Redelineation Report
P.193_N.04,SARAWAK,P.193,SANTUBONG,N.04,PANTAI DAMAI,373,AS per 2015 Gazeted Redelineation Report
P.193_N.05,SARAWAK,P.193,SANTUBONG,N.05,DEMAK LAUT,223,AS per 2015 Gazeted Redelineation Report
P.194_N.06,SARAWAK,P.194,PETRA JAYA,N.06,TUPONG,99,AS per 2015 Gazeted Redelineation Report
P.194_N.07,SARAWAK,P.194,PETRA JAYA,N.07,SAMARIANG,17,AS per 2015 Gazeted Redelineation Report
P.194_N.08,SARAWAK,P.194,PETRA JAYA,N.08,SATOK,10,AS per 2015 Gazeted Redelineation Report
P.195_N.09,SARAWAK,P.195,BANDAR KUCHING,N.09,PADUNGAN,6,AS per 2015 Gazeted Redelineation Report
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,14,AS per 2015 Gazeted Redelineation Report
P.195_N.11,SARAWAK,P.195,BANDAR KUCHING,N.11,BATU LINTANG,15,AS per 2015 Gazeted Redelineation Report
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,35,AS per 2015 Gazeted Redelineation Report
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KITANG,80,AS per 2015 Gazeted Redelineation Report
P.196_N.14,SARAWAK,P.196,STAMPIN,N.14,BATU KAWAH,79,AS per 2015 Gazeted Redelineation Report
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,ASAJAYA,246,AS per 2015 Gazeted Redelineation Report
P.197_N.16,SARAWAK,P.197,KOTA SAMARAHAN,N.16,MUARA TUANG,399,AS per 2015 Gazeted Redelineation Report
P.197_N.17,SARAWAK,P.197,KOTA SAMARAHAN,N.17,STAKAN,100,AS per 2015 Gazeted Redelineation Report
P.198_N.18,SARAWAK,P.198,PUNCAK BORNEO,N.18,SEREMBU,311,AS per 2015 Gazeted Redelineation Report
P.198_N.19,SARAWAK,P.198,PUNCAK BORNEO,N.19,MAMBONG,497,AS per 2015 Gazeted Redelineation Report
P.198_N.20,SARAWAK,P.198,PUNCAK BORNEO,N.20,TARAT,520,AS per 2015 Gazeted Redelineation Report
