UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2016)
P.192_N.01,SARAWAK,P.192,MAS GADING,N.01,OPAR,9714,3.7,7.1,8.2,80.2,,0.8,99.95,0,0,0.05,9.51,22.32,22.77,22.85,13.24,6.95,1.84,0.42,50.65,49.35,RURAL
P.192_N.02,SARAWAK,P.192,MAS GADING,N.02,TASIK BIRU,17041,5.9,26.2,2,65.3,,0.6,99.08,0,0,0.92,8.76,18.78,22.19,23.32,15.87,7.72,2.81,0.54,50.56,49.44,RURAL
P.193_N.03,SARAWAK,P.193,SANTUBONG,N.03,TANJONG DATU,9899,52.4,18.5,16.2,12.5,,0.4,98.12,0,0.89,0.99,11.61,23.23,20.87,20.26,13.97,7.76,2.69,0.49,50.11,49.89,RURAL
P.193_N.04,SARAWAK,P.193,SANTUBONG,N.04,PANTAI DAMAI,18409,93.1,2.9,2.7,,,1.3,99.84,0.01,0,0.16,12.68,24.21,24.06,19.58,12.03,5.59,1.53,0.33,48.18,51.82,SEMI-URBAN
P.193_N.05,SARAWAK,P.193,SANTUBONG,N.05,DEMAK LAUT,13830,89.3,7.4,1.9,1.2,,0.2,99.99,0,0,0.01,11.93,24.93,23.25,19.6,12.38,5.88,1.5,0.53,49.72,50.28,SEMI-URBAN
P.194_N.06,SARAWAK,P.194,PETRA JAYA,N.06,TUPONG,21499,71.9,16.9,6,3.9,,1.3,99.67,0.03,0,0.3,12.16,26.05,23.25,19.47,12.37,4.89,1.5,0.31,48.55,51.45,URBAN
P.194_N.07,SARAWAK,P.194,PETRA JAYA,N.07,SAMARIANG,18250,90.4,1.6,6,1.6,,0.4,99.82,0.02,0,0.16,11.23,26.49,22.67,19.89,12.69,5.32,1.44,0.28,47.63,52.37,URBAN
P.194_N.08,SARAWAK,P.194,PETRA JAYA,N.08,SATOK,13550,69.5,23,3.9,1.7,,1.9,94.16,0.04,0,5.8,6.46,16.66,21.4,23.27,16.92,10.15,3.99,1.15,48.5,51.5,URBAN
P.195_N.09,SARAWAK,P.195,BANDAR KUCHING,N.09,PADUNGAN,22301,4.1,92.8,1.2,0.9,,1,98.81,0.01,0,1.17,2.25,8.69,15.42,23.85,26.86,15.94,5.38,1.61,48.2,51.8,URBAN
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,30488,5,90,3.1,1.4,0.3,0.5,96.85,0.01,0.47,2.67,4.08,14.45,20.07,24.54,22.88,9.76,3.41,0.8,48.95,51.05,URBAN
P.195_N.11,SARAWAK,P.195,BANDAR KUCHING,N.11,BATU LINTANG,28105,3.3,85.9,6.7,2.3,0.3,1.5,99.69,0.05,0,0.27,7.23,18.88,21.8,20.61,17.82,9.2,3.61,0.86,47.35,52.65,URBAN
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,25761,12.3,73.5,9.6,3.2,0.3,1.1,87.69,0.03,11.92,0.36,11.76,26.5,22.93,16.35,13.95,6.22,1.97,0.32,51.47,48.53,URBAN
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KITANG,17494,20.1,54.8,5.8,14.5,0.4,4.4,99.75,0.02,0,0.22,10.61,23.06,24.15,19.56,13.41,6.42,2.27,0.52,49.46,50.54,URBAN
P.196_N.14,SARAWAK,P.196,STAMPIN,N.14,BATU KAWAH,16991,17.7,62.3,9.7,8.3,0.5,1.5,92.65,0.05,0,7.3,10.11,26.06,25.61,18.2,12.84,5.35,1.55,0.29,50.6,49.4,URBAN
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,ASAJAYA,10967,78.6,11.6,9.2,,,0.6,99.79,0,0,0.21,10.93,25.01,20.57,19.24,13.98,7.32,2.35,0.6,49.97,50.03,RURAL
P.197_N.16,SARAWAK,P.197,KOTA SAMARAHAN,N.16,MUARA TUANG,16186,67.7,6.6,19.6,5.6,,0.5,98.34,0.01,0.74,0.91,11.15,25.06,22.46,19.35,13.11,6.61,1.94,0.31,49.22,50.78,RURAL
P.197_N.17,SARAWAK,P.197,KOTA SAMARAHAN,N.17,STAKAN,14846,41.9,18,21.9,14.1,1,3.1,52.46,0.02,47.49,0.03,17.85,33.07,24.78,12.41,7.48,3.06,1.18,0.16,53.95,46.05,SEMI-URBAN
