UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2016),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,PH2,PH2 CANDIDATE,PH2 CANDIDATE GENDER,PH2 CANDIDATE AGE,PH2 CANDIDATE VOTE,PH2 CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,STAR,STAR CANDIDATE,STAR CANDIDATE GENDER,STAR CANDIDATE AGE,STAR CANDIDATE VOTE,STAR CANDIDATE LOST DEPOSIT,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE GENDER,PBDSB CANDIDATE AGE,PBDSB CANDIDATE VOTE,PBDSB CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.192_N.01,SARAWAK,P.192,MAS GADING,N.01,OPAR,BN - DIRECT,,9714,"2,082",76.40%,"7,419",41,57,"7,321",Direct,RANUM ANAK MINA,MALE,65,3665,,PKR,FRANCIS TERON KADAP ANAK NOYET,MALE,44,1549,,,,,,,,,,,,,,,,,,,,PBDSB,PATRICK ANEK UREN,MALE,68,524,LOST DEPOSIT,INDEPENDENT - TREE,NIPONI ANAK UNDEK,MALE,,"1,583",,,,,,,
P.192_N.02,SARAWAK,P.192,MAS GADING,N.02,TASIK BIRU,BN - SPDP,,17041,"1,288",75.10%,"12,797",44,197,"12,556",SPDP,HENRY @ HARRY ANAK JINEP,MALE,49,6922,,DAP,MORDI ANAK BIMOL,MALE,31,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.193_N.03,SARAWAK,P.193,SANTUBONG,N.03,TANJONG DATU,BN - PBB,,9899,"5,892",70.10%,"6,936",31,77,"6,828",PBB,ADENAN BIN SATEM,MALE,72,6360,,PKR,JAZOLKIPLI BIN NUMAN,MALE,,468,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.193_N.04,SARAWAK,P.193,SANTUBONG,N.04,PANTAI DAMAI,BN - PBB,,18409,"9,260",69.80%,"12,851",54,221,"12,576",PBB,DR HAJI ABDUL RAHMAN JUNAIDI,MALE,55,10918,,,,,,,,,,,,,,PAS,ZAINAL ABIDIN YEPNI,MALE,49,1658,,,,,,,,,,,,,,,,,,,,,,,,,
P.193_N.05,SARAWAK,P.193,SANTUBONG,N.05,DEMAK LAUT,BN - PBB,,13830,"7,382",71.40%,"9,879",44,139,"9,696",PBB,HAZLAND BIN ABG HIPNI,MALE,51,8539,,PAN,MOHAMAD FIDZUAN BIN ZAIDI,MALE,38,1157,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.06,SARAWAK,P.194,PETRA JAYA,N.06,TUPONG,BN - PBB,,21499,"8,055",65.40%,"14,061",79,153,"13,829",PBB,FAZZRUDIN ABDUL RAHMAN,MALE,40,10942,,PKR,NURHANIM BINTI MOKHSEN,FEMALE,47,2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.07,SARAWAK,P.194,PETRA JAYA,N.07,SAMARIANG,BN - PBB,,18250,"7,760",67.90%,"12,397",70,108,"12,219",PBB,SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,FEMALE,47,9795,,PAN,NANI BINTI SAHARI,FEMALE,50,389,LOST DEPOSIT,,,,,,,PAS,USTAZ YUSOF AHMAD SHARKAWI,MALE,30,2035,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.08,SARAWAK,P.194,PETRA JAYA,N.08,SATOK,BN - PBB,,13550,"5,045",65.00%,"8,803",44,96,"8,663",PBB,DATUK AMAR ABG JOHARI TUN OPENG,MALE,66,6854,,PKR,MOHAMED SALLEH BIN SHAWKATALI,MALE,35,1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.195_N.09,SARAWAK,P.195,BANDAR KUCHING,N.09,PADUNGAN,PH - DAP,,22301,"4,270",65.50%,"14,602",14,78,"14,510",SUPP,PAU KIU SUNG,MALE,44,5062,,DAP,WONG KING WEI,MALE,,9332,,,,,,,,,,,,,,STAR,TEO KUANG KIM,MALE,57,116,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,PH - DAP,,30488,"5,012",65.70%,"20,038",17,125,"19,896",SUPP,MILTON FOO TIANG WEE,MALE,39,7442,,DAP,VIOLET YONG WUI WUI,FEMALE,39,12454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
