ELECTION TYPE,STATE,DUN/PARLIAMENT LEVEL,YEAR,POLLING DATE,TOTAL ELECTORS,TOTAL POLLING STAFF,ESTIMATED COST (RM MILLION),ESTIMATED COST PER VOTER (RM),SOURCE,OTHER SOURCE
14th General Elections,N/A,Parliament & DUN (except for Sarawak),2018,9/5/2018,14940624,259391,500,33.47,https://www.kln.gov.my/web/kor_seoul/news-from-mission/-/blogs/kenyataan-media-berhubung-urusan-pru-14,
15th Melaka State Elections,Melaka,DUN,2021,20/11/2021,495196,12290,46,92.89,https://web.facebook.com/photo?fbid=416621203160337&set=pcb.416621536493637,
12th Sarawak State Elections,Sarawak,DUN,2021,18/12/2021,1252014,46565,150,119.81,https://layanlah.blogspot.com/2021/11/kenyataan-media-spr-pilihanraya-negeri.html,
15th Johor State Elections,Johor,DUN,2022,12/3/2022,2597742,49920,96,36.96,https://web.facebook.com/photo?fbid=486450756177381&set=pcb.486450829510707,
15th General Elections,N/A,"Parliament & DUN (DUN elections applicable for Perlis, Perak and Pahang)",2022,19/11/2022,21173638,363515,1010,47.70,http://sprinfo.spr.gov.my/spr/KM/KM%20BIL%2028%202022%20MESYUARAT%20KHAS%20PRU%20KE%2015.pdf,
15th State Elections,"Kedah, Kelantan ,Terengganu, Pulau Pinang, Selangor and Negeri Sembilan",DUN,2023,12/8/2023,9773571,153760,420,42.97,https://ppn.spr.gov.my/kedah/wp-content/uploads/2023/07/KM-BIL-12-2023-MESYUARAT-KHAS-PRU-DUN-KE-15.pdf,
15th Sabah State Elections,Sabah,DUN,2025,29/11/2025,1784843,33002,116.8,65.44,https://spr.gov.my/wp-content/uploads/2025/10/KM-BIL-24-2025-MESYUARAT-KHAS-PRU-Dewan-Undangan-Sabah-Ke-17-161025-1.pdf,
16th Johor State Elections,Johor,DUN,2026,11/7/2026,2727926,42971,86.8,31.82,https://spr.gov.my/wp-content/uploads/2026/06/KM-BIL-18_2026-MESYUARAT-KHAS-PRU-DEWAN-NEGERI-JOHOR-NEGERI-SEMBILAN-KE-16-1.pdf,
16th Negeri Sembilan State Elections,Negeri Sembilan,DUN,2026,1/8/2026,889490,15344,80.6,90.61,https://spr.gov.my/wp-content/uploads/2026/06/KM-BIL-18_2026-MESYUARAT-KHAS-PRU-DEWAN-NEGERI-JOHOR-NEGERI-SEMBILAN-KE-16-1.pdf,
,,,,,,,,,,
