UNIQUE CODE (2018),STATE (2018),PARLIAMENT CONSTITUENCY CODE (2018),PARLIAMENT CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),AREA (SQ KM),Notes
P. 001_N. 01,PERLIS,P. 001,PADANG BESAR,N. 01,TITI TINGGI,120,AS per 2018 Gazetted Redelineation
P. 001_N. 02,PERLIS,P. 001,PADANG BESAR,N. 02,BESERI,133,AS per 2018 Gazetted Redelineation
P. 001_N. 03,PERLIS,P. 001,PADANG BESAR,N. 03,CHUPING,150,AS per 2018 Gazetted Redelineation
P. 001_N. 04,PERLIS,P. 001,PADANG BESAR,N. 04,MATA AYER,20,AS per 2018 Gazetted Redelineation
P. 001_N. 05,PERLIS,P. 001,PADANG BESAR,N. 05,SANTAN,27,AS per 2018 Gazetted Redelineation
P. 002_N. 06,PERLIS,P. 002,KANGAR,N. 06,BINTONG,66,AS per 2018 Gazetted Redelineation
P. 002_N. 07,PERLIS,P. 002,KANGAR,N. 07,SENA,19,AS per 2018 Gazetted Redelineation
P. 002_N. 08,PERLIS,P. 002,KANGAR,N. 08,INDERA KAYANGAN,6,AS per 2018 Gazetted Redelineation
P. 002_N. 09,PERLIS,P. 002,KANGAR,N. 09,KUALA PERLIS,21,AS per 2018 Gazetted Redelineation
P. 002_N. 10,PERLIS,P. 002,KANGAR,N. 10,KAYANG,29,AS per 2018 Gazetted Redelineation
P. 003_N. 11,PERLIS,P. 003,ARAU,N. 11,PAUH,51,AS per 2018 Gazetted Redelineation
P. 003_N. 12,PERLIS,P. 003,ARAU,N. 12,TAMBUN TULANG,51,AS per 2018 Gazetted Redelineation
P. 003_N. 13,PERLIS,P. 003,ARAU,N. 13,GUAR SANJI,45,AS per 2018 Gazetted Redelineation
P. 003_N. 14,PERLIS,P. 003,ARAU,N. 14,SIMPANG EMPAT,37,AS per 2018 Gazetted Redelineation
P. 003_N. 15,PERLIS,P. 003,ARAU,N. 15,SANGLANG,38,AS per 2018 Gazetted Redelineation
P. 004_N. 01,KEDAH,P. 004,LANGKAWI,N. 01,AYER HANGAT,298,AS per 2018 Gazetted Redelineation
P. 004_N. 02,KEDAH,P. 004,LANGKAWI,N. 02,KUAH,171,AS per 2018 Gazetted Redelineation
P. 005_N. 03,KEDAH,P. 005,JERLUN,N. 03,KOTA SIPUTEH,150,AS per 2018 Gazetted Redelineation
P. 005_N. 04,KEDAH,P. 005,JERLUN,N. 04,AYER HITAM,166,AS per 2018 Gazetted Redelineation
P. 006_N. 05,KEDAH,P. 006,KUBANG PASU,N. 05,BUKIT KAYU HITAM,459,AS per 2018 Gazetted Redelineation
P. 006_N. 06,KEDAH,P. 006,KUBANG PASU,N. 06,JITRA,175,AS per 2018 Gazetted Redelineation
P. 007_N. 07,KEDAH,P. 007,PADANG TERAP,N. 07,KUALA NERANG,667,AS per 2018 Gazetted Redelineation
P. 007_N. 08,KEDAH,P. 007,PADANG TERAP,N. 08,PEDU,690,AS per 2018 Gazetted Redelineation
P. 008_N. 09,KEDAH,P. 008,POKOK SENA,N. 09,BUKIT LADA,228,AS per 2018 Gazetted Redelineation
P. 008_N. 10,KEDAH,P. 008,POKOK SENA,N. 10,BUKIT PINANG,81,AS per 2018 Gazetted Redelineation
P. 008_N. 11,KEDAH,P. 008,POKOK SENA,N. 11,DERGA,13,AS per 2018 Gazetted Redelineation
P. 009_N. 12,KEDAH,P. 009,ALOR SETAR,N. 12,SUKA MENANTI,24,AS per 2018 Gazetted Redelineation
P. 009_N. 13,KEDAH,P. 009,ALOR SETAR,N. 13,KOTA DARUL AMAN,7,AS per 2018 Gazetted Redelineation
P. 009_N. 14,KEDAH,P. 009,ALOR SETAR,N. 14,ALOR MENGKUDU,80,AS per 2018 Gazetted Redelineation
P. 010_N. 15,KEDAH,P. 010,KUALA KEDAH,N. 15,ANAK BUKIT,81,AS per 2018 Gazetted Redelineation
P. 010_N. 16,KEDAH,P. 010,KUALA KEDAH,N. 16,KUBANG ROTAN,62,AS per 2018 Gazetted Redelineation
P. 010_N. 17,KEDAH,P. 010,KUALA KEDAH,N. 17,PENGKALAN KUNDOR,90,AS per 2018 Gazetted Redelineation
P. 011_N. 18,KEDAH,P. 011,PENDANG,N. 18,TOKAI,151,AS per 2018 Gazetted Redelineation
P. 011_N. 19,KEDAH,P. 011,PENDANG,N. 19,SUNGAI TIANG,478,AS per 2018 Gazetted Redelineation
P. 012_N. 20,KEDAH,P. 012,JERAI,N. 20,SUNGAI LIMAU,145,AS per 2018 Gazetted Redelineation
P. 012_N. 21,KEDAH,P. 012,JERAI,N. 21,GUAR CHEMPEDAK,99,AS per 2018 Gazetted Redelineation
P. 012_N. 22,KEDAH,P. 012,JERAI,N. 22,GURUN,214,AS per 2018 Gazetted Redelineation
P. 013_N. 23,KEDAH,P. 013,SIK,N. 23,BELANTEK,1322,AS per 2018 Gazetted Redelineation
P. 013_N. 24,KEDAH,P. 013,SIK,N. 24,JENERI,323,AS per 2018 Gazetted Redelineation
P. 014_N. 25,KEDAH,P. 014,MERBOK,N. 25,BUKIT SELAMBAU,286,AS per 2018 Gazetted Redelineation
P. 014_N. 26,KEDAH,P. 014,MERBOK,N. 26,TANJONG DAWAI,165,AS per 2018 Gazetted Redelineation
P. 015_N. 27,KEDAH,P. 015,SUNGAI PETANI,N. 27,PANTAI MERDEKA,132,AS per 2018 Gazetted Redelineation
P. 015_N. 28,KEDAH,P. 015,SUNGAI PETANI,N. 28,BAKAR ARANG,32,AS per 2018 Gazetted Redelineation
P. 015_N. 29,KEDAH,P. 015,SUNGAI PETANI,N. 29,SIDAM,97,AS per 2018 Gazetted Redelineation
P. 016_N. 30,KEDAH,P. 016,BALING,N. 30,BAYU,810,AS per 2018 Gazetted Redelineation
P. 016_N. 31,KEDAH,P. 016,BALING,N. 31,KUPANG,462,AS per 2018 Gazetted Redelineation
P. 016_N. 32,KEDAH,P. 016,BALING,N. 32,KUALA KETIL,268,AS per 2018 Gazetted Redelineation
P. 017_N. 33,KEDAH,P. 017,PADANG SERAI,N. 33,MERBAU PULAS,256,AS per 2018 Gazetted Redelineation
P. 017_N. 34,KEDAH,P. 017,PADANG SERAI,N. 34,LUNAS,87,AS per 2018 Gazetted Redelineation
P. 018_N. 35,KEDAH,P. 018,KULIM-BANDAR BAHARU,N. 35,KULIM,420,AS per 2018 Gazetted Redelineation
P. 018_N. 36,KEDAH,P. 018,KULIM-BANDAR BAHARU,N. 36,BANDAR BAHARU,270,AS per 2018 Gazetted Redelineation
P. 019_N. 01,KELANTAN,P. 019,TUMPAT,N. 01,PENGKALAN KUBOR,51,AS per 2018 Gazetted Redelineation
P. 019_N. 02,KELANTAN,P. 019,TUMPAT,N. 02,KELABORAN,56,AS per 2018 Gazetted Redelineation
P. 019_N. 03,KELANTAN,P. 019,TUMPAT,N. 03,PASIR PEKAN,31,AS per 2018 Gazetted Redelineation
P. 019_N. 04,KELANTAN,P. 019,TUMPAT,N. 04,WAKAF BHARU,42,AS per 2018 Gazetted Redelineation
P. 020_N. 05,KELANTAN,P. 020,PENGKALAN CHEPA,N. 05,KIJANG,24,AS per 2018 Gazetted Redelineation
P. 020_N. 06,KELANTAN,P. 020,PENGKALAN CHEPA,N. 06,CHEMPAKA,30,AS per 2018 Gazetted Redelineation
P. 020_N. 07,KELANTAN,P. 020,PENGKALAN CHEPA,N. 07,PANCHOR,31,AS per 2018 Gazetted Redelineation
P. 021_N. 08,KELANTAN,P. 021,KOTA BHARU,N. 08,TANJONG MAS,15,AS per 2018 Gazetted Redelineation
P. 021_N. 09,KELANTAN,P. 021,KOTA BHARU,N. 09,KOTA LAMA,5,AS per 2018 Gazetted Redelineation
P. 021_N. 10,KELANTAN,P. 021,KOTA BHARU,N. 10,BUNUT PAYONG,13,AS per 2018 Gazetted Redelineation
P. 022_N. 11,KELANTAN,P. 022,PASIR MAS,N. 11,TENDONG,59,AS per 2018 Gazetted Redelineation
P. 022_N. 12,KELANTAN,P. 022,PASIR MAS,N. 12,PENGKALAN PASIR,26,AS per 2018 Gazetted Redelineation
P. 022_N. 13,KELANTAN,P. 022,PASIR MAS,N. 13,MERANTI,91,AS per 2018 Gazetted Redelineation
P. 023_N. 14,KELANTAN,P. 023,RANTAU PANJANG,N. 14,CHETOK,83,AS per 2018 Gazetted Redelineation
P. 023_N. 15,KELANTAN,P. 023,RANTAU PANJANG,N. 15,GUAL PERIOK,147,AS per 2018 Gazetted Redelineation
P. 023_N. 16,KELANTAN,P. 023,RANTAU PANJANG,N. 16,APAM PUTRA,162,AS per 2018 Gazetted Redelineation
P. 024_N. 17,KELANTAN,P. 024,KUBANG KERIAN,N. 17,SALOR,59,AS per 2018 Gazetted Redelineation
P. 024_N. 18,KELANTAN,P. 024,KUBANG KERIAN,N. 18,PASIR TUMBOH,48,AS per 2018 Gazetted Redelineation
P. 024_N. 19,KELANTAN,P. 024,KUBANG KERIAN,N. 19,DEMIT,34,AS per 2018 Gazetted Redelineation
P. 025_N. 20,KELANTAN,P. 025,BACHOK,N. 20,TAWANG,73,AS per 2018 Gazetted Redelineation
P. 025_N. 21,KELANTAN,P. 025,BACHOK,N. 21,PANTAI IRAMA,84,AS per 2018 Gazetted Redelineation
P. 025_N. 22,KELANTAN,P. 025,BACHOK,N. 22,JELAWAT,122,AS per 2018 Gazetted Redelineation
P. 026_N. 23,KELANTAN,P. 026,KETEREH,N. 23,MELOR,50,AS per 2018 Gazetted Redelineation
P. 026_N. 24,KELANTAN,P. 026,KETEREH,N. 24,KADOK,36,AS per 2018 Gazetted Redelineation
P. 026_N. 25,KELANTAN,P. 026,KETEREH,N. 25,KOK LANAS,55,AS per 2018 Gazetted Redelineation
P. 027_N. 26,KELANTAN,P. 027,TANAH MERAH,N. 26,BUKIT PANAU,97,AS per 2018 Gazetted Redelineation
P. 027_N. 27,KELANTAN,P. 027,TANAH MERAH,N. 27,GUAL IPOH,429,AS per 2018 Gazetted Redelineation
P. 027_N. 28,KELANTAN,P. 027,TANAH MERAH,N. 28,KEMAHANG,161,AS per 2018 Gazetted Redelineation
P. 028_N. 29,KELANTAN,P. 028,PASIR PUTEH,N. 29,SELISING,106,AS per 2018 Gazetted Redelineation
P. 028_N. 30,KELANTAN,P. 028,PASIR PUTEH,N. 30,LIMBONGAN,91,AS per 2018 Gazetted Redelineation
P. 028_N. 31,KELANTAN,P. 028,PASIR PUTEH,N. 31,SEMERAK,128,AS per 2018 Gazetted Redelineation
P. 028_N. 32,KELANTAN,P. 028,PASIR PUTEH,N. 32,GAAL,98,AS per 2018 Gazetted Redelineation
P. 029_N. 33,KELANTAN,P. 029,MACHANG,N. 33,PULAI CHONDONG,141,AS per 2018 Gazetted Redelineation
P. 029_N. 34,KELANTAN,P. 029,MACHANG,N. 34,TEMANGAN,137,AS per 2018 Gazetted Redelineation
P. 029_N. 35,KELANTAN,P. 029,MACHANG,N. 35,KEMUNING,250,AS per 2018 Gazetted Redelineation
P. 030_N. 36,KELANTAN,P. 030,JELI,N. 36,BUKIT BUNGA,208,AS per 2018 Gazetted Redelineation
P. 030_N. 37,KELANTAN,P. 030,JELI,N. 37,AIR LANAS,360,AS per 2018 Gazetted Redelineation
P. 030_N. 38,KELANTAN,P. 030,JELI,N. 38,KUALA BALAH,932,AS per 2018 Gazetted Redelineation
P. 031_N. 39,KELANTAN,P. 031,KUALA KRAI,N. 39,MENGKEBANG,554,AS per 2018 Gazetted Redelineation
P. 031_N. 40,KELANTAN,P. 031,KUALA KRAI,N. 40,GUCHIL,217,AS per 2018 Gazetted Redelineation
P. 031_N. 41,KELANTAN,P. 031,KUALA KRAI,N. 41,MANEK URAI,486,AS per 2018 Gazetted Redelineation
P. 031_N. 42,KELANTAN,P. 031,KUALA KRAI,N. 42,DABONG,1031,AS per 2018 Gazetted Redelineation
P. 032_N. 43,KELANTAN,P. 032,GUA MUSANG,N. 43,NENGGIRI,2301,AS per 2018 Gazetted Redelineation
P. 032_N. 44,KELANTAN,P. 032,GUA MUSANG,N. 44,PALOH,3046,AS per 2018 Gazetted Redelineation
P. 032_N. 45,KELANTAN,P. 032,GUA MUSANG,N. 45,GALAS,2827,AS per 2018 Gazetted Redelineation
P. 033_N. 01,TERENGGANU,P. 033,BESUT,N. 01,KUALA BESUT,67,AS per 2018 Gazetted Redelineation
P. 033_N. 02,TERENGGANU,P. 033,BESUT,N. 02,KOTA PUTERA,98,AS per 2018 Gazetted Redelineation
P. 033_N. 03,TERENGGANU,P. 033,BESUT,N. 03,JERTIH,85,AS per 2018 Gazetted Redelineation
P. 033_N. 04,TERENGGANU,P. 033,BESUT,N. 04,HULU BESUT,777,AS per 2018 Gazetted Redelineation
P. 034_N. 05,TERENGGANU,P. 034,SETIU,N. 05,JABI,199,AS per 2018 Gazetted Redelineation
P. 034_N. 06,TERENGGANU,P. 034,SETIU,N. 06,PERMAISURI,702,AS per 2018 Gazetted Redelineation
P. 034_N. 07,TERENGGANU,P. 034,SETIU,N. 07,LANGKAP,636,AS per 2018 Gazetted Redelineation
P. 034_N. 08,TERENGGANU,P. 034,SETIU,N. 08,BATU RAKIT,135,AS per 2018 Gazetted Redelineation
P. 035_N. 09,TERENGGANU,P. 035,KUALA NERUS,N. 09,TEPUH,226,AS per 2018 Gazetted Redelineation
P. 035_N. 10,TERENGGANU,P. 035,KUALA NERUS,N. 10,BULUH GADING,70,AS per 2018 Gazetted Redelineation
P. 035_N. 11,TERENGGANU,P. 035,KUALA NERUS,N. 11,SEBERANG TAKIR,23,AS per 2018 Gazetted Redelineation
P. 035_N. 12,TERENGGANU,P. 035,KUALA NERUS,N. 12,BUKIT TUNGGAL,12,AS per 2018 Gazetted Redelineation
P. 036_N. 13,TERENGGANU,P. 036,KUALA TERENGGANU,N. 13,WAKAF MEMPELAM,20,AS per 2018 Gazetted Redelineation
