UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.140_N.01,JOHOR,P.140,SEGAMAT,N.01,BULOH KASAP,BN - UMNO,21484,877,83.23,17881,45,341,17495,UMNO,ZAHARI SARIP,MALE,51,9186,,PPBM,NORSAMSU MOHD YUSOF,MALE,47,8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.140_N.02,JOHOR,P.140,SEGAMAT,N.02,JEMENTAH,PH - DAP,33866,7001,83.55,28296,82,557,27657,MCA,CHIAM YOK MENG,MALE,41,9335,,DAP,TAN CHEN CHOON,MALE,48,16336,,PAS,KHAIRUL FAIZI BIN AHMAD KAMIL,MALE,45,1986,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.141_N.03,JOHOR,P.141,SEKIJANG,N.03,PEMANIS,PH - PKR,22314,363,84.44,18843,54,393,18396,GERAKAN,KOO SHIAW LEE,MALE,46,7941,,PKR,DR CHONG,MALE,58,8304,,PAS,CIKGU MALA,FEMALE,45,2151,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.141_N.04,JOHOR,P.141,SEKIJANG,N.04,KEMELAH,PH - PAN,23282,2355,84.56,19687,74,296,19317,UMNO,ANUAR BIN ABD. MANAP,MALE,42,8481,,PAN,DR SULAIMAN MOHD NOR,MALE,58,10836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.142_N.05,JOHOR,P.142,LABIS,N.05,TENANG,PH - PPBM,18398,1070,83,15270,29,227,15014,UMNO,MOHD AZAHAR BIN IBRAHIM,MALE,46,6575,,PPBM,SOLIHAN BADRI,MALE,62,7645,,PAS,USTAZ NASHARUDIN BIN AWANG,MALE,47,794,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.142_N.06,JOHOR,P.142,LABIS,N.06,BEKOK,PH - DAP,21958,2469,81.42,17878,48,333,17497,MCA,TAN CHONG,MALE,53,7514,,DAP,DR S.RAMAKRISHNAN,MALE,62,9983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143_N.07,JOHOR,P.143,PAGOH,N.07,BUKIT KEPONG,PH - PPBM,28992,1273,84,24352,151,383,23818,UMNO,HJ MOHD NOOR BIN TAIB,MALE,,10392,,PPBM,DR SAHRUDDIN BIN JAMAL,MALE,43,11665,,PAS,IQBAL RAZAK,MALE,33,1761,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143_N.08,JOHOR,P.143,PAGOH,N.08,BUKIT PASIR,GS - PAS,22520,1883,85.72,19305,136,1382,17787,UMNO,NORIAH BINTI MAHAT,FEMALE,65,7952,,,,,,,,PAS,KAPT (B) HJ NAJIB BIN LEP,MALE,55,9835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144_N.09,JOHOR,P.144,LEDANG,N.09,GAMBIR,PH - PPBM,22726,3088,86.86,19740,79,383,19278,MIC,DATUK M. ASOJAN,MALE,53,7192,,PPBM,TAN SRI MUHYIDDIN YASSIN,MALE,71,10280,,PAS,DATO DR MAHFODZ BIN MOHAMED,MALE,74,1806,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144_N.10,JOHOR,P.144,LEDANG,N.10,TANGKAK,PH - DAP,26354,5077,85.69,22583,73,563,21947,MCA,GOH TEE TEE,MALE,62,8435,,DAP,EE CHIN LI,MALE,36,13512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144_N.11,JOHOR,P.144,LEDANG,N.11,SEROM,PH - PAN,28394,2324,85.89,24389,98,359,23932,UMNO,ABDULL RAHIM BIN TALIB,MALE,55,9450,,PAN,DR FAIZUL AMRI ADNAN,MALE,45,11774,,PAS,MUSTAFFA BIN SALLEH,MALE,64,2708,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145_N.12,JOHOR,P.145,BAKRI,N.12,BENTAYAN,PH - DAP,27856,13629,83.41,23234,54,253,22927,MCA,LEE KIM HENG,MALE,51,4649,,DAP,NG YAK HOWE,MALE,45,18278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145_N.13,JOHOR,P.145,BAKRI,N.13,SIMPANG JERAM,PH - PAN,28193,7687,85.37,24069,77,235,23757,UMNO,MOHD RADZI BIN AMIN,MALE,40,6953,,PAN,SALAHUDDIN AYUB,MALE,57,14640,,PAS,DR. MOHD MARZI BIN YAHYA,MALE,49,2136,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,AHMAD HASHIM,MALE,,28,LOST DEPOSIT,,,,,,
P.145_N.14,JOHOR,P.145,BAKRI,N.14,BUKIT NANING,PH - PKR,17834,1552,85.96,15330,75,206,15049,UMNO,HASSAN BIN JOHARI,MALE,61,5728,,PKR,MD YSAHRUDIN BIN KUSNI,MALE,39,7280,,PAS,AZMAN BIN IBRAHIM,MALE,51,1677,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,JEGANATHAN A/L SUBRAMANIAM,MALE,49,364,LOST DEPOSIT,,,,,,
