UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE
P.004_N.01,P.004,LANGKAWI,N.01,AYER HANGAT,PH - PPBM,21297,1532,84.42,17978,71,305,17602,UMNO,MOHD RAWI BIN ABD HAMID,MALE,51,6018,PPBM,JUHARI BIN BULAT,MALE,61,7550,PAS,AZLINA BINTI AZINAN,FEMALE,43,4034,,,,,,,,,,,,,,,,,,,,,,,,,
P.004_N.02,P.004,LANGKAWI,N.02,KUAH,PH - PPBM,21400,2452,80.70,17270,46,353,16871,UMNO,NOR SAIDI BIN NANYAN,MALE,,5824,PPBM,MOHD FIRDAUS BIN AHMAD,MALE,32,8276,PAS,MAZLAN BIN AHMAD,MALE,62,2685,,,,,,,,,,,,,,,,INDEPENDENT - TREE,MOHAMAD RATU B. MANSOR.,MALE,,86,,,,,
P.005_N.03,P.005,JERLUN,N.03,KOTA SIPUTEH,PH - PAN,23544,1467,81.66,19225,48,319,18858,UMNO,AHMAD AZHAR BIN ABDULLAH,MALE,,5795,PAN,DR SALMEE SAID,FEMALE,52,7265,PAS,USTAZ MOHD REJAB MD AKHIR,MALE,59,5798,,,,,,,,,,,,,,,,,,,,,,,,,
P.005_N.04,P.005,JERLUN,N.04,AYER HITAM,GS - PAS,30588,537,83.79,25631,118,372,25141,UMNO,DATO' HJ ABU HASAN BIN SARIF,MALE,63,7220,PPBM,DATO' AZIZ MOHAMOD,MALE,,8692,PAS,CIKGU AZHAR,MALE,55,9229,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.05,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,PH - PPBM,32614,2153,82.80,27006,163,414,26429,UMNO,DATO' HAJI AHMAD ZAINI JAPAR,MALE,62,8874,PPBM,HAJAH HALIMATON SHAADIAH BINTI SAAD,FEMALE,49,11027,PAS,HABSHAH BINTI BAKAR,FEMALE,57,6528,,,,,,,,,,,,,,,,,,,,,,,,,
P.006_N.06,P.006,KUBANG PASU,N.06,JITRA,PH - PPBM,41267,10849,83.31,34381,129,333,33919,UMNO,DATO' AMINUDDIN BIN OMAR (PAK TAM),MALE,50,8003,PPBM,DATO' SERI HJ MUKHRIZ TUN MAHATHIR,MALE,54,18852,PAS,ZULHAZMI BIN OSMAN,MALE,46,7064,,,,,,,,,,,,,,,,,,,,,,,,,
P.007_N.07,P.007,PADANG TERAP,N.07,KUALA NERANG,GS - PAS,24094,1619,84.82,20436,79,364,19993,UMNO,DATO' HJ BADROL HISHAM BIN HASHIM,MALE,50,7499,PPBM,PAK TUAN SYED FADZIL,MALE,,3376,PAS,HJ. MUNIR BIN HJ. ZAKARIA,MALE,54,9118,,,,,,,,,,,,,,,,,,,,,,,,,
P.007_N.08,P.007,PADANG TERAP,N.08,PEDU,GS - PAS,22550,670,86.45,19495,80,485,18930,UMNO,KAMA NORIAH BINTI IBRAHIM,FEMALE,48,7494,PKR,HASHIM BIN IDRIS,MALE,,3272,PAS,HJ MOHD RADZI BIN MD AMIN,MALE,48,8164,,,,,,,,,,,,,,,,,,,,,,,,,
P.008_N.09,P.008,POKOK SENA,N.09,BUKIT LADA,GS - PAS,30002,1285,83.88,25165,77,446,24642,UMNO,DATO' ARIFFIN BIN MAN,MALE,56,8288,PPBM,MOHD AIZAD BIN ROSLAN,MALE,36,6337,PAS,USTAZ SALIM MAHMOOD AL-HAFIZ,MALE,40,9573,,,,,,,,,,,,,,,,INDEPENDENT - BAG,DATO' HJ. MOHD. ISMAIL BIN HJ. OTHMAN.,MALE,,444,,,,,
P.008_N.10,P.008,POKOK SENA,N.10,BUKIT PINANG,GS - PAS,29041,3212,83.80,24337,96,300,23941,UMNO,DR. MOHAMMAD NAWAR BIN ARIFFIN,MALE,42,6289,PKR,DZAHER AHMAD,MALE,,7220,PAS,WAN ROMANI WAN SALIM,MALE,62,10432,,,,,,,,,,,,,,,,,,,,,,,,,
