UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.019_N.01 ,KELANTAN,P.019,TUMPAT,N.01 ,PENGKALAN KUBOR,GS - PAS,27395,1579,75.91,20796,361,147,20288,UMNO,USTAZ HJ RAZI,MALE,53,8563,,PPBM,DATO' ROSDI,MALE,49,1583,LOST DEPOSIT,PAS,USTAZ LAN,MALE,52,10142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,GS - PAS,28498,4929,78.71,22432,349,198,21885,UMNO,CIKGU HASHIM,MALE,56,7493,,PAN,KAK JAH,FEMALE,44,1970,LOST DEPOSIT,PAS,CIKGU NAN,MALE,63,12422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,GS - PAS,28075,8352,81.48,22875,247,244,22384,UMNO,HJ. WAN SANUSI,MALE,,5946,,PAN,WAN JO,MALE,53,2140,LOST DEPOSIT,PAS,DATO' UST MAD,MALE,68,14298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,GS - PAS,26956,387,83.96,22632,297,149,22186,UMNO,DATUK ROSDI,MALE,55,9900,,PAN,ABE K,MALE,54,1972,LOST DEPOSIT,PAS,HAJI RUSLI ABDULLAH,MALE,47,10287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020 _N.05,KELANTAN,P.020 ,PENGKALAN CHEPA,N.05,KIJANG,GS - PAS,22173,4717,79.09,17536,222,207,17107,UMNO,AZUAN,MALE,47,5281,,PKR,NIK AZMI,MALE,62,1828,LOST DEPOSIT,PAS,DR IZANI,MALE,55,9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020 _N.06,KELANTAN,P.020 ,PENGKALAN CHEPA,N.06,CHEMPAKA,GS - PAS,24702,3474,82.96,20493,232,219,20042,UMNO,FAREEZ,MALE,35,7075,,PAN,USTAZ NIK OMAR,MALE,53,2418,LOST DEPOSIT,PAS,USTAZ FATHAN,MALE,45,10549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.020 _N.07,KELANTAN,P.020 ,PENGKALAN CHEPA,N.07,PANCHOR,GS - PAS,28509,7288,80.08,22830,224,306,22300,UMNO,ZARINA EUSOPE,FEMALE,47,6309,,PAN,HAZMI HASSAN,MALE,31,2394,LOST DEPOSIT,PAS,DATO' NIK AMAR,MALE,59,13597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021 _N.08,KELANTAN,P.021 ,KOTA BHARU,N.08,TANJONG MAS,GS - PAS,32114,7015,77.21,24795,201,356,24238,UMNO,MADIHAH BINTI AB AZIZ,FEMALE,58,4945,,PAN,DR HAFIDZAH,FEMALE,54,6139,,PAS,KAK ANI,FEMALE,53,13154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.021 _N.09,KELANTAN,P.021 ,KOTA BHARU,N.09,KOTA LAMA,GS - PAS,28157,1445,75.89,21367,267,140,20960,MCA,CHUA HOCK KUAN,MALE,37,5502,,PPBM,TAN SRI RASHID,MALE,79,6965,,PAS,DATO' ANUAR TAN,MALE,68,8410,,PSM,KHAIRUL NIZAM,MALE,37,54,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - PEN,IZAT BUKHARY,MALE,51,29,LOST DEPOSIT,,,,,,
P.021 _N.10,KELANTAN,P.021 ,KOTA BHARU,N.10,BUNUT PAYONG,GS - PAS,28437,4627,78.32,22271,214,256,21801,UMNO,DATUK HAJI MOHAMED HASNAN BIN CHE HUSSIN,MALE,,6294,,PAN,SANUSI BIN HJ OTHMAN,MALE,48,4586,,PAS,DR.RAMLI,MALE,54,10921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
