UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,21297,95.04,1.38,2.9,0,0.2,0.16,0.64,,,,,15.1,27.6,22.9,17.3,10.7,4.6,1.6,0.2,,,SEMI URBAN
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,21400,85.72,11.61,1.9,0,0.18,0.19,0.86,,,,,14.6,26.5,23.2,19.1,10.7,4.1,1.4,0.3,,,SEMI URBAN
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,23544,92.06,6.68,0.11,0,0.02,0.02,1.39,,,,,12.7,24.7,20.0,18.6,13.7,7.3,2.6,0.4,,,RURAL
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,30588,90.59,7.06,0.09,0,0.04,0.03,2.97,,,,,13.0,23.7,19.7,18.9,14.3,7.3,2.7,0.4,,,RURAL
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,32614,89.31,7.01,2.09,0.01,0.33,0.3,1.43,,,,,14.4,25.7,19.8,17.6,13.5,6.6,2.1,0.4,,,SEMI URBAN
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,41267,84.26,9.73,4.55,0,0.06,0.08,1.63,,,,,17.1,26.4,18.2,17.5,13.1,5.6,1.8,0.3,,,SEMI URBAN
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,24094,97.07,1.56,0.2,0,0.04,0.05,1.43,,,,,16.8,26.4,19.2,17.8,12.3,5.2,2.0,0.3,,,RURAL
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,22550,86.89,0.96,0.13,0,0.02,0.02,12.7,,,,,16.6,26.4,20.6,17.1,19.6,6.4,2.0,0.3,,,RURAL
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,30002,90.09,7.12,2.1,0,0.04,0.03,0.95,,,,,14.5,25.3,20.0,18.1,12.6,6.8,2.4,0.4,,,SEMI URBAN
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,29041,93.28,5.25,0.94,0.01,0.12,0.2,0.35,,,,,15.8,25.7,18.9,17.2,12.8,6.8,2.4,0.4,,,SEMI URBAN
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,27849,59.8,35.06,4.39,0,0.03,0.14,1.03,,,,,13.8,24.9,18.2,17.6,14.9,7.7,2.5,0.4,,,URBAN
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,SUKA MENANTI,31305,73.63,21.96,4.08,0,0.05,0.04,0.47,,,,,14.1,25.8,19.0,17.2,14.0,7.2,2.3,0.3,,,URBAN
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,21835,32.67,60.06,6.49,0,0.07,0.26,0.81,,,,,6.8,17.2,16.1,20.9,21.5,11.6,4.2,0.5,,,URBAN
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,27132,76.85,20.16,2.52,0,0.03,0.03,0.73,,,,,15.1,25.0,19.2,17.9,13.8,6.6,2.1,0.4,,,SEMI URBAN
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,28223,88.83,9.58,1.24,0,0.02,0.03,0.48,,,,,13.1,23.9,20.2,18.8,14.2,6.8,2.5,0.5,,,SEMI URBAN
