UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P. 001,PERLIS,P. 001,PADANG BESAR,46096,86.61,8.45,0.88,0.3,0.68,0.02,3.07,,,,,,,,,,,,,,,SEMI URBAN
P. 002,PERLIS,P. 002,KANGAR,55938,81.71,15.23,1.68,0.07,0.09,0,1.22,,,,,,,,,,,,,,,SEMI URBAN
P. 003,PERLIS,P. 003,ARAU,48187,87.66,7.66,1.65,0.09,0.07,0.01,2.87,,,,,,,,,,,,,,,RURAL
P. 004,KEDAH,P. 004,LANGKAWI,42697,90.37,6.51,2.4,0.19,0.17,0,0.36,,,,,,,,,,,,,,,SEMI URBAN
P. 005,KEDAH,P. 005,JERLUN,54132,91.23,6.89,0.1,0.03,0.02,0,1.73,,,,,,,,,,,,,,,RURAL
P. 006,KEDAH,P. 006,KUBANG PASU,73881,86.49,8.53,3.46,0.18,0.18,0.01,1.16,,,,,,,,,,,,,,,SEMI URBAN
P. 007,KEDAH,P. 007,PADANG TERAP,46644,92.14,1.27,0.17,0.03,0.03,0,6.35,,,,,,,,,,,,,,,RURAL
P. 008,KEDAH,P. 008,POKOK SENA,86892,81.45,15.45,2.45,0.06,0.12,0,0.46,,,,,,,,,,,,,,,SEMI URBAN
P. 009,KEDAH,P. 009,ALOR SETAR,80272,63.58,31.72,4.21,0.05,0.1,0,0.35,,,,,,,,,,,,,,,URBAN
P. 010,KEDAH,P. 010,KUALA KEDAH,97753,78.27,20.25,1.12,0.03,0.03,0,0.3,,,,,,,,,,,,,,,SEMI URBAN
P. 011,KEDAH,P. 011,PENDANG,74867,88.76,5.07,0.54,0.03,0.03,0.01,5.57,,,,,,,,,,,,,,,RURAL
P. 012,KEDAH,P. 012,JERAI,79976,80.19,13.57,5.91,0.02,0.04,0,0.26,,,,,,,,,,,,,,,SEMI URBAN
P. 013,KEDAH,P. 013,SIK,50385,92.98,1.46,0.17,0.05,0.03,0.01,5.31,,,,,,,,,,,,,,,RURAL
P. 014,KEDAH,P. 014,MERBOK,87782,68.58,15.06,15.34,0.16,0.39,0.01,0.46,,,,,,,,,,,,,,,SEMI URBAN
P. 015,KEDAH,P. 015,SUNGAI PETANI,112577,60.71,26.83,11.95,0.04,0.05,0.01,0.42,,,,,,,,,,,,,,,URBAN
P. 016,KEDAH,P. 016,BALING,107213,88.7,4.38,5.14,0.05,0.04,0.11,1.41,,,,,,,,,,,,,,,RURAL
P. 017,KEDAH,P. 017,PADANG SERAI,84834,59.05,19.79,20.74,0.04,0.04,0,0.33,,,,,,,,,,,,,,,URBAN
P. 018,KEDAH,P. 018,KULIM-BANDAR BAHARU,66587,69.18,17.65,12.87,0.06,0.07,0,0.16,,,,,,,,,,,,,,,SEMI URBAN
P. 019,KELANTAN,P. 019,TUMPAT,110924,92.92,3.13,0.15,0.02,0.05,0,3.73,,,,,,,,,,,,,,,SEMI URBAN
P. 020,KELANTAN,P. 020,PENGKALAN CHEPA,75384,97.93,1.49,0.11,0.08,0.11,0.01,0.27,,,,,,,,,,,,,,,URBAN
P. 021,KELANTAN,P. 021,KOTA BHARU,88708,84.46,14.21,0.78,0.04,0.05,0,0.47,,,,,,,,,,,,,,,URBAN
P. 022,KELANTAN,P. 022,PASIR MAS,71222,97.59,1.99,0.06,0.03,0.04,0,0.3,,,,,,,,,,,,,,,SEMI URBAN
