PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING-PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.134,MASJID TANAH,N.01,KUALA LINGGI,BN - UMNO,11045,1372,84.54,9337,18,126,9193,UMNO,HAJI ISMAIL BIN OTHMAN,MALE,63,4812,,PKR,HASMORNI BINTI TAMBY,FEMALE,43,3440,,PAS,HJ. AZMI BIN HJ. SAMBUL,MALE,45,941,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MASJID TANAH,N.02,TANJUNG BIDARA,BN - UMNO,10092,2864,84.43,8521,38,116,8367,UMNO,HJ MD RAWI BIN MAHMUD,MALE,67,4865,,PKR,HALIM BACHIK,MALE,49,2001,,PAS,USTAZ IMRAN,MALE,52,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MASJID TANAH,N.03,AYER LIMAU,BN - UMNO,11211,1479,83.03,9308,24,168,9116,UMNO,AMIRUDIN BIN YUSOF,MALE,54,4704,,PPBM,DATUK SERI HAJI RUSLIN BIN HAJI HASAN,MALE,68,3225,,PAS,JAMARUDIN AHMAD,MALE,46,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MASJID TANAH,N.04,LENDU,BN - UMNO,10350,627,84.07,8701,50,83,8568,UMNO,SULAIMAN BIN MD ALI,MALE,53,4016,,PKR,Ir. RIDHUAN DION BAKAR,MALE,34,3389,,PAS,CIKGU ARSHAD,MALE,61,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MASJID TANAH,N.05,TABOH NANING,BN - UMNO,8743,740,82.65,7226,36,161,7029,UMNO,LATIPAH BINTI OMAR,FEMALE,58,3329,,PAN,ZAIRI SUBOH,MALE,38,2589,,PAS,ASRI SHAIK ABDUL AZIZ,MALE,52,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,ALOR GAJAH,N.06,REMBIA,PH - PKR,15636,1814,84.26,13175,39,204,12932,UMNO,NORPIPAH BINTI ABDOL,FEMALE,64,4959,,PKR,MUHAMMAD JAILANI BIN KHAMIS,MALE,46,6773,,PAS,RASHIDI RAZAK,MALE,39,1200,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,ALOR GAJAH,N.07,GADEK,PH - DAP,12922,307,81.86,10578,36,200,10342,MIC,PANIRCHELVAM A/L PICHAMUTHU,MALE,59,4085,,DAP,G. SAMINATHAN,MALE,33,4392,,PAS,EMRANSYAH BIN ISMAIL,MALE,41,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,ALOR GAJAH,N.08,MACHAP JAYA,PH - PKR,12719,1336,84.27,10718,34,145,10539,MCA,KOH NAI KWONG,MALE,57,4214,,PKR,GINIE LIM,FEMALE,37,5550,,PAS,USTAZ WAN ZAHIDI,MALE,53,775,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,ALOR GAJAH,N.09,DURIAN TUNGGAL,PH - PAN,13076,763,86.33,11289,33,202,11054,UMNO,AB WAHAB BIN AB LATIP,MALE,62,4450,,PAN,SOFI WAHAB,MALE,50,5213,,PAS,HJ. MOHSIN IBRAHIM,MALE,60,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,ALOR GAJAH,N.10,ASAHAN,BN - UMNO,16011,275,82.69,13239,47,218,12974,UMNO,ABDUL GHAFAR BIN ATAN,MALE,62,5942,,PPBM,ZAMZURI ARIFIN,MALE,48,5667,,PAS,HJ. AZLAN BIN MADDIN,MALE,62,1365,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
