UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT(%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE
P.078_N.01,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,PH - DAP,,19505,3589,76.99,15017,59,305,14653,MCA,LEONG TAK MAN,MALE,68,5232,CHIONG YOKE KONG,MALE,35,8821,DATO' KUMAR,MALE,45,600,,,,,,,,,,,,,,,,,,,,
P.078_N.02,P.078,CAMERON HIGHLANDS,N.02,JELAI,BN - UMNO,,12543,3507,82.20,10310,103,471,9736,UMNO,DATO' SRI WAN ROSDY BIN WAN ISMAIL,MALE,60,5858,DR. ABDUL RASID ALI,MALE,,1298,ABDUL KARIM BIN NOR,MALE,64,2351,PSM,MAT NOR AYAT,MALE,,229,,,,,,,,,,,,,,,
P.079_N.03,P.079,LIPIS,N.03,PADANG TENGKU,BN - UMNO,,14057,1244,83.00,11667,53,173,11441,UMNO,DATO' MUSTAPA BIN LONG,MALE,57,5691,ALIAS ABD RAHMAN,MALE,,1303,USTAZ ROSLAN BIN HARUN,MALE,57,4447,,,,,,,,,,,,,,,,,,,,
P.079_N.04,P.079,LIPIS,N.04,CHEKA,BN - MCA,,12585,202,79.01,9943,33,232,9678,MCA,LEE AH WONG,MALE,62,3475,RASID BIN MUHAMAD,MALE,,2930,HAJI SALUDIN BIN ENDOL,MALE,57,3273,,,,,,,,,,,,,,,,,,,,
P.079_N.05,P.079,LIPIS,N.05,BENTA,BN - UMNO,,8652,340,81.58,7058,32,105,6921,UMNO,DATO' SRI HJ MOHD SOFFI BIN TAN SRI ABD RAZAK,MALE,62,3261,SABARUDDIN MOHD YASSIM,MALE,64,2921,ANUAR BIN KASSIM,MALE,56,739,,,,,,,,,,,,,,,,,,,,
P.080_N.06,P.080,RAUB,N.06,BATU TALAM,BN - UMNO,,15188,4320,81.39,12362,50,347,11965,UMNO,ABD AZIZ BIN MAT KIRAM,MALE,58,6922,DASIMAH BINTI ZAINUDIN,FEMALE,,2441,USTAZ TENGKU ABDUL RAHMAN,MALE,63,2602,,,,,,,,,,,,,,,,,,,,
P.080_N.07,P.080,RAUB,N.07,TRAS,PH - DAP,,28912,9953,80.48,23267,118,276,22873,MCA,NG LEAP PONG,MALE,52,5707,CHOW YU HUI,MALE,35,15660,CHIN CHOY HEE,MALE,67,1506,,,,,,,,,,,,,,,,,,,,
P.080_N.08,P.080,RAUB,N.08,DONG,BN - UMNO,,13623,3832,83.40,11362,54,210,11098,UMNO,SHAHIRUDDIN BIN AB MOIN,MALE,62,6294,DR HAMZAH JAAFFAR,MALE,53,2342,CIKGU BEDU RAHIM,MALE,63,2462,,,,,,,,,,,,,,,,,,,,
P.081_N.09,P.081,JERANTUT,N.09,TAHAN,GS - PAS,,15197,69,81.75,12424,45,227,12152,UMNO,DATO SRI WAN AMIZAN,MALE,46,5569,NORDIN BIN SAMAT,MALE,,945,USTAZ ZAKUAN,MALE,42,5638,,,,,,,,,,,,,,,,,,,,
P.081_N.10,P.081,JERANTUT,N.10,DAMAK,GS - PAS,,25164,1456,80.69,20306,77,402,19827,MCA,DATO ALY,FEMALE,39,4395,WONG CHUN YUAN,MALE,29,6988,USTAZ ZURIDAN M. DAUD,MALE,47,8444,,,,,,,,,,,,,,,,,,,,
