UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.054_N.01,PERAK,P.054,GERIK,N.01,PENGKALAN HULU,BN - UMNO,15369,2375,78.89,12124,49,307,11768,UMNO,HJ. AZNEL HJ. IBRAHIM,MALE,55,5716,,PPBM,DR AHMAD SAFWAN,MALE,,2711,,PAS,HAMIDI BIN ISMAIL,MALE,45,3341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.02,PERAK,P.054,GERIK,N.02,TEMENGOR,BN - UMNO,20534,3935,77.47,15908,52,339,15517,UMNO,SALBIAH MOHAMED,FEMALE,40,7823,,PPBM,FADZIL AZIZ,MALE,,3806,,PAS,MD POZI BIN MD SANI,MALE,58,3888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.03,PERAK,P.055,LENGGONG,N.03,KENERING,BN - UMNO,16965,3268,80.29,13622,59,241,13322,UMNO,TARMIZI IDRIS,MALE,56,7379,,PKR,NOOR SHAM BINTI ABU SAMAH,FEMALE,,1832,,PAS,AZHAR HJ. RASDI,MALE,,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.04,PERAK,P.055,LENGGONG,N.04,KOTA TAMPAN,BN - UMNO,12787,2302,78.96,10097,49,150,9898,UMNO,SAARANI MOHAMAD,MALE,57,5183,,PPBM,NOOR HASNIDA MOHD. HASHIM,FEMALE,,1834,,PAS,USTAZ RIF'AAT HJ RAZMAN,MALE,31,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.05,PERAK,P.056,LARUT,N.05,SELAMA,GS - PAS,16483,289,82.83,13653,57,235,13361,UMNO,DATO' FAIZUL ARBY BIN MOHD SHOHOR,MALE,,5227,,PAN,RAZALI ISMAIL,MALE,43,2618,,PAS,USTAZ AKMAL HJ KAMARUDIN,MALE,40,5516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.06,PERAK,P.056,LARUT,N.06,KUBU GAJAH,GS - PAS,16615,180,80.69,13407,51,293,13063,UMNO,SALIZA BINTI AHMAD,FEMALE,,5606,,PPBM,CIKGU SUPRI,MALE,,1671,,PAS,USTAZ KHALIL HJ YAHAYA,MALE,39,5786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.07,PERAK,P.056,LARUT,N.07,BATU KURAU,BN - UMNO,16355,2308,81.97,13406,16,269,13121,UMNO,MUHAMMAD AMIN B. ZAKARIA,MALE,,6168,,PKR,MUHAMAD AIMAN AIZUDDIN,MALE,29,3051,,PAS,USTAZ SHAHIR HASSAN,MALE,,3860,,BERJASA,ZAINAL ABIDIN HJ. ABD. RAHMAN,MALE,,42,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.08,PERAK,P.057,PARIT BUNTAR,N.08,TITI SERONG,PH - PAN,26726,140,83.70,22369,51,265,22053,UMNO,NORSALEWATI BINTI MAT NORWANI,FEMALE,49,7460,,PAN,HASNUL ZULKARNAIN,MALE,38,7600,,PAS,USTAZ ABU BAKAR HAJI HUSSIAN,MALE,65,6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.09,PERAK,P.057,PARIT BUNTAR,N.09,KUALA KURAU,PH - PKR,25134,2643,83.46,20976,39,273,20664,UMNO,HJ SHAHRUL NIZAM,MALE,49,6012,,PKR,YUNUS JAMHARI,MALE,46,8655,,PAS,ABDUL BAHARIN MAT DESA,MALE,52,5997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.10,PERAK,P.058,BAGAN SERAI,N.10,ALOR PONGSU,BN - UMNO,20901,1162,81.25,16983,102,336,16545,UMNO,DATO' SHAM BIN MAT SAHAT,MALE,57,6556,,PKR,CIKGU ZAKI,MALE,56,4595,,PAS,UST. WAN TARMIZI,MALE,53,5394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.11,PERAK,P.058,BAGAN SERAI,N.11,GUNONG SEMANGGOL,GS - PAS,20510,1903,82.04,16826,63,258,16505,UMNO,ZAINI BIN CHA,MALE,57,5541,,PPBM,ISMAIL,MALE,,3520,,PAS,HJ. RAZMAN ZAKARIA,MALE,58,7444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.12,PERAK,P.058,BAGAN SERAI,N.12,SELINSING,BN - UMNO,17882,97,81.50,14573,88,232,14253,UMNO,MOHAMAD NOOR BIN DAWOO,MALE,53,5167,,PAN,USTAZ SAQIF ANSORULLAH,MALE,26,4016,,PAS,HAJI HUSIN BIN DIN,MALE,65,5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.13,PERAK,P.059,BUKIT GANTANG,N.13,KUALA SEPETANG,BN - UMNO,29294,329,83.17,24363,76,334,23953,UMNO,MOHD KAMARUDDIN BIN ABU BAKAR,MALE,52,8993,,PKR,CHUA YEE LING,FEMALE,35,8664,,PAS,HAJI RAHIM ISMAIL,MALE,55,6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.14,PERAK,P.059,BUKIT GANTANG,N.14,CHANGKAT JERING,BN - UMNO,26848,1922,83.17,22329,106,250,21973,UMNO,AHMAD SAIDI BIN MOHAMAD DAUD,MALE,,8818,,PAN,IR MEGAT SHARIFFUDIN IBRAHIM,MALE,52,6896,,PAS,USTAZ NORDIN JAAFAR,MALE,,6199,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,MOHGANAN A/L P MANIKAM,MALE,60,LOST DEPOSIT,,,,,,,
P.059_N.15,PERAK,P.059,BUKIT GANTANG,N.15,TRONG,BN - UMNO,13731,1898,81.37,11173,38,209,10926,UMNO,JAMILAH BINTI ZAKARIA,FEMALE,38,5139,,PPBM,DATUK SHAHARUDDIN ABDUL RASHID,MALE,,2546,,PAS,USTAZ FAISAL BIN ABDUL RAHMAN,MALE,39,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
