UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,CHINESE (%),OTHERS (%),MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%)
P.167,SABAH,P.167,KUDAT,52251,9.12,0.42,56.87,33.59
P.168,SABAH,P.168,KOTA MARUDU,47007,2.22,0.39,28.5,68.89
P.169,SABAH,P.169,KOTA BELUD,57919,1.42,0.29,60.28,38.02
P.170,SABAH,P.170,TUARAN,54400,5.33,0.56,47.58,46.53
P.171,SABAH,P.171,SEPANGGAR,62415,18.98,1.14,55.25,24.63
P.172,SABAH,P.172,KOTA KINABALU,56220,62.52,1.31,22.35,13.82
P.173,SABAH,P.173,PUTATAN,41312,15.43,0.99,69.24,14.35
P.174,SABAH,P.174,PENAMPANG,53131,32.56,1.71,13.95,51.79
P.175,SABAH,P.175,PAPAR,43586,7.46,0.52,66.71,25.31
P.176,SABAH,P.176,KIMANIS,29618,3.19,0.34,66.54,29.93
P.177,SABAH,P.177,BEAUFORT,33342,7.46,0.45,65.98,26.11
P.178,SABAH,P.178,SIPITANG,31882,3.74,0.52,76.27,19.48
P.179,SABAH,P.179,RANAU,43706,1.71,1.05,40.03,57.22
P.180,SABAH,P.180,KENINGAU,51177,8.67,1.2,28.03,62.11
P.181,SABAH,P.181,TENOM,29182,10.17,0.51,28.01,61.31
P.182,SABAH,P.182,PENSIANGAN,31377,1.3,0.5,24.27,73.93
P.183,SABAH,P.183,BELURAN,28509,0.84,0.85,54.05,44.62
P.184,SABAH,P.184,LIBARAN,47914,16.47,0.62,76.77,6.15
P.185,SABAH,P.185,BATU SAPI,32574,30.03,0.82,65.06,4.09
P.186,SABAH,P.186,SANDAKAN,39777,49.29,1.09,43.9,5.71
P.187,SABAH,P.187,KINABATANGAN,28730,0.56,0.49,72.48,26.47
P.188,SABAH,P.188,SILAM,60942,10.35,0.81,79.86,8.98
P.189,SABAH,P.189,SEMPORNA,48248,1.58,0.32,96.43,1.68
P.190,SABAH,P.190,TAWAU,59919,33.56,0.82,60.71,4.91
P.191,SABAH,P.191,KALABAKAN,52199,8.54,0.88,84.4,6.18
