UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,WARISAN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE GENDER,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) CANDIDATE VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,OTHER PARTY (5),OTHER PARTY (5) CANDIDATE,OTHER PARTY (5) CANDIDATE GENDER,OTHER PARTY (5) CANDIDATE AGE,OTHER PARTY (5) CANDIDATE VOTE,OTHER PARTY (5) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.167_N.01,SABAH,P.167,KUDAT,N.01,BANGGI,WARISAN,11054,379,71.18,7868,29,279,7560,UMNO,DATUK ABD MIJUL BIN UNAINI,MALE,58,3234,,,,,,,,,,,,,,WARISAN,MOHAMMAD MOHAMARIN,MALE,38,3613,,PPRS,KUSUGAN BIN ALI,MALE,63,105,LOST DEPOSIT,PHRS,ABIDULA BIN AMSANA,MALE,,198,LOST DEPOSIT,PKS,ABDUL NASIR BIN JAMALUDDIN,MALE,,43,LOST DEPOSIT,STAR - SABAH,NORLAJI BIN AMIR HASSAN,MALE,,367,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.167_N.02,SABAH,P.167,KUDAT,N.02,TANJONG KAPOR,WARISAN,23928,2992,72.06,17242,97,345,16800,LDP,TEO CHEE KANG,MALE,,6132,,,,,,,,PAS,ALIASGAR BIN OMOLONG,MALE,,617,LOST DEPOSIT,WARISAN,CHONG CHEN BIN,MALE,40,9124,,PPRS,ALLAIDLY BINTI POYON,FEMALE,,446,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PCS,THOMAS TSEN,MALE,,481,LOST DEPOSIT,,,,,,,,,,,,
P.167_N.03,SABAH,P.167,KUDAT,N.03,PITAS,BN - UMNO,17269,1282,75.83,13095,52,416,12627,UMNO,DATUK BOLKIAH BIN HJ ISMAIL,MALE,53,5606,,,,,,,,PAS,DAUSIEH BINTI QUECK @ PARAMAN,FEMALE,,262,LOST DEPOSIT,WARISAN,MAKLIN MASIAU,MALE,,4324,,,,,,,,PHRS,BAKIR BIN MANCAING,MALE,,1527,LOST DEPOSIT,PKS,RAMLAH BINTI NASIR,FEMALE,,508,LOST DEPOSIT,,,,,,,PKAN,PRANSOL TIYING,MALE,35,400,LOST DEPOSIT,,,,,,,,,,,,
P.168_N.04,SABAH,P.168,KOTA MARUDU,N.04,MATUNGGONG,BN - PBS,22906,1687,75.30,17248,72,557,16619,PBS,JULITA MOJUNGKI,FEMALE,47,6946,,PKR,SAZALYE DONOL BIN ABDULLAH,MALE,58,5259,,,,,,,,,,,,,,,,,,,,,,,,,,PKS,RAHIM BIN MADHAKONG,MALE,,98,LOST DEPOSIT,STAR - SABAH,MARUNSAI BIN DAWAI,MALE,,2968,,PCS,JORNAH MOZIHIM,FEMALE,,1348,LOST DEPOSIT,,,,,,,,,,,,
P.168_N.05,SABAH,P.168,KOTA MARUDU,N.05,TANDEK,BN - PBS,24101,4592,74.69,18000,80,584,17336,PBS,DATUK ANITA BARANTING,FEMALE,64,8877,,,,,,,,,,,,,,WARISAN,BAINTIN BIN ADUN,MALE,,4285,,,,,,,,,,,,,,,,,,,,STAR - SABAH,JOEL MASILUNG,MALE,,3621,,PCS,JOHNSON BIN ASSAN @ JOHNSON GABAN,MALE,,553,LOST DEPOSIT,,,,,,,,,,,,
P.169_N.06,SABAH,P.169,KOTA BELUD,N.06,TEMPASUK,BN - UMNO,19129,2264,82.21,15726,99,392,15235,UMNO,MUSBAH HAJI JAMLI,MALE,,7742,,PKR,MUSTAPHA SAKMUD,MALE,49,5478,,PAS,MUSTAQIM BIN ALING,MALE,,521,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,STAR - SABAH,SUWAH BULLEH,MALE,,1494,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.169_N.07,SABAH,P.169,KOTA BELUD,N.07,KADAMAIAN,BN - UPKO,17982,3294,81.82,14712,106,251,14355,UPKO,EWON BENEDICK,MALE,35,6861,,PKR,LUKIA BINTI INDAN,FEMALE,,3567,,PAS,SATAIL BIN MANJUNGKAT,MALE,61,129,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,STAR - SABAH,RUBBIN GURIBAH,MALE,,3034,,PCS,MAIL BIN BALINU,MALE,,764,LOST DEPOSIT,,,,,,,,,,,,
P.169_N.08,SABAH,P.169,KOTA BELUD,N.08,USUKAN,BN - UMNO,20808,1225,82.36,17138,106,356,16676,UMNO,DATUK JAPLIN BIN AKIM,MALE,,8738,,,,,,,,PAS,ADZMIN BIN AWANG,MALE,,355,LOST DEPOSIT,WARISAN,ABDUL BAHKRIN BIN MOHD YUSOF,MALE,,7513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,AMSOR BIN TUAH,MALE,,70,LOST DEPOSIT,,,,,,
P.170_N.09,SABAH,P.170,TUARAN,N.09,TAMPARULI,BN - PBS,18836,2080,81.30,15313,87,228,14998,PBS,DATUK JAHID JAHIM,MALE,59,6818,,PKR,DAUSIL BIN KUNDAYONG,MALE,,4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAR - SABAH,JASMIN BIN DULIN,MALE,,901,LOST DEPOSIT,PCS,MOJILIP BIN BUMBURING @ WILFRED,MALE,67,2541,,,,,,,,,,,,,
P.170_N.10,SABAH,P.170,TUARAN,N.10,SULAMAN,BN - UMNO,22611,7774,84.27,19055,89,341,18625,UMNO,HAJI HAJIJI BIN HAJI NOOR,MALE,63,12966,,,,,,,,,,,,,,WARISAN,ABDULLAH SANI BIN DAUD,MALE,,5192,,,,,,,,PHRS,ARIFIN BIN HARITH,MALE,,467,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
