UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.092_N.01,P.092,SABAK BERNAM,N.01,SUNGAI AIR TAWAR,BN - UMNO,16274,1440,83.60,13605,30,220,13355,UMNO,RIZAM,MALE,37,5437,,PPBM,MOHD HAMIZAR BIN SULAIMAN,MALE,48,3921,,PAS,HAJI ZAMRI BIN YAHYA,MALE,51,3997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.092_N.02,P.092,SABAK BERNAM,N.02,SABAK,PH - PAN,24589,130,83.03,20417,75,327,20015,UMNO,SALLEHUDDIN,MALE,50,6851,,PAN,AHMAD MUSTAIN BIN OTHMAN,MALE,51,6981,,PAS,USTAZ HAJI SALLEHEN BIN MUKHYI,MALE,51,6183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093_N.03,P.093,SUNGAI BESAR,N.03,SUNGAI PANJANG,BN - UMNO,30638,2084,86.19,26408,71,362,25975,UMNO,MOHD IMRAN BIN TAMRIN,MALE,32,10530,,PAN,USTAZAH MARIAM,FEMALE,,8446,,PAS,USTAZ MOHD RAZALI BIN SAARI,MALE,,6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093_N.04,P.093,SUNGAI BESAR,N.04,SEKINCHAN,PH - DAP,18101,2844,85.49,15475,41,201,15233,MCA,LEE YEE YUAN,MALE,29,5019,,DAP,NG SUEE LIM,MALE,48,7863,,PAS,USTAZ HAJI MOHD FADLIN BIN TASLIMIN,MALE,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094_N.05,P.094,HULU SELANGOR,N.05,HULU BERNAM,BN - UMNO,22857,20,84.19,19243,58,323,18862,UMNO,DATUK ROSNI BINTI SOHAR,FEMALE,60,8164,,PAN,HAJI AMRAN SAKIR,MALE,54,8144,,PAS,SALLEH RI,MALE,,2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094_N.06,P.094,HULU SELANGOR,N.06,KUALA KUBU BAHARU,PH - DAP,29133,7134,84.94,24746,62,310,24374,MCA,WONG KOON MUN,MALE,57,6967,,DAP,LEE KEE HIONG,FEMALE,52,14101,,PAS,NAHARUDIN BIN ABDUL RASHID,MALE,63,3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094_N.07,P.094,HULU SELANGOR,N.07,BATANG KALI,PH - PPBM,49000,8315,87.23,42741,84,492,42165,UMNO,DATUK HJ MAT NADZARI BIN AHMAD DAHLAN,MALE,58,13221,,PPBM,HARUMAINI BIN HAJI OMAR,MALE,,21536,,PAS,HJ MD HASNIZAN HARUN,MALE,48,7408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.095_N.08,P.095,TANJONG KARANG,N.08,SUNGAI BURONG,BN - UMNO,24045,2330,86.62,20828,98,255,20475,UMNO,DATO' HJ. MOHD SHAMSUDIN,MALE,65,8741,,PPBM,MOHD TARMIZI BIN LAZIM,MALE,,5323,,PAS,USTAZ DR. ZAMRI MANTOP,MALE,39,6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.095_N.09,P.095,TANJONG KARANG,N.09,PERMATANG,PH - PKR,23153,1158,87.93,20358,66,288,20004,UMNO,DATUK SULAIMAN RAZAK,MALE,57,8050,,PKR,ROZANA ZAINAL ABIDIN,FEMALE,,9208,,PAS,MUHAMMAD JAFARUDIN BIN SHEIK DAUD,MALE,41,2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.096_N.10,P.096,KUALA SELANGOR,N.10,BUKIT MELAWATI,PH - PKR,26573,2695,87.08,23141,57,418,22666,UMNO,JAKIRAN BIN JACOMAH,MALE,66,8355,,PKR,JUWAIRIYA ZULKIFLI,FEMALE,33,11050,,PAS,CIKGU RASHID,MALE,60,3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.096_N.11,P.096,KUALA SELANGOR,N.11,IJOK,PH - PKR,23073,2114,87.41,20167,39,396,19732,MIC,KR. PARTHIBAN,MALE,50,6800,,PKR,IDRIS BIN AHMAD,MALE,,8914,,PAS,JEFRI BIN MEJAN,MALE,39,3942,,PRM,KUMARAN A/L TAMIL DASSEN,MALE,26,76,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.096_N.12,P.096,KUALA SELANGOR,N.12,JERAM,PH - PPBM,19751,1191,88.78,17534,32,193,17309,UMNO,CIKGU ZAHAR,MALE,54,5896,,PPBM,MOHD SHAID BIN ROSLI,MALE,36,7087,,PAS,USTAZ MOHD NOOR,MALE,42,4326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.097_N.13,P.097,SELAYANG,N.13,KUANG,PH - PPBM,26481,2860,86.32,22858,125,187,22546,UMNO,DATUK ABDUL SHUKUR BIN IDRUS,MALE,52,6985,,PPBM,SALLEH AMIRUDDIN,MALE,55,9845,,PAS,USTAZ MOHD FAUZAN MADZLAN,MALE,36,5672,,PRM,MOHD RAFIE BIN MOHAMMAD ARIF,MALE,,44,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.097_N.14,P.097,SELAYANG,N.14,RAWANG,PH - PKR,46125,23860,85.60,39481,180,366,38935,MCA,CHAN WUN HOONG,MALE,39,6086,,PKR,CHUA WEI KIAT,MALE,29,29946,,PAS,KONG TUCK WAH,MALE,62,2259,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,Sr. AZMAN BIN MOHD. NOOR,MALE,55,644,LOST DEPOSIT,,,,,,
P.097_N.15,P.097,SELAYANG,N.15,TAMAN TEMPLER,PH - PAN,43570,7903,85.18,37111,195,325,36591,UMNO,DATO' Ir HJ MD NASIR BIN IBRAHIM,MALE,55,7580,,PAN,MOHD SANY HAMZAN,MALE,42,18362,,PAS,ZAIDY BIN ABDUL TALIB,MALE,,10459,,PRM,KOH SWE YONG,MALE,,82,LOST DEPOSIT,PAP,DR. RAJANDRAN,MALE,,108,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.098_N.16,P.098,GOMBAK,N.16,SUNGAI TUA,PH - PKR,34180,11374,84.03,28721,128,277,28316,MIC,DATUK N. RAWISANDRAN,MALE,55,6072,,PKR,AMIRUDIN SHARI,MALE,38,17446,,PAS,USTAZ MAD CHINA,MALE,42,4530,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,BADRUL ACONG,MALE,,268,LOST DEPOSIT,,,,,,
P.098_N.17,P.098,GOMBAK,N.17,GOMBAK SETIA,PH - PKR,55461,12399,85.86,47619,263,328,47028,UMNO,MEGAT ZULKARNAIN BIN OMARDIN,MALE,49,11113,,PKR,HILMAN IDHAM,MALE,29,24157,,PAS,USTAZ HASBULLAH RIDZWAN,MALE,43,11758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
