UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.033_N.01,TERENGGANU,P.033,BESUT,N.01,KUALA BESUT,BN - UMNO,20762,143,84.26,17495,94,197,17204,UMNO,TENGKU ZAIHAN BIN CHE KU ADB RAHMAN,MALE,42,8126,,PPBM,DR CHE KU,MALE,,1095,LOST DEPOSIT,PAS,HJ AZBI SALLEH,MALE,,7983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.02,TERENGGANU,P.033,BESUT,N.02,KOTA PUTERA,GS - PAS,24182,1181,83.45,20180,166,283,19731,UMNO,MOHD MAHDI MUSA (ABE ADI),MALE,59,8523,,PKR,TG ROSLAN TG OTHMAN,MALE,,1504,LOST DEPOSIT,PAS,HAJI KHUZAINI,MALE,47,9704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.03,TERENGGANU,P.033,BESUT,N.03,JERTIH,BN - UMNO,22880,1381,82.41,18855,130,226,18499,UMNO,DATO’ MUHAMMAD PEHIMI YUSOF,MALE,55,9143,,PAN,DATO’ DR. KAMARUZAMAN WAN SU,MALE,71,1594,LOST DEPOSIT,PAS,USTAZ WAN AZHAR,MALE,52,7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033_N.04,TERENGGANU,P.033,BESUT,N.04,HULU BESUT,BN - UMNO,18803,1469,83.97,15788,98,209,15481,UMNO,HAJI NAWI MOHAMAD,MALE,55,8045,,PPBM,ISMAIL BIN ABDUL KADIR,MALE,,860,LOST DEPOSIT,PAS,USTAZ MAT DAIK,MALE,,6576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.05,TERENGGANU,P.034,SETIU,N.05,JABI,GS - PAS,20041,55,85.54,17144,144,243,16757,UMNO,MOHD ISKANDAR BIN JAAFAR,MALE,43,8006,,PAN,USTAZ AZIZ ABAS,MALE,,690,LOST DEPOSIT,PAS,DR AZMAN IBRAHIM,MALE,44,8061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.06,TERENGGANU,P.034,SETIU,N.06,PERMAISURI,BN - UMNO,23839,1970,84.27,20090,104,333,19653,UMNO,DATUK HALIM,MALE,53,10385,,PKR,WAN MOKHTAR WAN IBRAHIM,MALE,51,853,LOST DEPOSIT,PAS,USTAZ ZUL BHARI A RAHMAN,MALE,52,8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.07,TERENGGANU,P.034,SETIU,N.07,LANGKAP,BN - UMNO,18296,3446,84.79,15513,119,243,15151,UMNO,DATO’ HAJI SABRI,MALE,55,9007,,PPBM,MUSTAFFA,MALE,,583,LOST DEPOSIT,PAS,AZMI MAAROF,MALE,57,5561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034_N.08,TERENGGANU,P.034,SETIU,N.08,BATU RAKIT,BN - UMNO,24071,299,86.88,20912,82,237,20593,UMNO,BAZLAN BIN ABD RAHMAN,MALE,54,10046,,PPBM,AMIR LONG,MALE,31,800,LOST DEPOSIT,PAS,USTAZ MOHD SHAFIZI ISMAIL,MALE,44,9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.09,TERENGGANU,P.035,KUALA NERUS,N.09,TEPUH,GS - PAS,23111,2717,87.11,20132,89,194,19849,UMNO,BASIR BIN ISMAIL,MALE,,8065,,PPBM,WAN HAFIZIE,MALE,,1002,LOST DEPOSIT,PAS,USTAZ HISHAMUDDIN,MALE,40,10782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.10,TERENGGANU,P.035,KUALA NERUS,N.10,BULUH GADING,GS - PAS,22528,4567,88.1,19847,74,286,19487,UMNO,CIKGU CHE MANSOR,MALE,,7013,,PAN,IR. AZIK BIN CHIK,MALE,,894,LOST DEPOSIT,PAS,USTAZ RIDZUAN HASHIM,MALE,46,11580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.11,TERENGGANU,P.035,KUALA NERUS,N.11,SEBERANG TAKIR,BN - UMNO,20607,1884,87.33,17996,113,148,17735,UMNO,CIKGU RAZIF,MALE,53,9340,,PKR,LT. KOL (B) USTAZ HAJI ABU BAKAR BIN ABDULLAH,MALE,,939,LOST DEPOSIT,PAS,HAJI MOHD FADZIL WAHAB,MALE,,7456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035_N.12,TERENGGANU,P.035,KUALA NERUS,N.12,BUKIT TUNGGAL,GS - PAS,17417,2344,87.51,15242,51,198,14993,UMNO,CIKGU TUAN ARIF,MALE,,5964,,PPBM,FATIMAH LAILATI OMAR,FEMALE,,721,LOST DEPOSIT,PAS,DR HAJI ALIAS RAZAK,MALE,59,8308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.13,TERENGGANU,P.036,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,GS - PAS,28059,7378,85.99,24129,99,227,23803,UMNO,SALLEH BIN OTHMAN,MALE,,7418,,PAN,MOHD ZUBIR BIN MOHAMED,MALE,,1589,LOST DEPOSIT,PAS,USTAZ WAN SUKAIRI,MALE,47,14796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.14,TERENGGANU,P.036,KUALA TERENGGANU,N.14,BANDAR,GS - PAS,20268,2091,80.68,16353,1,181,16171,MCA,TOH SENG CHENG,MALE,48,5042,,PKR,AZAN ISMAIL,MALE,,3996,,PAS,USTAZ AHMAD SHAH,MALE,50,7133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.15,TERENGGANU,P.036,KUALA TERENGGANU,N.15,LADANG,GS - PAS,22570,363,84.83,19146,92,179,18875,UMNO,DATUK MAT,MALE,,7838,,PPBM,DATO’ HJ ZULKIFLI MOHAMAD,MALE,60,2836,,PAS,DATO' TENGKU HASSAN,MALE,67,8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036_N.16,TERENGGANU,P.036,KUALA TERENGGANU,N.16,BATU BURUK,GS - PAS,32714,5288,85.56,27989,116,221,27652,UMNO,ZAMRI BIN AWANG HITAM,MALE,53,9896,,PAN,DATO RAJA BAHRIN,MALE,63,2572,LOST DEPOSIT,PAS,USTAZ KHALIL,MALE,41,15184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.17,TERENGGANU,P.037,MARANG,N.17,ALUR LIMBAT,GS - PAS,28038,4194,86.75,24322,88,276,23958,UMNO,DATO’ HAJI SAIFUL BAHRI BIN DATO’ BAHARUDDIN,MALE,50,9136,,PKR,AHMAD SABRI BIN ALI,MALE,,1492,LOST DEPOSIT,PAS,USTAZ ARIFFIN DERAMAN,MALE,,13330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.18,TERENGGANU,P.037,MARANG,N.18,BUKIT PAYUNG,GS - PAS,22661,4488,89.16,20204,146,198,19860,UMNO,TO’ PUAN HJH ZAITUN BINTI MAT AMIN,FEMALE,61,7184,,PAN,DALIZAN AZIZ,MALE,,1004,LOST DEPOSIT,PAS,USTAZ MOHD NOR HAMZAH,MALE,46,11672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037_N.19,TERENGGANU,P.037,MARANG,N.19,RU RENDANG,GS - PAS,25999,6028,87.42,22728,76,249,22403,UMNO,DATO’ HAJI NIK DIR BIN NIK WAN KU,MALE,61,7823,,PAN,ZARAWI BIN SULONG,MALE,,729,LOST DEPOSIT,PAS,DR AHMAD SAMSURI MOKHTAR,MALE,48,13851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
