UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),CHINESE (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - EARLY VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2020)
P.167_N.01,SABAH,P.167,KUDAT,N.01,BANGGI,"5,961",72,27,0.5,0.5,100,0,0,11.41,24.81,18.52,15.82,13.17,6.07,5.64,4.56,48.1,51.9,RURAL
P.167_N.02,SABAH,P.167,KUDAT,N.02,BENGKOKA,"11,543",43,55,0.3,0.02,100,0,0,12.65,27.98,19.88,15.05,11.68,5.79,3.95,3.02,50.45,49.55,RURAL
P.167_N.03,SABAH,P.167,KUDAT,N.03,PITAS,"10,928",55,43,0.6,0.1,100,0,0,13.45,29.04,21.58,14.22,11.43,4.16,3.37,2.75,49.41,50.59,RURAL
P.167_N.04,SABAH,P.167,KUDAT,N.04,TANJONG KAPOR,"23,700",60,28,10,0.2,97.57,0,2.43,11.63,27.41,22.53,17.27,12.03,5.07,2.5,1.56,50.56,49.44,URBAN
P.168_N.05,SABAH,P.168,KOTA MARUDU,N.05,MATUNGGONG,"17,111",23,76,0.8,0.02,100,0,0,10.81,29.5,21.24,16.11,11.18,5.55,3.35,2.26,49.98,50.02,RURAL
P.168_N.06,SABAH,P.168,KOTA MARUDU,N.06,BANDAU,"14,615",43,52,3.8,0.1,98.8,0,1.2,11.53,30.02,21.64,16.74,10.74,4.73,2.76,1.84,49.48,50.52,RURAL
P.168_N.07,SABAH,P.168,KOTA MARUDU,N.07,TANDEK,"15,971",23,76,1.1,0.05,99.99,0.01,0,10.17,29.64,20.74,16.14,12.93,5.92,2.91,1.55,49.46,50.54,RURAL
P.169_N.08,SABAH,P.169,KOTA BELUD,N.08,PINTASAN,"10,867",76,24,0.2,0.03,100,0,0,12.28,28.03,21.15,16.01,11.93,5.96,3.21,1.43,46.7,53.3,RURAL
P.169_N.09,SABAH,P.169,KOTA BELUD,N.09,TEMPASUK,"11,996",65,34,0.1,0.07,98.67,0,1.33,12.6,26.83,20.47,18.76,11.35,5.48,2.93,1.58,47.64,52.36,RURAL
P.169_N.10,SABAH,P.169,KOTA BELUD,N.10,USUKAN,"16,883",86,9,5,0.2,99.1,0.01,0.89,14.32,27.96,20.99,17.37,11.55,4.17,2.35,1.29,48.02,51.98,SEMI URBAN
