UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,WARISAN PLUS,WARISAN PLUS CANDIDATE,WARISAN PLUS CANDIDATE GENDER,WARISAN PLUS CANDIDATE AGE,WARISAN PLUS CANDIDATE VOTE,WARISAN PLUS CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE GENDER,PBS CANDIDATE AGE,PBS CANDIDATE VOTE,PBS CANDIDATE LOST DEPOSIT,PCS,PCS CANDIDATE,PCS CANDIDATE GENDER,PCS CANDIDATE AGE,PCS CANDIDATE VOTE,PCS CANDIDATE LOST DEPOSIT,LDP,LDP CANDIDATE,LDP CANDIDATE GENDER,LDP CANDIDATE AGE,LDP CANDIDATE VOTE,LDP CANDIDATE LOST DEPOSIT,PGRS,PGRS CANDIDATE,PGRS CANDIDATE GENDER,PGRS CANDIDATE AGE,PGRS CANDIDATE VOTE,PGRS CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE GENDER,USNO CANDIDATE AGE,USNO CANDIDATE VOTE,USNO CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDPEDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE,INDEPENDENT 4 CANDIDATE LOST DEPOSIT
P.167_N.01,SABAH,P.167,KUDAT,N.01,BANGGI,WARISAN PLUS - WARISAN,,5961,703,66.72,3977,7,106,3864,UMNO,AKRAM BIN ISMAIL,MALE,55,1070,,,,,,,,WARISAN,MOHAMMAD BIN MOHAMARIN,MALE,40,1773,,,,,,,,PCS,KAMRI BIN KAIL,MALE,,523,,,,,,,,,,,,,,USNO,SALBIN BIN MUKSIN,MALE,55,48,LOST DEPOSIT,PPRS,ABDUL AZIZ BIN AMIR BANGSAH,MALE,,11,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,MIASIN BIN NUSIRI,MALE,55,178,LOST DEPOSIT,INDEPENDENT - TREE,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,70,261,LOST DEPOSIT,,,,,,,,,,,,
P.167_N.02,SABAH,P.167,KUDAT,N.02,BENGKOKA,BN - UMNO,,11543,1337,69.94,8073,13,125,7935,UMNO,HARUN BIN DURABI,MALE,57,2538,,,,,,,,UPKO,JUNSIM RUMUNZING,MALE,,1201,,PBS,DR. SAMUIL MOPUN,MALE,55,898,LOST DEPOSIT,PCS,JOSE BIN MODSINUPU,MALE,59,159,LOST DEPOSIT,,,,,,,PGRS,SOTIJIN BIN JUHUI,MALE,,91,LOST DEPOSIT,USNO,OMAR BIN JALUN,MALE,57,174,LOST DEPOSIT,PPRS,RITA CHAM,FEMALE,58,19,LOST DEPOSIT,,,,,,,INDEPENDENT - BOOK,AKIAN BIN AH KIEW,MALE,61,576,LOST DEPOSIT,INDEPENDENT - CLOCK,MARY E DUMPANGOL @ AMINAH AMBROSE,FEMALE,62,399,LOST DEPOSIT,INDEPENDENT - CHAIR,PRANSOL TIYING,MALE,,731,LOST DEPOSIT,INDEPENDENT - TREE,MAKLIN MASIAU,MALE,,1149,
P.167_N.03,SABAH,P.167,KUDAT,N.03,PITAS,INDEPENDENT - KEY,,10928,559,68.48,7483,21,192,7270,UMNO,SUFIAN BIN ABD KARIM,MALE,36,2359,,,,,,,,WARISAN,SHARIFF AZMAN,MALE,50,1565,,,,,,,,PCS,SH SAHAR BIN SH ADING,MALE,51,314,LOST DEPOSIT,,,,,,,,,,,,,USNO,ILASAM BIN NURKASIM,MALE,57,114,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,RUDDY AWAH,MALE,51,2918,,,,,,,,,,,,,,,,,,,
P.167_N.04,SABAH,P.167,KUDAT,N.04,TANJONG KAPOR,WARISAN PLUS - WARISAN,,23700,1879,62.72,14865,74,334,14457,,,,,,,PPBM,NORLIZAH BINTI GURAHMAN,FEMALE,33,5327,,WARISAN,CHONG CHEN BIN,MALE,42,7206,,,,,,,,PCS,SHAWN DAVEY ROBERT LEE,MALE,,221,LOST DEPOSIT,LDP,CHIN KEE YONG,MALE,,1492,LOST DEPOSIT,,,,,,,USNO,AWANG KARIM BIN ABDUL KADIR,MALE,56,211,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.168_N.05,SABAH,P.168,KOTA MARUDU,N.05,MATUNGGONG,PBS,,17111,1510,66.78,11427,13,238,11176,PBRS,RICHARD KASTUM,MALE,66,2859,,,,,,,,PKR,SAZALYE DONOL BIN ABDULLAH,MALE,60,1680,,PBS,JULITA MOJUNGKI,FEMALE,49,4369,,PCS,SARAPIN BIN MAGANA,MALE,58,843,LOST DEPOSIT,,,,,,,PGRS,HIBIN BIN MASALIN,MALE,,223,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,RONALD BIN TAMPASOK,MALE,33,82,LOST DEPOSIT,INDEPENDENT - TREE,DR. PAUL PORODONG,MALE,,1069,LOST DEPOSIT,INDEPENDENT - CLOCK,JOSEFF EMMANUEL,MALE,32,51,LOST DEPOSIT,,,,,,
P.168_N.06,SABAH,P.168,KOTA MARUDU,N.06,BANDAU,PN - PPBM,,14615,3363,68.20,9968,37,225,9706,,,,,,,PPBM,DATUK WETROM BAHANDA,MALE,,5863,,WARISAN,MAJAMIS BIN TIMBONG,MALE,57,2500,,,,,,,,PCS,WEBLEY DISIM,MALE,55,477,LOST DEPOSIT,LDP,RAPHAEL BIUN,MALE,,331,LOST DEPOSIT,,,,,,,USNO,AZAHARI BIN AMIT,MALE,,477,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,DELLY SURAG @ TOLOK,MALE,,58,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.168_N.07,SABAH,P.168,KOTA MARUDU,N.07,TANDEK,PBS,,15971,1432,66.30,10588,14,277,10297,PBRS,YILLSON YANGGUN,MALE,23,1520,,,,,,,,UPKO,PADIS MAJINGKIN,MALE,54,1986,,PBS,HENDRUS ANDING,MALE,50,3796,,PCS,ANDY VILLSON,MALE,,395,LOST DEPOSIT,LDP,LIENSIN @ DANNY LEINSIN LIMPAKAN,MALE,61,236,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ANITA BARANTING,FEMALE,66,2364,,,,,,,,,,,,,,,,,,,
P.169_N.08,SABAH,P.169,KOTA BELUD,N.08,PINTASAN,PN - PPBM,,10867,84,77.25,8395,19,138,8238,,,,,,,PPBM,FAIRUZ RENDDAN,MALE,,2744,,WARISAN,MOHD SAFIAN BIN SALUDIN,MALE,52,1816,,,,,,,,PCS,PADLAN BIN SAMAD,MALE,,188,LOST DEPOSIT,,,,,,,,,,,,,USNO,PANDIKAR AMIN BIN MULIA,MALE,65,2660,,PPRS,ROSLAN BIN MAYAHMAN,MALE,,50,LOST DEPOSIT,,,,,,,INDEPENDENT - HOUSE,DATUK ALMUDIN BIN KAIDA,MALE,,780,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.169_N.09,SABAH,P.169,KOTA BELUD,N.09,TEMPASUK,BN - UMNO,,11996,1685,76.06,9124,37,179,8908,UMNO,MOHD ARSAD BIN BISTARI,MALE,45,4040,,,,,,,,PKR,MUSTAPHA @ MOHD YUNUS BIN SAKMUD,MALE,51,1852,,,,,,,,PCS,ABD. ALIF BIN SAIBEH,MALE,,133,LOST DEPOSIT,,,,,,,PGRS,KANUL GINDOL,MALE,,57,LOST DEPOSIT,USNO,AMZA @ HAMZAH BIN SUNDANG,MALE,62,471,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TRACTOR,DATUK MUSBAH JAMLI,MALE,,2355,,,,,,,,,,,,,,,,,,,
P.169_N.10,SABAH,P.169,KOTA BELUD,N.10,USUKAN,BN - UMNO,,16883,4298,76.71,12951,56,212,12683,UMNO,SALLEH SAID KERUAK,MALE,62,8280,,,,,,,,WARISAN,CIKGU ABDUL BAHKRIN BIN MOHD YUSOF,MALE,,3982,,,,,,,,PCS,DATU MOHD NAZARUDDIN 13 BIN DATU TIGA BELAS,MALE,,421,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.169_N.11,SABAH,P.169,KOTA BELUD,N.11,KADAMAIAN,WARISAN PLUS - UPKO,,17968,3459,75.59,13582,47,175,13360,PBRS,DUANIS MOGIRONG @ DJUANIS,MALE,50,2050,,,,,,,,UPKO,EWON BENEDICK,MALE,37,6823,,PBS,DEMIS BIN RUMANTI,MALE,55,3364,,PCS,DR.BETING GILING @ JOSHUA,MALE,,799,LOST DEPOSIT,LDP,LEDUNING BIN LENGIK @ ERNEST,MALE,,223,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,RAITING @ MOHD FARHAN,MALE,,101,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.170_N.12,SABAH,P.170,TUARAN,N.12,SULAMAN,PN - PPBM,,11711,3099,78.34,9174,40,142,8992,,,,,,,PPBM,DATUK SERI PANGLIMA HAJI HAJIJI BIN HAJI NOOR,MALE,65,5919,,WARISAN,DATUK ALIASGAR BIN BASRI,MALE,60,2820,,,,,,,,PCS,REKAN BIN HUSSIEN,MALE,64,253,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.170_N.13,SABAH,P.170,TUARAN,N.13,PANTAI DALIT,BN - UMNO,,15091,3794,74.73,11278,105,224,10949,UMNO,JASNIH BIN DAYA,MALE,46,6868,,,,,,,,WARISAN,RAKAM SIJIM,MALE,66,3074,,,,,,,,PCS,MUHAMAD AMIRUL AMIN,MALE,,269,LOST DEPOSIT,LDP,RUSDI BIN SAELIH,MALE,,138,LOST DEPOSIT,PGRS,AWIL BIN KAMSARI,MALE,42,46,LOST DEPOSIT,USNO,MATBEE @ MATBEH BIN ISMAIL,MALE,,74,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - BOOK,PETER PIKUL,MALE,,236,LOST DEPOSIT,INDEPENDENT - HORSE,JOHAN JAHID,MALE,,244,LOST DEPOSIT,,,,,,,,,,,,
P.170_N.14,SABAH,P.170,TUARAN,N.14,TAMPARULI,PBS,,16597,3517,70.80,11750,30,173,11547,,,,,,,,,,,,,PKR,ALIJUS @ MOHD ALI BIN SIPIL,MALE,57,3326,,PBS,JAHID JAHIM,MALE,61,6843,,PCS,DENIS GIMPAH,MALE,56,1001,LOST DEPOSIT,LDP,RAYMOND ALFRED @JENRY,MALE,49,377,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.170_N.15,SABAH,P.170,TUARAN,N.15,KIULU,PBS,,10887,1221,71.81,7818,24,78,7716,,,,,,,,,,,,,UPKO,WILFRED MADIUS TANGAU,MALE,62,2786,,PBS,JONISTON BANGKUAI,MALE,58,4007,,PCS,ANDAU BIN YASUN @ BRUNO,MALE,,363,LOST DEPOSIT,LDP,ROZYLYN @ ROSALYN BINTI GELUNU,FEMALE,,274,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHAIR,DOMINIC YASUN,MALE,,266,LOST DEPOSIT,INDEPENDENT - KEY,JOLIANIS BIN LAMPOG,MALE,,20,LOST DEPOSIT,,,,,,,,,,,,
P.171_N.16,SABAH,P.171,SEPANGGAR,N.16,KARAMBUNAI,BN - UMNO,,19560,16,63.73,12465,33,345,12087,UMNO,YAKUB KHAN,MALE,58,5180,,,,,,,,WARISAN,AHMAD JAIS BIN OTONG,MALE,46,5164,,,,,,,,PCS,DAYANGKU AYESHA HUMAIRA BINTI AK OTHMAN SHAH,FEMALE,24,315,LOST DEPOSIT,LDP,MARAJOH BIN UNDING,MALE,45,1053,LOST DEPOSIT,PGRS,NERUDIN LUDAH,MALE,,285,LOST DEPOSIT,USNO,IBRAHIM BIN LINGGAM,MALE,,90,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.171_N.17,SABAH,P.171,SEPANGGAR,N.17,DARAU,WARISAN PLUS - WARISAN,,18350,562,66.88,12272,32,312,11928,UMNO,JUMAT BIN IDRIS,MALE,62,5243,,,,,,,,WARISAN,AZHAR BIN MATUSSIN,MALE,54,5805,,,,,,,,PCS,HJ ANSARI ABDULLAH,MALE,66,280,LOST DEPOSIT,LDP,SUMALI @ MARINO BIN AHMAD,MALE,,322,LOST DEPOSIT,PGRS,DASIM @ RICKY BIN JIKAH,MALE,,34,LOST DEPOSIT,USNO,LALIMAN BIN KEMAD,MALE,60,244,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.171_N.18,SABAH,P.171,SEPANGGAR,N.18,INANAM,WARISAN PLUS - PKR,,26035,5638,66.40,17286,36,360,16890,,,,,,,,,,,,,PKR,PETO GALIM,MALE,54,8586,,PBS,WILLIAM MAJINBON,MALE,60,2948,,PCS,REGINA LIM @ HOW,FEMALE,,291,LOST DEPOSIT,LDP,CHONG KAH KIAT,MALE,72,1606,LOST DEPOSIT,PGRS,GOH FAH SHUN @ FRANCIS GOH,MALE,57,362,LOST DEPOSIT,USNO,MOHD HARDY ABDULLAH @ ZORO YUKON,MALE,,156,LOST DEPOSIT,ANAK NEGERI,TERENCE TSEN,MALE,53,255,LOST DEPOSIT,,,,,,,INDEPENDENT - CHAIR,KENNY CHUA TECK HO,MALE,50,2346,,INDEPENDENT - KEY,GEORGE NGUI,MALE,,54,LOST DEPOSIT,INDEPENDENT - TREE,ACHMAD NOORASYRUL BIN NOORTAIP,MALE,33,286,LOST DEPOSIT,,,,,,
