UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2021)
P.134_N.1,MELAKA,P.134,MASJID TANAH,N.1,KUALA LINGGI,10928,75.74,21.91,1.41,0.00,0.32,0.56,0.06,99.85,0.01,0.14,0.00,12.29,24.12,21.57,18.26,13.26,7.82,2.32,0.37,48.47,51.53,SEMI URBAN
P.134_N.2,MELAKA,P.134,MASJID TANAH,N.2,TANJUNG BIDARA,10133,93.17,3.79,1.51,0.00,0.60,0.89,0.04,99.97,0.03,0.00,0.00,15.26,24.33,20.23,19.19,12.50,6.41,1.75,0.33,47.55,52.45,SEMI URBAN
P.134_N.3,MELAKA,P.134,MASJID TANAH,N.3,AYER LIMAU,11227,91.00,3.63,4.13,0.00,0.63,0.57,0.03,99.88,0.03,0.10,0.00,15.04,25.27,17.21,18.45,14.37,6.48,2.73,0.46,46.66,53.34,RURAL
P.134_N.4,MELAKA,P.134,MASJID TANAH,N.4,LENDU,10561,77.52,16.00,4.55,0.00,0.87,1.02,0.03,96.83,0.02,0.42,2.74,15.32,25.10,18.19,17.52,14.06,6.86,2.54,0.41,47.50,52.50,SEMI URBAN
P.134_N.5,MELAKA,P.134,MASJID TANAH,N.5,TABOH NANING,8661,79.61,11.64,5.57,2.27,0.57,0.32,0.02,99.77,0.01,0.22,0.00,13.07,21.87,19.07,19.06,14.44,8.32,3.50,0.66,46.80,53.20,RURAL
P.135_N.6,MELAKA,P.135,ALOR GAJAH,N.6,REMBIA,15756,66.93,18.54,13.52,0.00,0.44,0.48,0.09,99.51,0.01,0.48,0.00,14.01,25.37,19.93,17.53,14.12,6.61,2.13,0.31,47.58,52.42,SEMI URBAN
P.135_N.7,MELAKA,P.135,ALOR GAJAH,N.7,GADEK,12641,61.67,22.21,15.17,0.16,0.35,0.36,0.07,99.66,0.00,0.34,0.00,11.65,21.57,17.72,18.70,16.70,9.07,3.78,0.81,47.10,52.90,SEMI URBAN
P.135_N.8,MELAKA,P.135,ALOR GAJAH,N.8,MACHAP JAYA,12487,45.32,39.09,13.37,1.38,0.49,0.32,0.04,96.97,0.00,3.03,0.00,11.25,23.14,19.41,20.66,14.96,7.07,3.00,0.50,51.14,48.86,RURAL
P.135_N.9,MELAKA,P.135,ALOR GAJAH,N.9,DURIAN TUNGGAL,13312,69.32,21.57,8.13,0.00,0.47,0.44,0.07,99.56,0.02,0.17,0.26,14.03,25.57,21.60,17.58,12.77,6.14,1.95,0.36,48.91,51.09,SEMI URBAN
P.135_N.10,MELAKA,P.135,ALOR GAJAH,N.10,ASAHAN,15745,64.77,22.49,10.57,1.38,0.39,0.34,0.06,99.82,0.01,0.17,0.00,11.48,24.21,21.64,17.41,13.56,8.07,3.20,0.43,48.22,51.78,RURAL
