Created on,12/3/2022
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2021), PKR,Florczyk A.J., Corbane C., Ehrlich D., Freire S., Kemper T., Maffenini L., Melchiorri M., Pesaresi M., Politis P., Schiavina
M., Sabo F., Zanchetta L., GHSL Data Package 2019, EUR 29788 EN, Publications Office of the European Union, Luxembourg, 2019, ISBN
978-92-76-08725-0, doi:10.2760/062975, JRC 117104"
Disclaimers,All the percentages for electoral demographics are calculated by Tindak Malaysia. There is no official data for ethnic demographics and they are estimated by Tindak Malaysia. There could be calculation errors for Bumiputera Sabah and Sarawak population for DUN Sungai Udang. TindakMalaysia Network Services PLT is not responsible  for any errors or ommissions arising from the original data or its derivatives
Attribute,
,
Field Name,Field Description
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier)
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (2018 - present at the Created Date)
PARLIAMENTARY NAME,Parliamentary Name (2018 - present at the Created Date)
STATE CONSTITUENCY CODE,State Constituency (DUN) Code (2018 - present at the Created Date)
STATE CONSTITUENCY NAME,State Constituency (DUN) Name (2018 - present at the created Date)
TOTAL ELECTORS,Total Elector count using the Principal Electoral Roll of 2020 combined with Supplementary Rolls of Quarter 1 of 2021 and Quarter of 2021 (which was gazetted on 26/8/2021)
MALAY (%),Proportion of Malay Electors for the State Constituency (%)
CHINESE (%),Proportion of Chinese Electors for the State Constituency (%) 
INDIANS (%),Proportion of Indians Electors for the State Constituency (%)
ORANG ASLI (%),Proportion of Orang Asli Electors for the State Constituency (%)
BUMIPUTERA SABAH (%),Proportion of Bumiputera Sabah Electors for the State Constituency (%)
BUMIPUTERA SARAWAK (%),Proportion of Bumiputera Sarawak Electors for the State Constituency (%)
OTHERS (%),Proportion of Others Electors for the State Constituency (%)
ELECTORS - NORMAL VOTERS (%),Proportion of Electors - Normal Electors for the State Constituency (%)
ELECTORS - ABSENT VOTERS (%),Proportion of Electors - Absent Electors for the State Constituency (%)
ELECTORS - POLICE (%),Proportion of Electors - Police Electors for the State Constituency (%)
ELECTORS - MILITARY (%),Proportion of Electors - Military Electors for the State Constituency (%)
21-29 (%),Proportion of 21-29 Electors for the State Constituency (%)
30-39 (%),Proportion of 30-39 Electors for the State Constituency (%)
40-49 (%),Proportion of 40-49 Electors for the State Constituency (%)
50-59 (%),Proportion of 50-59 Electors for the State Constituency (%)
60-69 (%),Proportion of 60-69 Electors for the State Constituency (%)
70-79 (%),Proportion of 70-79 Electors for the State Constituency (%)
80-89 (%),Proportion of 80-89 Electors for the State Constituency (%)
ABOVE 90 (%),Proportion of Above 90 Electors for the State Constituency (%)
MALE ELECTORS (%),Proportion of Male Electors for the State Constituency (%)
WOMEN ELECTORS (%),Proportion of Women Electors for the State Constituency (%)
URBAN-RURAL CLASSIFICATION (2021),State Constituency urbanization classification
