UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY/MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - EARLY VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2021)
P.192_N.01,SARAWAK,P.192,MAS GADING,N.01,OPAR,11436,4.07,7.00,8.47,79.30,,1.16,99.98,0.01,0.01,7.14,22.4,22.83,23.25,14.76,7.25,1.89,0.47,50.63,49.37,RURAL
P.192_N.02,SARAWAK,P.192,MAS GADING,N.02,TASIK BIRU,18715,6.83,23.75,2.64,N/A,,N/A,97.76,0.00,2.24,7.23,18.93,20.99,23.88,17.34,7.89,3.07,0.66,50.33,49.67,RURAL
P.193_N.03,SARAWAK,P.193,SANTUBONG,N.03,TANJONG DATU,11384,53.82,17.03,15.42,8.69,,N/A,98.87,0.01,1.12,9.13,23.5,21,20.58,15.05,7.55,2.66,0.53,50.12,49.88,RURAL
P.193_N.04,SARAWAK,P.193,SANTUBONG,N.04,PANTAI DAMAI,20506,91.06,2.47,2.71,1.20,,2.55,99.84,0.01,0.15,11.42,24.16,23.57,20.27,13.02,5.79,1.45,0.32,47.98,52.02,SEMI URBAN
P.193_N.05,SARAWAK,P.193,SANTUBONG,N.05,DEMAK LAUT,14813,88.58,6.95,1.89,1.20,,1.38,100.00,0.00,0.00,9.32,25.51,23.09,20.84,13.22,5.89,1.65,0.48,49.41,50.59,SEMI URBAN
P.194_N.06,SARAWAK,P.194,PETRA JAYA,N.06,TUPONG,26004,66.32,17.34,6.21,4.87,,N/A,99.82,0.03,0.15,11.6,25.94,22.88,19.57,13.04,5.18,1.46,0.33,48.48,51.52,URBAN
P.194_N.07,SARAWAK,P.194,PETRA JAYA,N.07,SAMARIANG,21363,90.22,1.44,4.78,1.44,,N/A,99.92,0.03,0.06,10.12,26.1,22.81,20.17,13.32,5.72,1.48,0.29,47.46,52.54,URBAN
P.194_N.08,SARAWAK,P.194,PETRA JAYA,N.08,SATOK,14314,70.00,22.00,3.43,2.05,,N/A,93.79,0.05,6.16,6.74,16.54,20.41,23.23,17.4,10.26,4.27,1.15,48.72,51.28,URBAN
P.195_N.09,SARAWAK,P.195,BANDAR KUCHING,N.09,PADUNGAN,20949,4.57,91.90,1.15,0.96,,1.42,98.75,0.01,1.24,1.78,8.06,14.21,22.61,27.74,17.56,6.28,1.76,48.01,51.99,URBAN
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,29747,5.20,89.06,2.65,1.59,,1.51,97.20,0.01,2.79,3.2,13.47,19.5,23.79,24.33,11.05,3.76,0.91,48.91,51.09,URBAN
P.195_N.11,SARAWAK,P.195,BANDAR KUCHING,N.11,BATU LINTANG,29694,3.40,85.04,5.60,2.39,0.24,N/A,99.74,0.04,0.22,5.78,18.12,21.3,21.03,18.52,10.29,3.99,0.98,47.26,52.74,URBAN
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,28392,11.74,72.95,8.23,3.92,,N/A,91.09,0.03,8.88,10.36,25.14,23.4,17.1,14.63,6.9,2.08,0.4,51.37,48.63,URBAN
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KITANG,20820,22.23,55.35,4.87,14.04,,3.51,99.87,0.03,0.10,8.74,22.36,23.9,20.44,14.58,7.04,2.4,0.54,49.21,50.79,URBAN
P.196_N.14,SARAWAK,P.196,STAMPIN,N.14,BATU KAWAH,20681,17.93,57.53,11.92,7.69,,N/A,94.12,0.03,5.85,8.53,24.63,26.1,19.34,13.23,6.15,1.71,0.32,50.42,49.58,URBAN
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,ASAJAYA,12349,80.78,9.50,7.40,0.46,,1.16,99.90,0.00,0.10,8.37,25.05,21.31,20.25,14.64,7.48,2.31,0.59,49.77,50.23,RURAL
P.197_N.16,SARAWAK,P.197,KOTA SAMARAHAN,N.16,MUARA TUANG,18644,69.87,5.82,15.66,5.27,,N/A,98.62,0.01,1.37,8.8,24.91,22.96,20.29,14.12,6.62,2.03,0.28,49.09,50.91,RURAL
P.197_N.17,SARAWAK,P.197,KOTA SAMARAHAN,N.17,STAKAN,16992,39.17,18.70,18.63,15.02,,N/A,71.44,0.02,28.54,17.25,31.79,24.66,13.73,7.9,3.4,1.08,0.19,54.38,45.62,SEMI URBAN
P.198_N.18,SARAWAK,P.198,PUNCAK BORNEO,N.18,SEREMBU,9834,5.21,20.41,1.96,70.21,0.47,1.74,99.94,0.00,0.06,6.58,20.37,22.37,24.27,15.85,7.03,2.94,0.59,50.37,49.63,RURAL
P.198_N.19,SARAWAK,P.198,PUNCAK BORNEO,N.19,MAMBONG,19315,4.66,24.61,5.28,58.13,,N/A,95.50,0.01,4.49,6.08,21.52,23.19,22.62,16.54,7.32,2.08,0.65,52.36,47.64,RURAL
P.198_N.20,SARAWAK,P.198,PUNCAK BORNEO,N.20,TARAT,17717,6.05,28.63,3.00,56.83,0.44,5.05,99.90,0.00,0.10,5.45,18.04,21.22,23.58,19.42,8.64,2.86,0.79,49.91,50.09,RURAL
P.199_N.21,SARAWAK,P.199,SERIAN,N.21,TEBEDU,12040,1.70,1.45,2.15,92.88,0.27,1.55,99.91,0.00,0.09,3.92,17.39,22.26,26.01,17.82,9.31,2.66,0.62,50.68,49.32,RURAL
P.199_N.22,SARAWAK,P.199,SERIAN,N.22,KEDUP,11202,0.97,6.48,14.99,N/A,,N/A,99.99,0.00,0.01,4.9,18.37,21.38,25.41,18.72,8.04,2.35,0.83,52.22,47.78,RURAL
P.199_N.23,SARAWAK,P.199,SERIAN,N.23,BUKIT SEMUJA,14893,18.50,19.10,12.84,N/A,,N/A,98.80,0.01,1.20,6.2,18.82,21.58,24.09,18.07,8.51,2.22,0.51,49.97,50.03,RURAL
P.200_N.24,SARAWAK,P.200,BATANG SADONG,N.24,SADONG JAYA,7653,90.35,7.69,0.66,0.48,,0.82,100.00,0.00,0.00,9.32,24.16,20.08,21.56,14.32,7.64,2.44,0.47,48.79,51.21,RURAL
P.200_N.25,SARAWAK,P.200,BATANG SADONG,N.25,SIMUNJAN,8299,63.92,5.77,24.55,0.67,,N/A,98.66,0.00,1.34,7.7,22.8,19.41,22.83,16.38,8.25,2.07,0.55,48.76,51.24,RURAL
P.200_N.26,SARAWAK,P.200,BATANG SADONG,N.26,GEDONG,7208,62.00,1.00,30.00,N/A,,N/A,99.97,0.01,0.01,7.49,20.57,21.03,22.6,17.05,8.12,2.04,1.1,48.67,51.33,RURAL
