UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2021),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GPS CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PSB,PSB CANDIDATE,PSB CANDIDATE GENDER,PSB CANDIDATE AGE,PSB CANDIDATE VOTE,PSB CANDIDATE LOST DEPOSIT,PBK,PBK CANDIDATE,PBK CANDIDATE GENDER,PBK CANDIDATE AGE,PBK VOTE,PBK CANDIDATE LOST DEPOSIT,ASPIRASI,ASPIRASI CANDIDATE,ASPIRASI CANDIDATE GENDER,ASPIRASI CANDIDATE AGE,ASPIRASI VOTE,ASPIRASI CANDIDATE LOST DEPOSIT,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE GENDER,PBDSB CANDIDATE AGE,PBDSB VOTE,PBDSB CANDIDATE LOST DEPOSIT,SEDAR,SEDAR CANDIDATE,SEDAR CANDIDATE GENDER,SEDAR CANDIDATE AGE,SEDAR VOTE,SEDAR CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.192_N. 01,SARAWAK,P.192,MAS GADING,N. 01,OPAR,GPS-SUPP,,11436,1689,69.59,7958,23,112,7823,SUPP,BILLY ANAK SUJANG,MALE,53,3659,,PKR,MENENG ANAK BIRIS,FEMALE,44,327,LOST DEPOSIT,PSB,RANUM ANAK MINA,MALE,70,1970,,PBK,FREEDY ANAK MISID,MALE,42,1487,,,,,,,,PBDSB,CIKGU SAINI ANAK KAKONG,MALE,60,220,LOST DEPOSIT,SEDAR,BAYANG AK TERON,MALE,59,160,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.192_N. 02,SARAWAK,P.192,MAS GADING,N. 02,TASIK BIRU,GPS-PDP,,18715,4212,64.14,12003,32,194,11777,PDP,DATO HENRY HARRY JINEP,MALE,54,6325,,DAP,GRANDA ANAK AING,MALE,59,1359,LOST DEPOSIT,PSB,DR TIKI ANAK LAFE,MALE,68,1980,,PBK,PAUL SHANON KENBELL BARIN,MALE,61,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.193_N. 03,SARAWAK,P.193,SANTUBONG,N. 03,TANJONG DATU,GPS-PBB,,11384,4502,61.29,6977,12,134,6831,PBB,AZIZUL ANNUAR BIN ADENAN,MALE,30,5423,,,,,,,,PSB,JERY'IN BIN FAUZI,MALE,66,921,,PBK,GOEM ANAK PIJAR,MALE,63,226,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,CIKGU TALIP,MALE,68,261,LOST DEPOSIT,,,,,,
P.193_N. 04,SARAWAK,P.193,SANTUBONG,N. 04,PANTAI DAMAI,GPS-PBB,,20506,8381,64.85,13298,101,180,13017,PBB,DR ABDUL RAHMAN BIN JUNAIDI,MALE,60,10699,,,,,,,,PSB,MAHMUD BIN SABLI,MALE,56,2318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.193_N. 05,SARAWAK,P.193,SANTUBONG,N. 05,DEMAK LAUT,GPS-PBB,,14813,6399,67.67,10024,28,237,9759,PBB,DR. HAZLAND B. ABG. HIPNI,MALE,56,7636,,PAN,JEN PELI,MALE,50,212,LOST DEPOSIT,PSB,YATIKA BINTI JELANI,FEMALE,41,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,KHAIRUL BIN AHMAT,MALE,36,674,LOST DEPOSIT,,,,,,
P.194_N. 06,SARAWAK,P.194,PETRA JAYA,N. 06,TUPONG,GPS-PBB,,26004,11209,57.57,14971,131,125,14715,PBB,FAZZRUDIN BIN ABDUL RAHMAN,MALE,45,12544,,PKR,AHMAD NAZIB BIN JOHARI,MALE,45,1335,LOST DEPOSIT,,,,,,,PBK,CHAN HAONG YEN,MALE,31,836,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N. 07,SARAWAK,P.194,PETRA JAYA,N. 07,SAMARIANG,GPS-PBB,,21363,10283,61.71,13183,102,121,12960,PBB,SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,FEMALE,52,11354,,PAN,ABANG HALIL,MALE,61,1071,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,SEDAR,OTHMAN BIN ABDILLAH,MALE,65,535,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.194_N. 08,SARAWAK,P.194,PETRA JAYA,N. 08,SATOK,GPS-PBB,,14314,6033,59.29,8487,52,71,8364,PBB,IBRAHIM BAKI,MALE,62,6991,,PKR,DR HAJI IRWAN,MALE,45,958,LOST DEPOSIT,,,,,,,PBK,AWANG BADELE,MALE,62,415,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.195_N. 09,SARAWAK,P.195,BANDAR KUCHING,N. 09,PADUNGAN,PH-DAP,,20949,1198,44.76,9376,26,53,9297,SUPP,WEE HONG SENG,MALE,59,3488,,DAP,CHONG CHIENG JEN,MALE,50,4686,,,,,,,,PBK,RAYMOND THONG EE YU,MALE,62,930,LOST DEPOSIT,ASPIRASI,LINA SOO,FEMALE,63,193,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.195_N. 10,SARAWAK,P.195,BANDAR KUCHING,N. 10,PENDING,PH-DAP,,29747,540,43.76,13018,37,105,12876,SUPP,MILTON FOO TIANG WEE,MALE,44,4648,,DAP,VIOLET YONG WUI WUI,FEMALE,44,5188,,PSB,TAN KAY HOK,MALE,50,1858,,PBK,TEO KUANG KIM,MALE,62,978,LOST DEPOSIT,ASPIRASI,CHAN CHEE HIONG,MALE,50,204,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.195_N. 11,SARAWAK,P.195,BANDAR KUCHING,N. 11,BATU LINTANG,PSB,,29694,93,42.08,12496,75,94,12327,SUPP,SIH HUA TONG,MALE,57,4327,,PKR,CHERISHE NG PHUAY HUI,FEMALE,24,1823,,PSB,SEE CHEE HOW,MALE,57,4420,,PBK,VOON LEE SHAN,MALE,66,1570,,ASPIRASI,LEONG SHAOW TUNG,MALE,45,187,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.196_N. 12,SARAWAK,P.196,STAMPIN,N. 12,KOTA SENTOSA,GPS-SUPP,,28392,1683,48.25,13698,72,139,13487,SUPP,YAP YAU SIN,MALE,55,5806,,DAP,MICHAEL KONG FENG NIAN,MALE,35,4123,,PSB,LAU PANG HENG,MALE,69,2328,,PBK,LUE CHENG HING,MALE,57,1015,LOST DEPOSIT,ASPIRASI,TAN KOK CHIANG,MALE,48,215,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.196_N. 13,SARAWAK,P.196,STAMPIN,N. 13,BATU KITANG,GPS-SUPP,,20820,4163,53.29,11096,51,107,10938,SUPP,LO KHERE CHIANG,MALE,61,6307,,DAP,ABDUL AZIZ ISA,MALE,32,2144,,PSB,LIU THIAN LEONG,MALE,66,1812,,PBK,WONG TUN TECK,MALE,57,675,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.196_N. 14,SARAWAK,P.196,STAMPIN,N. 14,BATU KAWAH,GPS-SUPP,,20681,5393,54.63,11297,45,102,11150,SUPP,DR. SIM KUI HIAN,MALE,56,7827,,DAP,KELVIN YII LEE WUEN,MALE,35,2434,,,,,,,,PBK,CHAI KUEH KHUN,MALE,59,756,LOST DEPOSIT,ASPIRASI,FONG PAU TECK,MALE,52,133,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.197_N. 15,SARAWAK,P.197,KOTA SAMARAHAN,N. 15,ASAJAYA,GPS-PBB,,12349,4531,75.28,9296,16,171,9109,PBB,ABD KARIM RAHMAN HAMZAH,MALE,61,6380,,PKR,MAHMUD BIN EPAH,MALE,34,721,LOST DEPOSIT,PSB,ISHAK BIN BUJI,MALE,37,1849,,PBK,MOHAMAD HAMDEEN BIN SAHARUDDIN,MALE,36,159,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
