COALITION,PARTY/ INDEPENDENTS,FEMALE,MALE,TOTAL CANDIDATES
BN,BN - DIRECT,,2,2
BN,IPF,,1,1
BN,KIMMA,,1,1
BN,MCA,7,37,44
BN,MIC,1,9,10
BN,MMSP,,1,1
BN,PBRS,,2,2
BN,PCM,,1,1
BN,UMNO,14,103,117
PH,AMANAH,7,47,54
PH,DAP,14,41,55
PH,PKR,17,83,100
PH,UPKO,1,4,5
PN,GERAKAN,1,19,20
PN,PAS,8,55,63
PN,PN - DIRECT,,1,1
PN,PPBM,7,80,87
GTA,BERJASA,,9,9
GTA,GB,2,10,12
GTA,IMAN,,5,5
GTA,PEJUANG,12,55,67
GTA,PUTRA,2,30,32
GPS,PBB,4,10,14
GPS,PDP,,4,4
GPS,PRS,1,5,6
GPS,SUPP,,7,7
GRS,PBS,1,3,4
GRS,PPBM,,6,6
GRS,SAPP,,1,1
GRS,STAR,,2,2
,WARISAN,7,45,52
,MUDA,1,5,6
,PBK,,1,1
,PBM,4,1,5
,PPRS,,1,1
,PRM,1,15,16
,PSB,3,7,10
,PSM,,1,1
,SEDAR,,1,1
,KDM,1,6,7
,PBDS,1,2,3
,PUR,,1,1
,INDEPENDENTS,10,98,108
GRAND TOTAL,,127,818,945
